time step,failed agent x-position,formation velocity,other agent x-positions,,,
0,-3.060660171779822,0.0,-2.0,-3.0606601717798214,-2.0000000000000004,-2.000000000000001
20,-3.26739000703358,0.4209189278969889,-1.9977624036863748,-3.0555592308667885,-1.7531559990710515,-1.8974760166330042
40,-3.3067753504643127,0.34875431421450764,-1.842453869969027,-3.093831662124582,-1.7473655872047797,-1.8236698881010733
60,-3.315521343962057,0.7512216267970568,-1.738380263250909,-3.1351298519166932,-1.65941192244196,-1.7128197455333491
80,-3.2887629681341464,0.9504751060950737,-1.6734319323969034,-3.1363943267074803,-1.598598821386722,-1.601235030646155
100,-3.118987618019239,0.6675040642300856,-1.5563164714857516,-3.0495004458956023,-1.520054417931029,-1.5259720965178296
120,-2.9448588184346987,0.6751205502750821,-1.4063538251855991,-2.85394537062434,-1.493733025304973,-1.4146277827847125
140,-2.9174608313238823,0.7083218485796443,-1.2858718479278202,-2.7338986252203332,-1.4025894495835312,-1.3398307219366383
160,-2.9271275169295983,0.7904171161415473,-1.1680996371395542,-2.644084386953721,-1.3320812140182747,-1.2522482378086788
180,-2.9200076570151476,0.7788425042169734,-1.0448825065626282,-2.5365282730775753,-1.3069349782709223,-1.1946266026846124
200,-2.8175249349055167,0.5258631002859191,-0.9359842022540752,-2.453899963420929,-1.3178591324686513,-1.0969985138341247
220,-2.643323006822525,0.45395189039524836,-0.7608087399917316,-2.3819719472587013,-1.2924723096733692,-0.878737683670878
240,-2.5299456311031943,0.8955010856785725,-0.5888478616140469,-2.310515927501135,-1.2198978377760792,-0.7268745146278766
260,-2.2166909159688766,0.41171891986026915,-0.3431981475293391,-1.9306131023167552,-1.157384420054673,-0.5030815691828625
280,-2.105009456187,0.144489626604501,-0.14115403006623195,-1.8441685541756307,-0.9581880040791586,-0.28987573427911983
300,-1.8232149652383216,0.49708514306680784,0.08092344889845648,-1.6803897554138454,-0.7128361359806987,-0.06786261812022865
320,-1.72528782427255,0.5239632400308001,0.10977213419805842,-1.4185278261439545,-0.5278750198578097,-0.008834141015082286
340,-1.4793816925295393,0.3711507612494408,0.31646289399614513,-1.2547674335068837,-0.3702853716066359,0.1421763497837607
360,-1.2855454524618788,0.34385056649842466,0.5616682893334315,-1.1071192890799284,-0.24318656493622703,0.3615586240123019
380,-1.2386334607733076,0.4759729955234522,0.7955942795101252,-0.7578459228444956,-0.14502423354785932,0.5736226282236836
400,-0.7555630078544104,0.2669519367807345,0.9856536231818445,-0.6993482828504805,0.05688149644132068,0.8181081959610825
420,-0.7411536572764144,0.45781096978410424,0.9950308620770625,-0.5875576983018989,0.22062059890345154,0.8748366264331078
440,-0.35874296888440993,0.3448044727879405,1.2448110033889854,-0.32147011285359506,0.36427148527978925,1.0433896442148507
460,-0.3499830357820737,0.347761565168019,1.4909219339380173,-0.3036731997669788,0.48766426517862005,1.290167504346023
480,-0.19080265640099725,0.19750561551302867,1.7368625438274057,0.17762013960059608,0.511539426925546,1.5355345359076296
500,0.009735863149313406,0.37459461211784373,1.894979013912233,0.0832204550654625,0.5954787103304224,1.760718247950316
520,0.0006716753188831248,0.42765915432625323,1.983348661698641,0.16081534894543736,0.6080629731794267,1.7857345781898801
540,0.1837267249536656,0.6214428205671548,2.2127759979983797,0.5317793472125003,0.675957905673203,2.0162671549053925
560,0.5650598263438895,0.5559007811811264,2.418935462962213,0.6328670731038457,0.9112585897701448,2.2529004476802923
580,0.8107405032022483,0.4436139145812142,2.3534754007112646,0.6844179865318942,1.1269781597125963,2.482190202641137
600,1.0164072466401537,0.2811998236127832,2.551453631753356,0.7468418489703086,1.373107576594697,2.7274488583858574
620,1.0976467621067787,0.5231799131345269,2.557107918475885,0.7509741451191201,1.4701739116058574,2.765553918040916
640,1.2338011305853458,0.6036339950855031,2.7692911281834958,0.9829030145548434,1.6336794167762787,2.9709904985558326
660,1.273153678212772,1.027032548955102,2.824806921542577,1.1320193118430661,1.7114618349588917,3.002323533018763
680,1.5785629003549806,0.5526225829552053,3.055869095626714,1.5289918459963947,1.913434650154361,3.2459709062937643
700,1.729105587337517,0.33227045308932956,3.2430351393078576,1.4693230424767525,2.145934722141823,3.482299162152957
720,1.7507459456236907,0.7213185888602222,3.2868296142615128,1.5096163413497439,2.1744173851955177,3.493984791838268
740,1.9306439693906077,0.5709812043779199,3.522979999667018,1.9600449339430042,2.347497962368958,3.728691976072306
760,2.328541813527501,0.21108417470093208,3.736152525359836,1.9624751101403928,2.3923984910027474,3.9724956909610922
780,2.3726354828040623,0.6112891341906335,3.8293684323232435,2.0565674984984006,2.627886512726866,4.207859125266413
800,2.433195651665481,1.0884699370352702,3.964207513011421,2.232189584268824,2.7435929160538772,4.238274548226148
820,2.47973229293002,1.0291734564334405,4.0573718018941,2.3752615856186163,2.881660055633216,4.281911314489748
840,2.7036163857040885,0.7932028620910222,4.274551140961034,2.7172996029968313,3.007846621023466,4.48528606780094
860,3.092388876888097,0.5461113020777583,4.4863168503460455,2.8166531630979006,3.237292070083274,4.723157501661658
880,3.2014297979213335,0.28813642170119796,4.733067140575495,3.057942519468994,3.4535988237408435,4.953888018846903
900,3.330221459978228,0.39541845025479994,4.9228470699061235,3.1957776059368874,3.48762210899496,5.163374423036878
920,3.4377379484116792,0.4037119399390482,4.979465913154834,3.180548397365143,3.52468412633981,5.20161879518652
940,3.6262862636001527,0.49291922928265547,5.214540816459598,3.6429522983442744,3.927602433219938,5.344415822654384
960,3.679005627026231,0.3583215496947457,5.412611073922452,3.7134589278127925,3.9553563991465714,5.213600764320421
980,3.7209431413033913,0.3461470553882976,5.301381270228014,3.750203251322071,4.196313765534629,5.424324746389418
1000,3.9972437653848942,0.30357971157777136,5.4990143914590455,3.950898118206212,4.44221266044776,5.669490327284409
1020,4.1078963095075105,0.5490415904604088,5.510552724720252,3.8721236436260855,4.585393403901978,5.708866908125892
1040,4.286729035165464,0.46357583663194885,5.754614564605539,4.144511107775241,4.71509390504367,5.908471552216518
1060,4.443724805054111,0.3065380568891063,5.9804494512452555,4.444074163361645,4.856985214898035,6.1545622882589965
1080,4.7603333080466514,0.26418853119294844,6.01888393322727,4.443114493040731,4.903540695371522,6.401308970813367
1100,4.86471335495609,0.2539583800896311,6.212360109623134,4.470461507857458,5.144925276816368,6.645138080687981
1120,4.953834500414794,0.5720353828179244,6.219133017463784,4.5105036388813975,5.24318123759816,6.671847037606224
1140,5.15271355394163,0.6618051965009732,6.435278341804656,4.741504581184328,5.4092028068746085,6.8872033143649665
1160,5.285070352579228,0.6578896718170627,6.649236804365485,5.01065414999522,5.609342980685476,7.0705573389856875
1180,5.5563857785665975,0.5357116894509906,6.852754159514568,5.264614847970492,5.835030372267164,7.308347582013879
1200,5.85660202758097,0.3900548996210841,7.044874974855025,5.331235164208426,6.07412106411318,7.545541586765782
1220,5.886686523568719,0.521840698695343,7.103942337976228,5.399340005820038,6.104100022267033,7.559046387506469
1240,6.031954986412349,0.3575052717141529,7.346943847033776,5.881458264135789,6.3303286012141875,7.78548559113563
1260,6.13031437447053,0.2010896384533421,7.527716381504975,5.769327211479171,6.344396886307457,7.838982890968803
1280,6.226779301343076,0.5005557441047855,7.7418738986152675,6.021390554664292,6.588177650879601,8.064546497505205
1300,6.413058305849382,0.5553006809491728,7.96316110959714,6.305154841505612,6.826861797852308,8.245291951982487
1320,6.5561381619300265,0.5632655652898638,8.004472610883514,6.396318237113853,6.929522509352086,8.346966267189899
1340,6.785924833198567,0.29453030081665543,8.213445535989822,6.611784112889156,7.00499075952297,8.546612210067913
1360,7.008267381159475,0.25693422775229335,8.338872952633317,6.618364795453813,7.025717358003547,8.792051297865083
1380,7.091720861159518,0.49642666596039575,8.521368830257126,6.661432712109859,7.264485971791007,9.028022730424198
1400,7.293572047244054,0.36746713993047675,8.731363509447561,7.0117897655285155,7.5084042648123965,9.076296677564628
1420,7.30207024162783,0.2876715269985014,8.802081152212073,7.140485411222395,7.7203254830537364,9.077201870460613
1440,7.306153715616374,0.8416617438704558,8.847463451241783,7.27899548130738,7.78191196307324,9.127391254701124
1460,7.4512681847740305,0.5271847623251785,9.051763318790254,7.6135655521940855,7.980465863808565,9.326685079327849
1480,7.795539789301189,0.42835505664522744,9.263803877875759,7.573761946305165,8.220042107444272,9.56593800665711
1500,7.963734914729504,0.37643321641986555,9.275157558612117,7.734784947627679,8.463568175738173,9.806507490734514
1520,8.157913667851439,0.29969800546853,9.270662454883157,7.792329183535207,8.524566821368134,9.987022331746108
1540,8.357806694019057,0.31464521473867213,9.5015793929103,7.7528561810620715,8.564945896876369,10.049046531974653
1560,8.401366616055292,0.7095969418268351,9.683815902268696,7.906035578544516,8.754679922501401,10.279087604435539
1580,8.457083050720627,0.9319936234216412,9.78155272597816,8.115171149867084,8.81354860712738,10.316154183949251
1600,8.788356285063092,0.3331171026803161,10.040253511675827,8.576388290629987,9.037589661563045,10.563988978464852
1620,8.9048049438453,0.5884028669329243,10.049058883279331,8.532836467311258,9.08834806191811,10.57327974863605
1640,8.989169301044384,0.47812508889889915,10.260868907748423,8.599829466230366,9.29801754580842,10.798431062887058
1660,9.129942059313148,0.7146351509082456,10.46810185575846,8.804606010135261,9.517108688654208,10.996873153185689
1680,9.35830853854798,0.9009960791303552,10.570248489390849,9.029553249865007,9.745170175733652,11.032581933621607
1700,9.421349434038586,0.17961893661186232,10.912547539747477,9.38241894282702,9.98615041098009,11.262007069519349
1720,9.555025875990424,0.48464037684898953,10.90840578373322,9.38721534097129,10.165698326625918,11.467978821484202
1740,9.759516121908788,0.4284343124200033,10.824148905393061,9.653717183417818,10.203604055952004,11.51434333015061
1760,10.105844748422328,0.3665040115800026,10.998193231506518,9.582515339559086,10.325061269152547,11.75515093956075
1780,10.302220529446199,0.5179221613753107,11.012438454820598,9.478681910227609,10.561511807483075,11.970177274330105
1800,10.412357526518967,0.34997183622235895,11.208137498995754,9.783146499706085,10.705918488762897,12.215384635159712
1820,10.484780460377575,0.526858765164063,11.216009098738757,9.869066126298101,10.757948046221262,12.247323684211889
1840,10.755054565706576,0.37136215961877317,11.463138856720757,9.825758031091954,10.785340500421057,12.46390747637335
1860,10.825644861866753,0.5245408637681042,11.701963926428302,10.245785880202941,10.91791688956457,12.701056545826251
1880,10.955121176979091,0.2663843292774414,11.881319542896303,10.29025034427825,11.117371098360808,12.630424129745219
1900,11.014218574621829,0.292708906195052,11.918060890843556,10.37606725887394,11.35222381822508,12.853185011785314
1920,11.115981651904065,0.35676546798202546,11.92056669518139,10.32002744024075,11.565489011729941,12.992110533439355
1940,11.403071950115255,0.27862914168251984,12.132593665003453,10.695074768282975,11.59930442328995,13.101956483617592
1960,11.513441640129738,0.3713907305873272,12.333827960980532,10.658160742978499,11.616904593324396,13.338794472420943
1980,11.73582340471577,0.3735291618900319,12.569976699208981,11.035919820365471,11.771797262189155,13.581844685189267
2000,11.896091175481374,0.33289690586797355,12.764807278610947,11.115124312407698,11.947622038920711,13.789713862370096
2020,12.015181047051428,0.4813942589157129,12.790561349243362,11.096445069136921,12.041192668224285,13.844008428577784
2040,12.273288054993987,0.5072606428566786,13.037100359697197,11.570874604337071,12.397237575721997,14.03076063941814
2060,12.323270554504575,0.3152844217142702,13.23352103496703,11.648046107278168,12.440612908194288,13.957548442152717
2080,12.357366321159358,0.31967019062031504,13.276604220424975,11.786706290029738,12.681608138819115,14.18558892743787
2100,12.56349205025709,0.35595871077942376,13.455342301553427,11.9849592756287,12.918911967251981,14.421461954458817
2120,12.726387025127224,0.6176374743522233,13.474126631886321,11.950637568108585,13.004929357698053,14.47009832176973
2140,12.88705633282645,0.6139247411904003,13.690982296580838,12.110214142027441,13.17866204153301,14.67066585103029
2160,12.986334112078108,0.44923722167859825,13.929907549305344,12.499739786343133,13.385026992432522,14.900909480593974
2180,13.434785848266724,0.2759365802695777,14.132680672835708,12.546604151148454,13.547780906221416,15.144912445015194
2200,13.510144648174848,0.45191827974314663,14.353790985638064,12.823878931063774,13.723724020413169,15.371938477256283
2220,13.61472529011763,0.438843229913469,14.38059631163668,13.069136487437683,13.803491026950025,15.39849814053229
2240,13.833806553634062,0.414957057596366,14.58818608879016,13.014794018908082,13.8322647088755,15.623424574468839
2260,13.974545109880246,0.46838755461546544,14.829285584279724,13.465822742020938,13.979846655844964,15.86555773349161
2280,14.102420500619349,0.24110788762526666,15.012397363380217,13.442016368408764,14.098344154913867,15.982551850542453
2300,14.207302237090758,0.5257779603573843,15.221114643994365,13.590350387851972,14.341934046516215,16.21804976803992
2320,14.26618282263901,0.741333884003587,15.248263189371254,13.692924485687135,14.372774424274898,16.227116276357258
2340,14.511027552065123,0.7720370237111324,15.475110451641278,14.016622680629402,14.597173320221948,16.434042111077897
2360,14.830002004358192,0.5518471826161927,15.696517189758946,14.169691333889473,14.817508035428403,16.66721698641459
2380,14.93664591549657,0.5102434525169308,15.923863125785438,14.34967805475029,15.049905529938002,16.908125982358477
2400,15.055777648572324,0.8316821418011345,16.05032979501465,14.486153474169539,15.253530897048318,16.97678689506636
2420,15.099468215835905,0.9850396705500609,16.13324520470768,14.609750963959927,15.322338474893915,17.040357363794254
2440,15.14898826981905,1.3680800933314725,16.23267177676079,14.773922424448271,15.45346897368233,17.127345444029352
2460,15.554488027998872,0.5717042585508597,16.44572005320528,15.24166385866989,15.608901967887608,17.34908635156343
2480,15.679929088732543,0.47658352530743864,16.681855789575675,15.213736782352973,15.845859246720856,17.57358416677774
2500,15.762122287737597,0.6110996385125993,16.893481359286824,15.320650853567285,16.0759255005076,17.698906455659998
2520,15.984730095006313,0.5052781155828637,16.93831001080807,15.588727945309772,16.274620867568967,17.77433853494557
2540,16.079233095564,0.1756031860665644,17.183100647725194,15.621626712919062,16.52163268012168,17.76012396279652
2560,16.115968776629263,0.3241249559153042,17.42554107726214,15.915136684946292,16.556167328916153,17.989222191841808
2580,16.432949671033104,0.2849964458142356,17.672762282989922,15.959012995257881,16.656550016556505,18.234842362490078
2600,16.489209782720263,0.6512388309953707,17.762754501710624,16.0259127943518,16.780021879518973,18.400715499754224
2620,16.53736372091584,0.6664652954204258,17.89194079437576,16.38550972979479,16.888486567728602,18.466196637577998
2640,16.756810227418367,0.4936276716021751,18.108627650425767,16.641309356530922,17.013586546608504,18.69039508341936
2660,17.142327392264892,0.39378298756049696,18.347734937732866,16.690885047336103,17.197409182825528,18.93074230586728
2680,17.159640837162744,0.8701036983031015,18.47002271503685,16.788033573416808,17.412628859569224,19.070340003774245
2700,17.173819956567716,1.1204463779018938,18.568107485356038,16.96214014004819,17.49048429217933,19.155604139672803
2720,17.474996945833745,0.47959999956107013,18.76387264721504,17.35377307942406,17.7421610185549,19.087847704089885
2740,17.49434756035242,0.13548936982546983,18.945772765672974,17.308191505405617,17.972655194838733,19.05084382873621
2760,17.52160721125832,0.3725217665749379,18.84294987922628,17.365247712720343,17.9904433216206,19.28855894655766
2780,17.76952697158785,0.14459019779140597,19.050882107487134,17.57402800120655,18.14581435849759,19.505245884252652
2800,17.875469006884305,0.3436241217887425,19.262650325676923,17.59919660550118,18.22165879798873,19.726296321748414
2820,18.05752800653635,0.45599627066404674,19.296849526088227,17.628001504763635,18.298817371495034,19.735221760118055
2840,18.11416009569728,0.845858067343422,19.469907928715166,17.774092856274343,18.47746286734321,19.93809310171783
2860,18.135179591626354,1.1643067523538095,19.570954969865756,17.95412002089648,18.564666900897507,20.010699386305106
2880,18.382670407905028,0.22776878016219163,19.871480966418517,18.31880609490519,18.769162343917746,20.095676525061698
2900,18.59346347561262,0.27550326985732243,19.84044053738608,18.255165747910574,19.015295083398257,20.32447781692351
2920,18.66213921158869,0.25291213623683606,19.838742822947612,18.364137459402478,19.236866428006202,20.513882404473822
2940,18.909011206509398,0.2811708248104553,20.041485045933968,18.45127976658681,19.263717797324087,20.549504095438515
2960,19.131196282851892,0.2962454639458508,20.285013929385673,18.510891323624932,19.335585743783376,20.771243742334537
2980,19.204825362755457,0.4378803719030938,20.52032698525207,18.7974419985602,19.48831579412809,21.00755292502546
3000,19.334218971654533,0.41284611717728914,20.633035472273736,18.99598804598668,19.72632643287154,21.027425882572917
3020,19.368218452644722,0.38370297901177264,20.7454821474561,19.10930104899099,19.7976650286683,21.220174829700678
3040,19.572223589152415,0.357385348410535,20.64747083790013,19.094793185581686,19.81189209161188,21.25386644441493
3060,19.74428042019792,0.25615582305824186,20.83340798131061,19.13549976204008,19.94759314461594,21.486269302999382
3080,19.928415589408523,0.439913210063537,21.06557113602098,19.451169391286527,20.187267329322815,21.72859053482558
3100,20.06674677732508,0.5782628504128036,21.260710487970393,19.646525568008524,20.380944719924123,21.86637409194187
3120,20.193822203708212,0.6339267703885986,21.30985280566047,19.64025607659576,20.471957808047993,21.995147127746247
3140,20.493665078799545,0.5125070594929751,21.532719388353073,19.910965028143334,20.636940889819392,22.197547483843817
3160,20.653704734666878,0.3315244481719416,21.775953724358256,20.062085721806625,20.775185589607812,22.441226267315024
