time step,failed agent x-position,formation velocity,other agent x-positions,,,
0,-2.0,0.0,-3.0606601717798214,-2.0000000000000004,-3.060660171779822,-2.000000000000001
20,-2.0041004747500426,0.33402322764971604,-3.3058501954586714,-1.7556998664397052,-3.1423401498149444,-1.9979571469315234
40,-1.9196386573035626,0.5398872758733242,-3.3156747918021603,-1.7529486970774772,-3.2871572878557376,-1.8455738241018302
60,-1.7757616638753182,0.5872957204643325,-3.3223657346840034,-1.7336731901796567,-3.282697705243355,-1.7543782285858787
80,-1.7073645520340965,0.7420366200443471,-3.2747096051534834,-1.6794917943304797,-3.2258360121283323,-1.6225829138739445
100,-1.62769987628487,0.9989255041908429,-3.2180736734754793,-1.6282462730268803,-3.1505710308366113,-1.522280634234362
120,-1.5240974766887279,1.1236808718397857,-3.1463177632408175,-1.5689319393690604,-3.0550544450815726,-1.4150086029423332
140,-1.4330821397666,1.2470520950120247,-3.0563367214300974,-1.5028697274228773,-2.944818719429429,-1.2983659481540197
160,-1.3301881304881766,1.4259525590586697,-2.9491810802570297,-1.4266184429010385,-2.822036141946936,-1.1887647161193424
180,-1.23307023808798,1.4540969933099055,-2.842472489475996,-1.3475668655409807,-2.7061116886762173,-1.0847926338969738
200,-1.1294476536829388,1.3418541151326042,-2.727571734826289,-1.2637408985997274,-2.5845500312610588,-0.9758970777253386
220,-1.0238056135603577,1.2668652866808237,-2.615267529482497,-1.1729010187190392,-2.4661533116380054,-0.8641632427270636
240,-0.9151152276346488,1.2162719885128461,-2.5003919164698676,-1.0792701271881913,-2.347091955516237,-0.7450198141537143
260,-0.8173813847774807,1.326076867609942,-2.387785440355098,-0.9923625361043322,-2.2348873350538754,-0.6306897392100461
280,-0.7218402902279688,1.2882800470342806,-2.2826939000999458,-0.9149597359065789,-2.1332586597539445,-0.524266446093548
300,-0.6210156185994433,1.21923679002601,-2.180351273844551,-0.8444228307100898,-2.034036911394187,-0.41632145189086067
320,-0.5059111725496106,1.1397299073654197,-2.0674611426580682,-0.7714045305394388,-1.9259162757965775,-0.29470486307098853
340,-0.3050878607696337,0.7718814389493801,-1.7606960134843779,-0.5758308454760233,-1.657865359576374,-0.09794943987383342
360,-0.1637722578920855,0.5598872882187911,-1.5346857464512482,-0.4825343002812623,-1.4543391559224448,0.09658267725459968
380,0.10462111883333103,0.4150336204922155,-1.3785629627806524,-0.295673383491609,-1.4536927633519687,0.3467706105398509
400,0.1308356642538988,0.5207724615931844,-1.1880129968029896,-0.07466641129599694,-1.0440522521964066,0.41648078987226667
420,0.3361029136182383,0.4884682864560389,-1.0449739197617776,0.016754817575796555,-1.0440269361628198,0.5983255150503255
440,0.582949179587609,0.3575762743650867,-0.7525757192361575,0.24686466042183852,-0.6493139036698046,0.832995497475566
460,0.5001881138945836,0.2728392735810783,-0.9361017902966577,0.25694764148354876,-0.6563317910069433,1.0793292854825802
480,0.6831913810053147,0.2729515160209251,-0.6244150683312135,0.42653485999775453,-0.399844865349992,1.3061310668345065
500,0.6873849447613014,0.6878846573276514,-0.7486398222302801,0.5187327020759911,-0.2683032322685852,1.3504354565176273
520,0.9378227209569459,0.43316700185272083,-0.5132115602186236,0.5791690951970216,-0.13145177074666092,1.5529428316005478
540,0.9112288264137329,0.17834566895990817,-0.4655730606681452,0.6785139509526048,0.26896752206499874,1.7832201384219033
560,0.8925094831469718,0.23747836348815904,-0.5295530889109794,0.6705814511729127,0.07575028647627757,2.027952156104452
580,0.8795518614494657,0.2860813855786165,-0.3482713544922085,0.805421039240787,0.4241916024251582,2.2509221452146573
