Timestep,agent_0_x,agent_0_y,agent_0_velocity,agent_1_x,agent_1_y,agent_1_velocity,agent_2_x,agent_2_y,agent_2_velocity,agent_3_x,agent_3_y,agent_3_velocity,agent_4_x,agent_4_y,agent_4_velocity,agent_5_x,agent_5_y,agent_5_velocity,agent_6_x,agent_6_y,agent_6_velocity,agent_7_x,agent_7_y,agent_7_velocity,agent_8_x,agent_8_y,agent_8_velocity
0,0.0,-4.5,0.0,0.0,-3.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,3.0,0.0,0.0,4.5,0.0,0.0,6.0,0.0,0.0,7.5,0.0
20,7e-05,-4.50048,0.0010102349043398223,0.00025,-2.99901,0.0028282933531160303,0.24969,-1.49639,0.002866786211885228,0.00013,-0.00062,0.0020170137749229854,7e-05,1.50009,0.0018955323490495502,0.00011,3.00028,0.0002226271753766189,0.24958,4.48864,0.012859656711909272,-0.13993,5.89697,0.9096517852419629,0.00825,7.74491,0.024916568428110377
40,0.04379,-4.7452,0.002124849884203143,0.22141,-3.10334,0.08411539701692863,0.25014,-1.4975,0.000709703552645321,-0.00664,-0.14972,1.1968845209429377,-0.00052,1.50506,0.003081076612335799,-0.1716,3.17667,0.03079662908886152,0.24976,4.48876,0.00016356057732002632,-0.18832,5.83922,0.00020089401494064032,0.00804,7.74642,0.0001569730515174189
60,0.0438,-4.74536,1.91352557310857e-05,0.22801,-3.10481,0.0043486033393190585,0.41276,-1.47461,1.1423446075482802,-0.00743,-0.24368,0.04059943847646848,0.06605,1.71268,0.31917138646362075,-0.17334,3.18008,0.008314736389723635,0.42414,4.56575,0.7201092482042538,-0.18789,5.8428,0.04849615873421692,0.05804,7.76099,0.5409243121309789
80,0.0396,-4.9452,0.5755081635146215,0.3952,-3.21925,0.5731340793126669,0.49556,-1.47117,0.03409814158225704,-0.00706,-0.23647,0.10134922895946304,0.0698,1.73897,0.015208177496579543,-0.32812,3.32909,0.4145601021905602,0.48029,4.57959,0.022116286877995297,-0.41047,5.85477,0.3137669142980283,0.09102,7.93047,0.5500629463572662
100,0.03959,-4.99265,0.0026069848324619155,0.4371,-3.24136,0.004099689066856686,0.64941,-1.49114,1.1914128482766126,-0.2525,-0.21599,0.03599190191804872,-0.15133,1.72211,0.47337803850159915,-0.35404,3.35176,0.0069008259488582266,0.6487,4.67851,0.673228728850679,-0.43613,5.87811,0.046024689769254286,0.08974,7.90837,0.5679941792160327
120,0.03268,-4.99921,0.3462369862563481,0.4375,-3.24139,0.002645957191387331,0.73817,-1.49387,0.09789195763695441,-0.25501,-0.21635,0.002702661024508628,-0.17769,1.72125,0.027541596240794136,-0.35645,3.35614,0.43572992007904343,0.69702,4.69443,0.05225595534744432,-0.44558,5.93189,1.586146892321275,0.26213,7.8054,1.0029505358229733
140,0.01983,-5.20313,0.4279685908529215,0.60111,-3.39655,0.28681045928360827,0.74465,-1.49568,0.02731934726797419,-0.32882,-0.07614,1.3151741194118272,-0.25326,1.68402,1.5291270345724681,-0.51,3.51953,0.22928401351232758,0.71178,4.74383,0.8724087495867742,-0.55169,6.0988,0.1128463483655593,0.33608,7.84631,0.7510219145415353
160,0.0143,-5.25235,0.3929676040016353,0.61824,-3.41228,0.015723080540176414,0.91349,-1.61383,0.5238433038780346,-0.3834,-0.00925,0.036027940196437576,-0.41568,1.66284,0.07848174542694658,-0.52094,3.53042,0.03279081185218169,0.85853,4.80859,0.6866656860276297,-0.56587,6.18108,1.3658161544721936,0.39313,7.89589,1.0667764151225962
180,0.01118,-5.48033,0.002026085070559884,0.67821,-3.65382,0.003141997656651554,0.95642,-1.62585,0.0021653446769777764,-0.36145,-0.24871,0.08023316205309373,-0.39696,1.71843,1.2457295838501146,-0.75733,3.60652,0.008052473690984873,0.55986,4.81209,0.3281907319019299,-0.46602,6.29167,0.5103015015873953,0.50351,8.04337,0.00083519225766973
200,0.01118,-5.48043,0.00033651298956793966,0.67822,-3.65409,0.005810492332554549,0.97486,-1.68661,0.9990395228705351,-0.36121,-0.25311,0.018194159057047157,-0.37986,1.84941,0.6752744006474131,-0.75777,3.60713,0.007220703804314577,0.54828,4.80127,0.13239775686304436,-0.52048,6.29575,0.46615564276797644,0.51828,8.04986,0.5149133752704261
