time step,collective radius,# of objects collected,agent positions,,,,,,,,,,obstacle positions
0,58705.93460342609,0,"(-2.0, -4.5)","(-2.0, -3.5)","(-2.0, -2.5)","(-2.0, -1.5)","(-2.0, -0.5)","(-2.0, 0.5)","(-2.0, 1.5)","(-2.0, 2.5)","(-2.0, 3.5)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
20,34345.50124105239,0,"(-1.9999579274451655, -4.501613260225257)","(-1.9929423853234909, -3.6516758424290043)","(-1.9999655526550426, -2.500522848564266)","(-1.967906647616491, -1.4961128769774663)","(-2.000004870675687, -0.4999909486931641)","(-2.000000920293386, 0.5000844533807304)","(-1.9999456660166455, 1.506153246251615)","(-2.002440277769761, 2.7403812590958494)","(-1.9978655150660547, 3.504036194838797)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
40,80.94091020387258,0,"(-1.869474878700159, -4.710870164190826)","(-1.9918151547518164, -3.749927371105934)","(-1.9936020264735288, -2.714985538037359)","(-1.9674214731754431, -1.4962722855323163)","(-1.9999207175173899, -0.500023295779026)","(-2.0019518626495008, 0.5066804340596042)","(-2.012615418013914, 1.7542341558544048)","(-2.0024575112471763, 2.7500747203164386)","(-1.880458992231103, 3.720783733034092)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
60,97.37593100072105,0,"(-1.8678558793488267, -4.714150296432978)","(-1.9942942472314023, -3.752263873298661)","(-1.993116791540236, -2.7559331601576487)","(-1.9494272542911493, -1.5291360893199348)","(-1.9994006671390783, -0.729149567268335)","(-2.018467901340108, 0.7470326732159795)","(-2.0125563080000552, 1.7561453916125682)","(-2.0932361019603514, 2.954333444207506)","(-1.8803506045820928, 3.7208832618847265)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
80,59.835302109869325,0,"(-1.833501802695988, -4.74502833511373)","(-2.0439008985750244, -3.9625650060186213)","(-1.995605425418765, -2.7593048149315704)","(-1.9264954450509835, -1.7255281202283501)","(-1.999434311634061, -0.7447368149698743)","(-2.018458301197695, 0.747540897098232)","(-1.9785095874974057, 1.8842262525727445)","(-2.0992465511612077, 2.9791022988833493)","(-1.7352301818285405, 3.8498627785489847)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
100,51.492034744271756,0,"(-1.6639529744806123, -4.858846675445455)","(-2.047491283568316, -3.9948743672400955)","(-2.0552211702740064, -2.998141536937487)","(-1.9282523772658584, -1.738465719044983)","(-1.9562959613890007, -0.50864204597021)","(-1.965584445359891, 0.5177901510003118)","(-1.9686646363383637, 1.9971388252443973)","(-2.2854083028505943, 3.114469593937612)","(-1.6930734931323455, 3.8859208039756243)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
120,29.45031442557161,0,"(-1.6611007588704316, -4.8610695789787295)","(-2.138552039735307, -4.225949936783761)","(-2.055415306170138, -2.998140508439628)","(-2.1582905758359012, -1.6573386432180748)","(-1.9557148283681107, -0.500886441020539)","(-1.9655847902318422, 0.5063722714232971)","(-1.9458903540755774, 1.8790205246093539)","(-2.3030382924461734, 3.124409426006601)","(-1.460204096121477, 3.9653895818895997)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
140,23.13591933252934,0,"(-1.4161986682034997, -4.891808550263821)","(-2.138499571627504, -4.22535074924985)","(-1.935402045776883, -2.7810947169526767)","(-2.159189318928534, -1.6571328252930702)","(-1.9116714205915637, -0.7255383089154639)","(-1.9996441701220515, 0.7492489331641778)","(-1.9344164460399547, 1.7520210942696677)","(-2.2974025613039695, 3.1135290383945593)","(-1.456514936861036, 3.966367857346754)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
160,16.388970384638345,0,"(-1.4161838856435447, -4.891768855887734)","(-2.0359644379454966, -3.997704390775498)","(-1.934975508971164, -2.7791060298087804)","(-2.2971316069680268, -1.86550810044263)","(-1.9104915022099085, -0.7451367779548455)","(-1.9996006388422456, 0.7503271757111887)","(-1.9352516716572694, 1.7541882826922315)","(-2.210370990435974, 2.8901950330170445)","(-1.3738389851554182, 3.735057268780683)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
180,13.799379934277427,0,"(-1.1956785062563333, -4.773957899331252)","(-2.035731547139689, -3.9974861302204037)","(-1.932807807250533, -3.02863969558708)","(-2.2971213868494553, -1.8657840165184223)","(-1.9090179851884148, -0.7347577504950757)","(-1.958357187403982, 0.5159168232391713)","(-1.9420144747602524, 1.9955966721905036)","(-2.2103243330400844, 2.890646394552311)","(-1.3720746112178428, 3.7300175795349024)","(2.2547006299323007, 1.1984479135149213)","(0.8573371472330634, -1.7693936756339825)","(0.15096972391082364, -1.4483550068649977)","(2.5929106167266562, -0.5384018368542223)","(0.9429103421577073, 1.5290645484375025)","(2.305500816561891, -1.0754570129102423)","(1.3813069297468905, -0.2259212219682296)","(0.08935179928970205, 1.936986546529925)","(1.7458472890059582, -0.19313417364159324)","(2.4682285813780944, 0.6225110908135032)"
