time step,collective radius,# of objects collected,agent positions,,,,,,,,,,obstacle positions
0,58705.93460342609,0,"(-2.0, -4.5)","(-2.0, -3.5)","(-2.0, -2.5)","(-2.0, -1.5)","(-2.0, -0.5)","(-2.0, 0.5)","(-2.0, 1.5)","(-2.0, 2.5)","(-2.0, 3.5)","(0.3272013946633331, 0.43290274209781776)","(2.223713311923749, 0.5095978772634813)","(2.1749606804763557, -1.9003733865472592)","(1.240104429899998, 1.803811157533485)","(0.7026053155929987, 1.492267270203894)","(0.7238802668108122, 0.23498919843410127)","(2.933257561566043, 1.9951804599539802)","(0.9346783542625579, -0.12540560534006406)","(0.6372840667066088, -0.227855237092371)","(0.9040250881197447, 1.8250256681648946)","(2.6429464468375494, -1.8853954298933893)","(0.41690446980754914, -1.3032063673180345)","(2.948970049940702, -1.0915290127136812)","(2.0654425586019496, 0.8342620373702387)","(1.8929950427496416, 1.9172973029686822)","(2.5364475018501977, 1.2260533988911075)","(2.7617413173768233, 1.5549489994655739)","(1.9850597624946538, -0.4035499302876775)","(1.4264152610168086, 1.58471482355979)","(2.530513254499633, 1.0104143569593371)","(1.7253536939010643, -1.6801206299262907)","(2.825405784348127, -1.7442944722816502)","(1.3756565984102775, -1.6890971249025615)","(1.6492232161077864, -1.0453658080567587)","(2.3871733653658462, 1.372883895480728)","(0.7889729380584937, -0.579199418670922)","(0.5350272433548674, -0.6156591645349696)","(0.391438637509511, -1.074005574141581)","(1.7843086276376305, 0.8455073675611708)","(2.1897355976393125, -1.2281522968698013)"
20,182.62562868275498,0,"(-1.997535779846747, -4.504166682912213)","(-2.002465663780797, -3.7435819031532973)","(-2.0000762782652797, -2.5069158227875663)","(-2.0000067444708165, -1.4999903329186701)","(-2.0000088351144814, -0.4999563138753)","(-1.9949258492141722, 0.4949267976942832)","(-2.000013057930561, 1.499971559964852)","(-1.999718195121765, 2.502889018804582)","(-1.9062895614666613, 3.706480922453167)","(0.3272013946633331, 0.43290274209781776)","(2.223713311923749, 0.5095978772634813)","(2.1749606804763557, -1.9003733865472592)","(1.240104429899998, 1.803811157533485)","(0.7026053155929987, 1.492267270203894)","(0.7238802668108122, 0.23498919843410127)","(2.933257561566043, 1.9951804599539802)","(0.9346783542625579, -0.12540560534006406)","(0.6372840667066088, -0.227855237092371)","(0.9040250881197447, 1.8250256681648946)","(2.6429464468375494, -1.8853954298933893)","(0.41690446980754914, -1.3032063673180345)","(2.948970049940702, -1.0915290127136812)","(2.0654425586019496, 0.8342620373702387)","(1.8929950427496416, 1.9172973029686822)","(2.5364475018501977, 1.2260533988911075)","(2.7617413173768233, 1.5549489994655739)","(1.9850597624946538, -0.4035499302876775)","(1.4264152610168086, 1.58471482355979)","(2.530513254499633, 1.0104143569593371)","(1.7253536939010643, -1.6801206299262907)","(2.825405784348127, -1.7442944722816502)","(1.3756565984102775, -1.6890971249025615)","(1.6492232161077864, -1.0453658080567587)","(2.3871733653658462, 1.372883895480728)","(0.7889729380584937, -0.579199418670922)","(0.5350272433548674, -0.6156591645349696)","(0.391438637509511, -1.074005574141581)","(1.7843086276376305, 0.8455073675611708)","(2.1897355976393125, -1.2281522968698013)"
40,82.51782145170796,0,"(-1.8643758931405165, -4.711756604037569)","(-2.002493285872277, -3.7499801887921893)","(-1.9873738367142604, -2.7573094620676195)","(-1.9863335332594851, -1.5176121207256472)","(-1.9999656851511498, -0.5003185626060904)","(-1.9939358585356584, 0.49396335848849954)","(-2.0123305336896475, 1.511648057880629)","(-2.000563737379444, 2.5122835051784316)","(-1.9000920421056333, 3.7295500645826443)","(0.3272013946633331, 0.43290274209781776)","(2.223713311923749, 0.5095978772634813)","(2.1749606804763557, -1.9003733865472592)","(1.240104429899998, 1.803811157533485)","(0.7026053155929987, 1.492267270203894)","(0.7238802668108122, 0.23498919843410127)","(2.933257561566043, 1.9951804599539802)","(0.9346783542625579, -0.12540560534006406)","(0.6372840667066088, -0.227855237092371)","(0.9040250881197447, 1.8250256681648946)","(2.6429464468375494, -1.8853954298933893)","(0.41690446980754914, -1.3032063673180345)","(2.948970049940702, -1.0915290127136812)","(2.0654425586019496, 0.8342620373702387)","(1.8929950427496416, 1.9172973029686822)","(2.5364475018501977, 1.2260533988911075)","(2.7617413173768233, 1.5549489994655739)","(1.9850597624946538, -0.4035499302876775)","(1.4264152610168086, 1.58471482355979)","(2.530513254499633, 1.0104143569593371)","(1.7253536939010643, -1.6801206299262907)","(2.825405784348127, -1.7442944722816502)","(1.3756565984102775, -1.6890971249025615)","(1.6492232161077864, -1.0453658080567587)","(2.3871733653658462, 1.372883895480728)","(0.7889729380584937, -0.579199418670922)","(0.5350272433548674, -0.6156591645349696)","(0.391438637509511, -1.074005574141581)","(1.7843086276376305, 0.8455073675611708)","(2.1897355976393125, -1.2281522968698013)"
60,62.13313539765325,0,"(-1.8643628062880349, -4.711810230434502)","(-2.058050561963341, -3.927989572757997)","(-1.9872132089167573, -2.7590546060308796)","(-1.9863438221989873, -1.5172220096457447)","(-2.0434231775905416, -0.4786817502471559)","(-1.9917421248825462, 0.49018812242901705)","(-2.0132864637294787, 1.5135395316077453)","(-2.006489954926633, 2.757523767251687)","(-1.8147491170018937, 3.8082113803478697)","(0.3272013946633331, 0.43290274209781776)","(2.223713311923749, 0.5095978772634813)","(2.1749606804763557, -1.9003733865472592)","(1.240104429899998, 1.803811157533485)","(0.7026053155929987, 1.492267270203894)","(0.7238802668108122, 0.23498919843410127)","(2.933257561566043, 1.9951804599539802)","(0.9346783542625579, -0.12540560534006406)","(0.6372840667066088, -0.227855237092371)","(0.9040250881197447, 1.8250256681648946)","(2.6429464468375494, -1.8853954298933893)","(0.41690446980754914, -1.3032063673180345)","(2.948970049940702, -1.0915290127136812)","(2.0654425586019496, 0.8342620373702387)","(1.8929950427496416, 1.9172973029686822)","(2.5364475018501977, 1.2260533988911075)","(2.7617413173768233, 1.5549489994655739)","(1.9850597624946538, -0.4035499302876775)","(1.4264152610168086, 1.58471482355979)","(2.530513254499633, 1.0104143569593371)","(1.7253536939010643, -1.6801206299262907)","(2.825405784348127, -1.7442944722816502)","(1.3756565984102775, -1.6890971249025615)","(1.6492232161077864, -1.0453658080567587)","(2.3871733653658462, 1.372883895480728)","(0.7889729380584937, -0.579199418670922)","(0.5350272433548674, -0.6156591645349696)","(0.391438637509511, -1.074005574141581)","(1.7843086276376305, 0.8455073675611708)","(2.1897355976393125, -1.2281522968698013)"
80,42.96674734429341,0,"(-1.6789749181045506, -4.8785096619293595)","(-2.066181573301613, -3.990012413158404)","(-1.7684750429466216, -2.7215353806278255)","(-1.9349070763420153, -1.7580256075201164)","(-2.0470231727810733, -0.4788445854315963)","(-1.9456636516344596, 0.24915410821380074)","(-2.01068469535894, 1.514413967944148)","(-2.0061480006380075, 2.758560901997723)","(-1.714835973938132, 3.8975822906204693)","(0.3272013946633331, 0.43290274209781776)","(2.223713311923749, 0.5095978772634813)","(2.1749606804763557, -1.9003733865472592)","(1.240104429899998, 1.803811157533485)","(0.7026053155929987, 1.492267270203894)","(0.7238802668108122, 0.23498919843410127)","(2.933257561566043, 1.9951804599539802)","(0.9346783542625579, -0.12540560534006406)","(0.6372840667066088, -0.227855237092371)","(0.9040250881197447, 1.8250256681648946)","(2.6429464468375494, -1.8853954298933893)","(0.41690446980754914, -1.3032063673180345)","(2.948970049940702, -1.0915290127136812)","(2.0654425586019496, 0.8342620373702387)","(1.8929950427496416, 1.9172973029686822)","(2.5364475018501977, 1.2260533988911075)","(2.7617413173768233, 1.5549489994655739)","(1.9850597624946538, -0.4035499302876775)","(1.4264152610168086, 1.58471482355979)","(2.530513254499633, 1.0104143569593371)","(1.7253536939010643, -1.6801206299262907)","(2.825405784348127, -1.7442944722816502)","(1.3756565984102775, -1.6890971249025615)","(1.6492232161077864, -1.0453658080567587)","(2.3871733653658462, 1.372883895480728)","(0.7889729380584937, -0.579199418670922)","(0.5350272433548674, -0.6156591645349696)","(0.391438637509511, -1.074005574141581)","(1.7843086276376305, 0.8455073675611708)","(2.1897355976393125, -1.2281522968698013)"
100,39.79781681303488,0,"(-1.6783091868723639, -4.878818620819693)","(-1.9691709003681541, -3.814990595839026)","(-1.740682026360362, -2.7179708019999897)","(-1.934938869328724, -1.762060777746907)","(-2.073194419496537, -0.7252910238172774)","(-1.9457042597457463, 0.24870411491001454)","(-1.7720353143212177, 1.5770812357271704)","(-1.8043052205595431, 2.612142350961264)","(-1.7126572126829687, 3.890979882924456)","(0.3272013946633331, 0.43290274209781776)","(2.223713311923749, 0.5095978772634813)","(2.1749606804763557, -1.9003733865472592)","(1.240104429899998, 1.803811157533485)","(0.7026053155929987, 1.492267270203894)","(0.7238802668108122, 0.23498919843410127)","(2.933257561566043, 1.9951804599539802)","(0.9346783542625579, -0.12540560534006406)","(0.6372840667066088, -0.227855237092371)","(0.9040250881197447, 1.8250256681648946)","(2.6429464468375494, -1.8853954298933893)","(0.41690446980754914, -1.3032063673180345)","(2.948970049940702, -1.0915290127136812)","(2.0654425586019496, 0.8342620373702387)","(1.8929950427496416, 1.9172973029686822)","(2.5364475018501977, 1.2260533988911075)","(2.7617413173768233, 1.5549489994655739)","(1.9850597624946538, -0.4035499302876775)","(1.4264152610168086, 1.58471482355979)","(2.530513254499633, 1.0104143569593371)","(1.7253536939010643, -1.6801206299262907)","(2.825405784348127, -1.7442944722816502)","(1.3756565984102775, -1.6890971249025615)","(1.6492232161077864, -1.0453658080567587)","(2.3871733653658462, 1.372883895480728)","(0.7889729380584937, -0.579199418670922)","(0.5350272433548674, -0.6156591645349696)","(0.391438637509511, -1.074005574141581)","(1.7843086276376305, 0.8455073675611708)","(2.1897355976393125, -1.2281522968698013)"
120,22.619654447153057,0,"(-1.470461397223516, -5.013443056920608)","(-1.9494292210725304, -3.7704540062108802)","(-1.7386708650578273, -2.720163399167531)","(-1.8849548366593252, -1.5698729495043457)","(-2.0731531585446814, -0.7260770251795358)","(-1.903142054789628, 0.49389640428207077)","(-1.7719125986385649, 1.577682061798275)","(-1.8044093269141885, 2.6107616027158196)","(-1.509001127877431, 3.7546701734082983)","(0.3272013946633331, 0.43290274209781776)","(2.223713311923749, 0.5095978772634813)","(2.1749606804763557, -1.9003733865472592)","(1.240104429899998, 1.803811157533485)","(0.7026053155929987, 1.492267270203894)","(0.7238802668108122, 0.23498919843410127)","(2.933257561566043, 1.9951804599539802)","(0.9346783542625579, -0.12540560534006406)","(0.6372840667066088, -0.227855237092371)","(0.9040250881197447, 1.8250256681648946)","(2.6429464468375494, -1.8853954298933893)","(0.41690446980754914, -1.3032063673180345)","(2.948970049940702, -1.0915290127136812)","(2.0654425586019496, 0.8342620373702387)","(1.8929950427496416, 1.9172973029686822)","(2.5364475018501977, 1.2260533988911075)","(2.7617413173768233, 1.5549489994655739)","(1.9850597624946538, -0.4035499302876775)","(1.4264152610168086, 1.58471482355979)","(2.530513254499633, 1.0104143569593371)","(1.7253536939010643, -1.6801206299262907)","(2.825405784348127, -1.7442944722816502)","(1.3756565984102775, -1.6890971249025615)","(1.6492232161077864, -1.0453658080567587)","(2.3871733653658462, 1.372883895480728)","(0.7889729380584937, -0.579199418670922)","(0.5350272433548674, -0.6156591645349696)","(0.391438637509511, -1.074005574141581)","(1.7843086276376305, 0.8455073675611708)","(2.1897355976393125, -1.2281522968698013)"
140,23.101231278546436,0,"(-1.469821806949653, -5.013380708359319)","(-1.9453663125212477, -3.779836205150617)","(-1.6906531825353264, -2.9601841134970526)","(-1.8787818006058434, -1.5190606581759643)","(-2.1464196147894787, -0.4974670931982651)","(-1.9029893623494614, 0.4949049277807879)","(-1.7453924242724586, 1.3317801978092425)","(-1.8813129408502016, 2.845576574189035)","(-1.5089338587753625, 3.754767159121643)","(0.3272013946633331, 0.43290274209781776)","(2.223713311923749, 0.5095978772634813)","(2.1749606804763557, -1.9003733865472592)","(1.240104429899998, 1.803811157533485)","(0.7026053155929987, 1.492267270203894)","(0.7238802668108122, 0.23498919843410127)","(2.933257561566043, 1.9951804599539802)","(0.9346783542625579, -0.12540560534006406)","(0.6372840667066088, -0.227855237092371)","(0.9040250881197447, 1.8250256681648946)","(2.6429464468375494, -1.8853954298933893)","(0.41690446980754914, -1.3032063673180345)","(2.948970049940702, -1.0915290127136812)","(2.0654425586019496, 0.8342620373702387)","(1.8929950427496416, 1.9172973029686822)","(2.5364475018501977, 1.2260533988911075)","(2.7617413173768233, 1.5549489994655739)","(1.9850597624946538, -0.4035499302876775)","(1.4264152610168086, 1.58471482355979)","(2.530513254499633, 1.0104143569593371)","(1.7253536939010643, -1.6801206299262907)","(2.825405784348127, -1.7442944722816502)","(1.3756565984102775, -1.6890971249025615)","(1.6492232161077864, -1.0453658080567587)","(2.3871733653658462, 1.372883895480728)","(0.7889729380584937, -0.579199418670922)","(0.5350272433548674, -0.6156591645349696)","(0.391438637509511, -1.074005574141581)","(1.7843086276376305, 0.8455073675611708)","(2.1897355976393125, -1.2281522968698013)"
160,15.646320939430588,0,"(-1.255761243971621, -5.113080174780882)","(-1.9309516752833253, -4.021554844939918)","(-1.6906656824697022, -2.960802221874571)","(-1.8753440332819964, -1.5292500766987522)","(-2.148774638525902, -0.4869697402830223)","(-2.0305633476849017, 0.29231546537647574)","(-1.7456605431816905, 1.3319553264840172)","(-1.881151952585236, 2.8458549824207817)","(-1.2801282452796463, 3.8543103836033743)","(0.3272013946633331, 0.43290274209781776)","(2.223713311923749, 0.5095978772634813)","(2.1749606804763557, -1.9003733865472592)","(1.240104429899998, 1.803811157533485)","(0.7026053155929987, 1.492267270203894)","(0.7238802668108122, 0.23498919843410127)","(2.933257561566043, 1.9951804599539802)","(0.9346783542625579, -0.12540560534006406)","(0.6372840667066088, -0.227855237092371)","(0.9040250881197447, 1.8250256681648946)","(2.6429464468375494, -1.8853954298933893)","(0.41690446980754914, -1.3032063673180345)","(2.948970049940702, -1.0915290127136812)","(2.0654425586019496, 0.8342620373702387)","(1.8929950427496416, 1.9172973029686822)","(2.5364475018501977, 1.2260533988911075)","(2.7617413173768233, 1.5549489994655739)","(1.9850597624946538, -0.4035499302876775)","(1.4264152610168086, 1.58471482355979)","(2.530513254499633, 1.0104143569593371)","(1.7253536939010643, -1.6801206299262907)","(2.825405784348127, -1.7442944722816502)","(1.3756565984102775, -1.6890971249025615)","(1.6492232161077864, -1.0453658080567587)","(2.3871733653658462, 1.372883895480728)","(0.7889729380584937, -0.579199418670922)","(0.5350272433548674, -0.6156591645349696)","(0.391438637509511, -1.074005574141581)","(1.7843086276376305, 0.8455073675611708)","(2.1897355976393125, -1.2281522968698013)"
180,15.595141889468898,0,"(-1.2417261864457, -5.117778967499173)","(-1.9308776938349963, -4.020360831195119)","(-1.711368412726896, -2.7123456622933246)","(-1.778255611497398, -1.7459768066000474)","(-2.1439337626922947, -0.49716077390185925)","(-2.034681000881565, 0.28332857511134346)","(-1.6777615880141084, 1.5711817102837773)","(-1.8082494575958896, 2.6163337456319264)","(-1.2807260346400082, 3.8529594363452873)","(0.3272013946633331, 0.43290274209781776)","(2.223713311923749, 0.5095978772634813)","(2.1749606804763557, -1.9003733865472592)","(1.240104429899998, 1.803811157533485)","(0.7026053155929987, 1.492267270203894)","(0.7238802668108122, 0.23498919843410127)","(2.933257561566043, 1.9951804599539802)","(0.9346783542625579, -0.12540560534006406)","(0.6372840667066088, -0.227855237092371)","(0.9040250881197447, 1.8250256681648946)","(2.6429464468375494, -1.8853954298933893)","(0.41690446980754914, -1.3032063673180345)","(2.948970049940702, -1.0915290127136812)","(2.0654425586019496, 0.8342620373702387)","(1.8929950427496416, 1.9172973029686822)","(2.5364475018501977, 1.2260533988911075)","(2.7617413173768233, 1.5549489994655739)","(1.9850597624946538, -0.4035499302876775)","(1.4264152610168086, 1.58471482355979)","(2.530513254499633, 1.0104143569593371)","(1.7253536939010643, -1.6801206299262907)","(2.825405784348127, -1.7442944722816502)","(1.3756565984102775, -1.6890971249025615)","(1.6492232161077864, -1.0453658080567587)","(2.3871733653658462, 1.372883895480728)","(0.7889729380584937, -0.579199418670922)","(0.5350272433548674, -0.6156591645349696)","(0.391438637509511, -1.074005574141581)","(1.7843086276376305, 0.8455073675611708)","(2.1897355976393125, -1.2281522968698013)"
