time step,collective radius,# of objects collected,agent positions,,,,,,,,,,obstacle positions
0,58705.93460342609,0,"(-2.0, -4.5)","(-2.0, -3.5)","(-2.0, -2.5)","(-2.0, -1.5)","(-2.0, -0.5)","(-2.0, 0.5)","(-2.0, 1.5)","(-2.0, 2.5)","(-2.0, 3.5)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
20,145.48479705583395,0,"(-1.8832870801871582, -4.715695947805209)","(-1.999720859196996, -3.5052768150491507)","(-1.9997915581320689, -2.4996758370817)","(-1.9989677621310247, -1.4857476236805962)","(-2.0000861968699777, -0.5002263306012251)","(-1.999922255919785, 0.5001204141591021)","(-2.002423731235438, 1.5128744748836793)","(-2.0024630220227633, 2.7472911449782322)","(-2.000124984521503, 3.5016403790947463)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
40,70.51194723146652,0,"(-1.8817100635217878, -4.7208440393806335)","(-2.0012809809310186, -3.5104522716780355)","(-2.0328708533474282, -2.314377998580056)","(-1.998807239742758, -1.4843262968808844)","(-1.996543688533914, -0.44983772911846454)","(-1.999042217852674, 0.5066351645222327)","(-2.015766132508296, 1.7542372864231555)","(-2.0021732979080578, 2.750367520933307)","(-1.8676169219642047, 3.7126985852143792)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
60,74.34011743356976,0,"(-1.8705551748173184, -4.7312441967221766)","(-2.014002143525451, -3.7481868529480042)","(-2.0358521833938763, -2.2786025641367997)","(-1.9967370468746009, -1.4819761331192076)","(-1.9963769992359375, -0.4489429665383233)","(-2.0155037839155283, 0.6920435315495664)","(-2.0155823437163467, 1.7551365151205474)","(-2.0673371746481095, 2.8327719389395116)","(-1.867239856688481, 3.7132064131225166)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
80,37.83918803439159,0,"(-1.6853880521186106, -4.875776637972476)","(-2.014176631341285, -3.7560118365040536)","(-2.0332987986108733, -2.2945556617340843)","(-1.984060640942674, -1.2347575251132692)","(-1.9650430130494327, -0.20670495638666558)","(-2.0170281639971104, 0.75601010246719)","(-1.8730650018115342, 1.5561503684008673)","(-2.1137142336473955, 2.97054952147888)","(-1.674048080012265, 3.8649657631883065)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
100,30.284711877047002,0,"(-1.6869873539073563, -4.866113751231819)","(-1.9871383868544397, -3.508978251902415)","(-1.9987527703272834, -2.5246006863946544)","(-1.9840221859606268, -1.2354699748600293)","(-1.9646896453934728, -0.20026744667434426)","(-2.1404918509877975, 0.5399655369871859)","(-1.8714357698985034, 1.551382929582971)","(-2.05800563682879, 2.738544064011643)","(-1.6705583428920714, 3.867420116984081)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
120,22.169736114239093,0,"(-1.7020626499954186, -4.624942793491112)","(-1.987276360869638, -3.507513710987294)","(-1.9986852620476527, -2.5253820531415823)","(-1.9466584826846134, -1.4817105346499533)","(-1.9620712130295233, -0.2068022065412924)","(-2.1415430830547417, 0.5406211308027614)","(-1.7943215526580147, 1.7853553479707096)","(-2.0559802412167048, 2.7286837008790283)","(-1.4550677441981086, 3.7607520439004416)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
140,24.096461093471525,0,"(-1.7020637368166354, -4.6250875645172105)","(-1.9583219888578105, -3.7513052071074693)","(-1.977609462277949, -2.280538820817234)","(-1.9466823362946457, -1.4827426957371976)","(-1.9014837078423357, -0.4424623701748723)","(-2.1378058667643383, 0.7843662797075598)","(-1.7937239564675884, 1.788244182802905)","(-2.057082592748403, 2.7330049773706855)","(-1.4458069191873166, 3.75731100045661)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
160,20.802627234311018,0,"(-1.5324269673473219, -4.807939114256141)","(-1.958360103364916, -3.7518537574336017)","(-1.9779150857175738, -2.2793046194351563)","(-2.0140610627391555, -1.2838025955756658)","(-1.9014789060257464, -0.4422599182475063)","(-2.1377811324810496, 0.7903607269605637)","(-1.836899390639226, 1.8929437639811546)","(-2.121737954160069, 2.9697022313140007)","(-1.4438579420681488, 3.7603825363175307)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
180,16.605184018866744,0,"(-1.531962467470434, -4.80713496612264)","(-1.9428268589611584, -3.594708393939201)","(-1.9413698183109913, -2.525260645274771)","(-2.0213865396163544, -1.2449464672096382)","(-1.8608185867344835, -0.1959757370945016)","(-2.1353785821513607, 0.7965637909075473)","(-1.854137129424322, 2.030535887095962)","(-2.1215122520171064, 2.9702052779102543)","(-1.2062283696119942, 3.828210376745726)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
200,21.59580921000071,0,"(-1.649771096362899, -4.586405763616109)","(-1.9396049336004322, -3.5050100184819524)","(-1.9407685691819203, -2.52598935894358)","(-1.8760251899014817, -1.4349022707553019)","(-1.8606342864792278, -0.19629074214318182)","(-1.9144835148881558, 0.9037704925797003)","(-1.8562961263447253, 2.0282701321449017)","(-1.9195447200768883, 3.1175591997656262)","(-1.2060172285162416, 3.82837113243549)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
220,15.875470323183087,0,"(-1.649850192001876, -4.586243757737115)","(-1.9443854909859868, -3.50657562839833)","(-2.16392965349382, -2.616464745651642)","(-1.871065084485987, -1.4442621941848266)","(-1.9078139721483933, -0.43884551984638326)","(-1.914652367988336, 0.9018380752224242)","(-1.8845237603131075, 1.7853341834895378)","(-1.9188852844884956, 3.116156713337644)","(-0.9709856458085244, 3.9111723564245837)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
240,15.85076151362787,0,"(-1.639407321650538, -4.598264827615182)","(-2.0332988713436135, -3.7359203578300026)","(-2.1726759884541473, -2.618939150730215)","(-1.8690490526969825, -1.4471169082367272)","(-1.9083357705636474, -0.4415887792043385)","(-1.8876045243426183, 0.6541463705542317)","(-1.8844020316276087, 1.782919260671838)","(-1.7653686929492924, 2.9274484271512597)","(-0.9709098403985639, 3.9110143233264987)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
260,14.344694774970336,0,"(-1.4605948263834168, -4.729795773643553)","(-2.0332388007424953, -3.736251726446283)","(-2.174953179492446, -2.622064768923655)","(-1.7087546971804046, -1.6127366290462284)","(-1.8965732206342152, -0.4528362090050972)","(-1.8875612279042988, 0.6529537262426748)","(-1.824618400113386, 1.5879458777000401)","(-1.7615963009098554, 2.921321271022927)","(-0.8958012439384362, 3.8519598913691526)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
280,13.166951282485778,0,"(-1.4500397788855122, -4.737458261588182)","(-2.055841431637307, -3.805501612719701)","(-2.3026803809048393, -2.668866875636111)","(-1.7000719045255281, -1.6218289162498953)","(-1.8675715511563058, -0.6029177283399424)","(-1.8968486758582368, 0.608192553756571)","(-1.8195894671696535, 1.5534873365492845)","(-1.746431483176253, 2.9074518876202577)","(-0.774755918302634, 3.82442954549384)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
300,11.54153406001774,0,"(-1.2341626254827913, -4.853845031550364)","(-2.0686166363476217, -3.9829005068937002)","(-2.4137007735103717, -2.685243772543881)","(-1.617870079572914, -1.8557905367525054)","(-1.8581003609392934, -0.6901668408346571)","(-1.9032597225211636, 0.40469186238392446)","(-1.7203544470787173, 1.72201571927624)","(-1.5659658369073481, 2.765268517435719)","(-0.7482326720095462, 3.7965721211372547)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
320,12.088357173507255,1,"(-1.2344712982127004, -4.852903480744599)","(-2.0984782191605458, -3.7364633031349355)","(-2.438229755354497, -2.932001051658511)","(-1.6186245622176465, -1.8595426669174666)","(-1.770287679612836, -0.9174927936526773)","(-1.7208230283689347, 0.5491019769824175)","(-1.7041241538580487, 1.7690373543601978)","(-1.5695305325702915, 2.7657822490663206)","(-0.7563154886543342, 3.5671410518830005)","(2.258604579054869, 1.7502156912617002)","(0.6120159647500615, -0.5241774498151908)","(0.4439527730495374, 1.157615004559005)","(0.1748702770174645, -0.9065475057422123)","(2.4360690434944803, -1.3865167931907294)"
