time step,collective radius,# of objects collected,agent positions,,,,,,,,,,obstacle positions
0,58705.93460342609,0,"(-2.0, -4.5)","(-2.0, -3.5)","(-2.0, -2.5)","(-2.0, -1.5)","(-2.0, -0.5)","(-2.0, 0.5)","(-2.0, 1.5)","(-2.0, 2.5)","(-2.0, 3.5)","(1.5871496399842215, 0.23036525385575324)","(0.5885853749888313, -1.4258005677391918)","(0.8501623531846032, -0.6017156770523124)","(0.44542468001813207, -1.7748409334854625)","(0.7496441287192691, 1.0916982311436922)","(0.15238172281691986, 0.1163367008213565)","(0.3441645823764604, 0.307765895583914)","(2.5051579503372587, -1.2155476822962439)","(0.9722181832924399, -0.1620659088205274)","(0.35347213905311015, 1.4222991967214793)","(0.06415632499700241, -1.9149547145947854)","(0.4765146885908248, 1.1127476395116163)","(1.0390343937941977, -1.624404147266187)","(1.668421295535241, 1.9321424882839078)","(0.6885399227264078, 0.47907035532338016)","(1.315913914064554, 1.039881411816301)","(2.6449404275638653, 1.4255118220625236)","(2.4469950724733938, -1.6692725898417593)","(1.697185044735773, -0.9115307002897355)","(2.324593667050872, 0.8915107931362107)","(1.2038893403673012, -1.0995794809514772)","(1.7592277397217024, 1.7002716358676766)","(2.9743682306226447, 1.9389469015160246)","(1.3008457060584764, 0.18478951809262423)","(0.9550643212582833, -1.2414764128296176)","(2.9627822308627816, 0.2842921466500803)","(2.436283343132389, 0.569149154461952)","(2.5822071440302006, 0.22197369772937048)","(1.8093700141095828, -0.6425465653917142)","(1.2789751405788201, -1.6923469455453422)","(2.7122725502058986, -1.1023095584328608)","(0.7683932462436128, -0.2837669161368468)","(0.20515424109370028, -0.7398379268840172)","(0.015092021836941139, 1.754470688580688)","(0.3394853328409473, -0.19732204436599554)","(1.2827427571785124, -0.8246911304592532)","(1.0907460749416444, 1.255892255097728)","(2.0256407729420554, 1.0385532222523586)","(2.4795281818732504, -0.1313699432050579)","(1.0382105856558823, 0.11815028619212198)","(1.3024888505451, -1.981789966819505)","(2.4048783041811483, -0.5339702203667973)","(1.252087409065441, 1.8162905283188615)","(0.7380057067213058, 0.8045994654582826)","(2.814582481456225, -1.9450095524534041)","(0.48706853111316395, 1.9722345929698273)","(2.8711212254966507, -0.6854696100990068)","(1.4234147021717476, 0.6442544681531785)","(0.3997195098311356, -0.9256623614604789)","(0.6727457042105877, 1.6786304075490328)"
20,36467.133674110075,0,"(-1.9976138341827547, -4.503671580997459)","(-2.0000140688520185, -3.5000412203653655)","(-2.0000017558311565, -2.499993063453285)","(-2.000014587292264, -1.5000369152675563)","(-1.9835080846065885, -0.4994498158226561)","(-1.999995855816408, 0.5000670785964874)","(-1.9999279746656387, 1.5009738322323747)","(-2.0051675359938397, 2.664140317904438)","(-1.906772558153564, 3.7238318710651153)","(1.5871496399842215, 0.23036525385575324)","(0.5885853749888313, -1.4258005677391918)","(0.8501623531846032, -0.6017156770523124)","(0.44542468001813207, -1.7748409334854625)","(0.7496441287192691, 1.0916982311436922)","(0.15238172281691986, 0.1163367008213565)","(0.3441645823764604, 0.307765895583914)","(2.5051579503372587, -1.2155476822962439)","(0.9722181832924399, -0.1620659088205274)","(0.35347213905311015, 1.4222991967214793)","(0.06415632499700241, -1.9149547145947854)","(0.4765146885908248, 1.1127476395116163)","(1.0390343937941977, -1.624404147266187)","(1.668421295535241, 1.9321424882839078)","(0.6885399227264078, 0.47907035532338016)","(1.315913914064554, 1.039881411816301)","(2.6449404275638653, 1.4255118220625236)","(2.4469950724733938, -1.6692725898417593)","(1.697185044735773, -0.9115307002897355)","(2.324593667050872, 0.8915107931362107)","(1.2038893403673012, -1.0995794809514772)","(1.7592277397217024, 1.7002716358676766)","(2.9743682306226447, 1.9389469015160246)","(1.3008457060584764, 0.18478951809262423)","(0.9550643212582833, -1.2414764128296176)","(2.9627822308627816, 0.2842921466500803)","(2.436283343132389, 0.569149154461952)","(2.5822071440302006, 0.22197369772937048)","(1.8093700141095828, -0.6425465653917142)","(1.2789751405788201, -1.6923469455453422)","(2.7122725502058986, -1.1023095584328608)","(0.7683932462436128, -0.2837669161368468)","(0.20515424109370028, -0.7398379268840172)","(0.015092021836941139, 1.754470688580688)","(0.3394853328409473, -0.19732204436599554)","(1.2827427571785124, -0.8246911304592532)","(1.0907460749416444, 1.255892255097728)","(2.0256407729420554, 1.0385532222523586)","(2.4795281818732504, -0.1313699432050579)","(1.0382105856558823, 0.11815028619212198)","(1.3024888505451, -1.981789966819505)","(2.4048783041811483, -0.5339702203667973)","(1.252087409065441, 1.8162905283188615)","(0.7380057067213058, 0.8045994654582826)","(2.814582481456225, -1.9450095524534041)","(0.48706853111316395, 1.9722345929698273)","(2.8711212254966507, -0.6854696100990068)","(1.4234147021717476, 0.6442544681531785)","(0.3997195098311356, -0.9256623614604789)","(0.6727457042105877, 1.6786304075490328)"
40,72.85161291001344,0,"(-1.8586756379763765, -4.707091223888886)","(-1.9995867168829733, -3.504490176174639)","(-2.0003160147303505, -2.5062835368256335)","(-1.997531866922544, -1.5023844604553143)","(-1.9832443798357755, -0.49943816107466915)","(-2.042327038836883, 0.5115349086387088)","(-2.0061460365729076, 1.7020920818601848)","(-2.0063345760030393, 2.749903584448055)","(-1.9049613437253867, 3.7312591890247093)","(1.5871496399842215, 0.23036525385575324)","(0.5885853749888313, -1.4258005677391918)","(0.8501623531846032, -0.6017156770523124)","(0.44542468001813207, -1.7748409334854625)","(0.7496441287192691, 1.0916982311436922)","(0.15238172281691986, 0.1163367008213565)","(0.3441645823764604, 0.307765895583914)","(2.5051579503372587, -1.2155476822962439)","(0.9722181832924399, -0.1620659088205274)","(0.35347213905311015, 1.4222991967214793)","(0.06415632499700241, -1.9149547145947854)","(0.4765146885908248, 1.1127476395116163)","(1.0390343937941977, -1.624404147266187)","(1.668421295535241, 1.9321424882839078)","(0.6885399227264078, 0.47907035532338016)","(1.315913914064554, 1.039881411816301)","(2.6449404275638653, 1.4255118220625236)","(2.4469950724733938, -1.6692725898417593)","(1.697185044735773, -0.9115307002897355)","(2.324593667050872, 0.8915107931362107)","(1.2038893403673012, -1.0995794809514772)","(1.7592277397217024, 1.7002716358676766)","(2.9743682306226447, 1.9389469015160246)","(1.3008457060584764, 0.18478951809262423)","(0.9550643212582833, -1.2414764128296176)","(2.9627822308627816, 0.2842921466500803)","(2.436283343132389, 0.569149154461952)","(2.5822071440302006, 0.22197369772937048)","(1.8093700141095828, -0.6425465653917142)","(1.2789751405788201, -1.6923469455453422)","(2.7122725502058986, -1.1023095584328608)","(0.7683932462436128, -0.2837669161368468)","(0.20515424109370028, -0.7398379268840172)","(0.015092021836941139, 1.754470688580688)","(0.3394853328409473, -0.19732204436599554)","(1.2827427571785124, -0.8246911304592532)","(1.0907460749416444, 1.255892255097728)","(2.0256407729420554, 1.0385532222523586)","(2.4795281818732504, -0.1313699432050579)","(1.0382105856558823, 0.11815028619212198)","(1.3024888505451, -1.981789966819505)","(2.4048783041811483, -0.5339702203667973)","(1.252087409065441, 1.8162905283188615)","(0.7380057067213058, 0.8045994654582826)","(2.814582481456225, -1.9450095524534041)","(0.48706853111316395, 1.9722345929698273)","(2.8711212254966507, -0.6854696100990068)","(1.4234147021717476, 0.6442544681531785)","(0.3997195098311356, -0.9256623614604789)","(0.6727457042105877, 1.6786304075490328)"
60,50.566223031765375,0,"(-1.858605262111017, -4.707487798152153)","(-2.0074397981511054, -3.742939904592532)","(-2.000360172571041, -2.506590097252398)","(-1.9722054981260604, -1.7472739929109324)","(-1.9630136267763076, -0.5559812363970491)","(-2.042246893941609, 0.5118315675568762)","(-2.0066935265967487, 1.7586164131426647)","(-2.009349031560679, 2.752671696685498)","(-1.746485775009432, 3.8975966506072037)","(1.5871496399842215, 0.23036525385575324)","(0.5885853749888313, -1.4258005677391918)","(0.8501623531846032, -0.6017156770523124)","(0.44542468001813207, -1.7748409334854625)","(0.7496441287192691, 1.0916982311436922)","(0.15238172281691986, 0.1163367008213565)","(0.3441645823764604, 0.307765895583914)","(2.5051579503372587, -1.2155476822962439)","(0.9722181832924399, -0.1620659088205274)","(0.35347213905311015, 1.4222991967214793)","(0.06415632499700241, -1.9149547145947854)","(0.4765146885908248, 1.1127476395116163)","(1.0390343937941977, -1.624404147266187)","(1.668421295535241, 1.9321424882839078)","(0.6885399227264078, 0.47907035532338016)","(1.315913914064554, 1.039881411816301)","(2.6449404275638653, 1.4255118220625236)","(2.4469950724733938, -1.6692725898417593)","(1.697185044735773, -0.9115307002897355)","(2.324593667050872, 0.8915107931362107)","(1.2038893403673012, -1.0995794809514772)","(1.7592277397217024, 1.7002716358676766)","(2.9743682306226447, 1.9389469015160246)","(1.3008457060584764, 0.18478951809262423)","(0.9550643212582833, -1.2414764128296176)","(2.9627822308627816, 0.2842921466500803)","(2.436283343132389, 0.569149154461952)","(2.5822071440302006, 0.22197369772937048)","(1.8093700141095828, -0.6425465653917142)","(1.2789751405788201, -1.6923469455453422)","(2.7122725502058986, -1.1023095584328608)","(0.7683932462436128, -0.2837669161368468)","(0.20515424109370028, -0.7398379268840172)","(0.015092021836941139, 1.754470688580688)","(0.3394853328409473, -0.19732204436599554)","(1.2827427571785124, -0.8246911304592532)","(1.0907460749416444, 1.255892255097728)","(2.0256407729420554, 1.0385532222523586)","(2.4795281818732504, -0.1313699432050579)","(1.0382105856558823, 0.11815028619212198)","(1.3024888505451, -1.981789966819505)","(2.4048783041811483, -0.5339702203667973)","(1.252087409065441, 1.8162905283188615)","(0.7380057067213058, 0.8045994654582826)","(2.814582481456225, -1.9450095524534041)","(0.48706853111316395, 1.9722345929698273)","(2.8711212254966507, -0.6854696100990068)","(1.4234147021717476, 0.6442544681531785)","(0.3997195098311356, -0.9256623614604789)","(0.6727457042105877, 1.6786304075490328)"
80,38.72776837710961,0,"(-1.6593693440861426, -4.8517785333732615)","(-2.0074703468840562, -3.7545431127743454)","(-2.024412515238679, -2.6827732451366706)","(-1.9721205040881005, -1.748685715229643)","(-1.9492536696008396, -0.7441391565883694)","(-1.973898430806101, 0.691965478929733)","(-2.0033380049321847, 1.7609547127470375)","(-2.1031847557384484, 2.9782388398692685)","(-1.7332435971875535, 3.9128713551147363)","(1.5871496399842215, 0.23036525385575324)","(0.5885853749888313, -1.4258005677391918)","(0.8501623531846032, -0.6017156770523124)","(0.44542468001813207, -1.7748409334854625)","(0.7496441287192691, 1.0916982311436922)","(0.15238172281691986, 0.1163367008213565)","(0.3441645823764604, 0.307765895583914)","(2.5051579503372587, -1.2155476822962439)","(0.9722181832924399, -0.1620659088205274)","(0.35347213905311015, 1.4222991967214793)","(0.06415632499700241, -1.9149547145947854)","(0.4765146885908248, 1.1127476395116163)","(1.0390343937941977, -1.624404147266187)","(1.668421295535241, 1.9321424882839078)","(0.6885399227264078, 0.47907035532338016)","(1.315913914064554, 1.039881411816301)","(2.6449404275638653, 1.4255118220625236)","(2.4469950724733938, -1.6692725898417593)","(1.697185044735773, -0.9115307002897355)","(2.324593667050872, 0.8915107931362107)","(1.2038893403673012, -1.0995794809514772)","(1.7592277397217024, 1.7002716358676766)","(2.9743682306226447, 1.9389469015160246)","(1.3008457060584764, 0.18478951809262423)","(0.9550643212582833, -1.2414764128296176)","(2.9627822308627816, 0.2842921466500803)","(2.436283343132389, 0.569149154461952)","(2.5822071440302006, 0.22197369772937048)","(1.8093700141095828, -0.6425465653917142)","(1.2789751405788201, -1.6923469455453422)","(2.7122725502058986, -1.1023095584328608)","(0.7683932462436128, -0.2837669161368468)","(0.20515424109370028, -0.7398379268840172)","(0.015092021836941139, 1.754470688580688)","(0.3394853328409473, -0.19732204436599554)","(1.2827427571785124, -0.8246911304592532)","(1.0907460749416444, 1.255892255097728)","(2.0256407729420554, 1.0385532222523586)","(2.4795281818732504, -0.1313699432050579)","(1.0382105856558823, 0.11815028619212198)","(1.3024888505451, -1.981789966819505)","(2.4048783041811483, -0.5339702203667973)","(1.252087409065441, 1.8162905283188615)","(0.7380057067213058, 0.8045994654582826)","(2.814582481456225, -1.9450095524534041)","(0.48706853111316395, 1.9722345929698273)","(2.8711212254966507, -0.6854696100990068)","(1.4234147021717476, 0.6442544681531785)","(0.3997195098311356, -0.9256623614604789)","(0.6727457042105877, 1.6786304075490328)"
100,27.86846940149273,1,"(-1.6561795004276891, -4.853693158260903)","(-2.1786084151645824, -3.9339567806985825)","(-2.0278720026885657, -2.7553257956411454)","(-2.167563992603551, -1.9028771375579405)","(-1.9503276340977231, -0.7273120656174127)","(-1.9646887858781024, 0.7463094443779255)","(-1.770529572376514, 1.8413919354631574)","(-2.1035044236012532, 2.980159448902309)","(-1.50248339016902, 3.9884792455648412)","(1.5871496399842215, 0.23036525385575324)","(0.5885853749888313, -1.4258005677391918)","(0.8501623531846032, -0.6017156770523124)","(0.44542468001813207, -1.7748409334854625)","(0.7496441287192691, 1.0916982311436922)","(0.15238172281691986, 0.1163367008213565)","(0.3441645823764604, 0.307765895583914)","(2.5051579503372587, -1.2155476822962439)","(0.9722181832924399, -0.1620659088205274)","(0.35347213905311015, 1.4222991967214793)","(0.06415632499700241, -1.9149547145947854)","(0.4765146885908248, 1.1127476395116163)","(1.0390343937941977, -1.624404147266187)","(1.668421295535241, 1.9321424882839078)","(0.6885399227264078, 0.47907035532338016)","(1.315913914064554, 1.039881411816301)","(2.6449404275638653, 1.4255118220625236)","(2.4469950724733938, -1.6692725898417593)","(1.697185044735773, -0.9115307002897355)","(2.324593667050872, 0.8915107931362107)","(1.2038893403673012, -1.0995794809514772)","(1.7592277397217024, 1.7002716358676766)","(2.9743682306226447, 1.9389469015160246)","(1.3008457060584764, 0.18478951809262423)","(0.9550643212582833, -1.2414764128296176)","(2.9627822308627816, 0.2842921466500803)","(2.436283343132389, 0.569149154461952)","(2.5822071440302006, 0.22197369772937048)","(1.8093700141095828, -0.6425465653917142)","(1.2789751405788201, -1.6923469455453422)","(2.7122725502058986, -1.1023095584328608)","(0.7683932462436128, -0.2837669161368468)","(0.20515424109370028, -0.7398379268840172)","(0.015092021836941139, 1.754470688580688)","(0.3394853328409473, -0.19732204436599554)","(1.2827427571785124, -0.8246911304592532)","(1.0907460749416444, 1.255892255097728)","(2.0256407729420554, 1.0385532222523586)","(2.4795281818732504, -0.1313699432050579)","(1.0382105856558823, 0.11815028619212198)","(1.3024888505451, -1.981789966819505)","(2.4048783041811483, -0.5339702203667973)","(1.252087409065441, 1.8162905283188615)","(0.7380057067213058, 0.8045994654582826)","(2.814582481456225, -1.9450095524534041)","(0.48706853111316395, 1.9722345929698273)","(2.8711212254966507, -0.6854696100990068)","(1.4234147021717476, 0.6442544681531785)","(0.3997195098311356, -0.9256623614604789)","(0.6727457042105877, 1.6786304075490328)"
120,20.834905126799843,1,"(-1.4349267118063036, -4.961174472137177)","(-2.179541274545513, -3.935921252913097)","(-2.0246887224446475, -2.757546171878434)","(-2.168253371458796, -1.902671106622282)","(-1.9540991302580153, -0.4938604767616334)","(-1.9732873791653196, 0.6928954275782964)","(-1.7705692734677105, 1.8426349139840923)","(-1.9288874394606255, 3.153994056927535)","(-1.4953554151777615, 3.990116708517685)","(1.5871496399842215, 0.23036525385575324)","(0.5885853749888313, -1.4258005677391918)","(0.8501623531846032, -0.6017156770523124)","(0.44542468001813207, -1.7748409334854625)","(0.7496441287192691, 1.0916982311436922)","(0.15238172281691986, 0.1163367008213565)","(0.3441645823764604, 0.307765895583914)","(2.5051579503372587, -1.2155476822962439)","(0.9722181832924399, -0.1620659088205274)","(0.35347213905311015, 1.4222991967214793)","(0.06415632499700241, -1.9149547145947854)","(0.4765146885908248, 1.1127476395116163)","(1.0390343937941977, -1.624404147266187)","(1.668421295535241, 1.9321424882839078)","(0.6885399227264078, 0.47907035532338016)","(1.315913914064554, 1.039881411816301)","(2.6449404275638653, 1.4255118220625236)","(2.4469950724733938, -1.6692725898417593)","(1.697185044735773, -0.9115307002897355)","(2.324593667050872, 0.8915107931362107)","(1.2038893403673012, -1.0995794809514772)","(1.7592277397217024, 1.7002716358676766)","(2.9743682306226447, 1.9389469015160246)","(1.3008457060584764, 0.18478951809262423)","(0.9550643212582833, -1.2414764128296176)","(2.9627822308627816, 0.2842921466500803)","(2.436283343132389, 0.569149154461952)","(2.5822071440302006, 0.22197369772937048)","(1.8093700141095828, -0.6425465653917142)","(1.2789751405788201, -1.6923469455453422)","(2.7122725502058986, -1.1023095584328608)","(0.7683932462436128, -0.2837669161368468)","(0.20515424109370028, -0.7398379268840172)","(0.015092021836941139, 1.754470688580688)","(0.3394853328409473, -0.19732204436599554)","(1.2827427571785124, -0.8246911304592532)","(1.0907460749416444, 1.255892255097728)","(2.0256407729420554, 1.0385532222523586)","(2.4795281818732504, -0.1313699432050579)","(1.0382105856558823, 0.11815028619212198)","(1.3024888505451, -1.981789966819505)","(2.4048783041811483, -0.5339702203667973)","(1.252087409065441, 1.8162905283188615)","(0.7380057067213058, 0.8045994654582826)","(2.814582481456225, -1.9450095524534041)","(0.48706853111316395, 1.9722345929698273)","(2.8711212254966507, -0.6854696100990068)","(1.4234147021717476, 0.6442544681531785)","(0.3997195098311356, -0.9256623614604789)","(0.6727457042105877, 1.6786304075490328)"
140,20.978646987285064,1,"(-1.4313724359198856, -4.962359169029807)","(-2.1832832977870855, -3.977708960972242)","(-1.9639316568494778, -2.995763633076948)","(-2.144925218145837, -1.6886536647497516)","(-1.9536356990172532, -0.49463017007309806)","(-1.9792364405430953, 0.5199305976314128)","(-1.8152633857441722, 2.07733589343452)","(-1.9272528738448262, 3.157387705832346)","(-1.4933570014860127, 3.992783012682118)","(1.5871496399842215, 0.23036525385575324)","(0.5885853749888313, -1.4258005677391918)","(0.8501623531846032, -0.6017156770523124)","(0.44542468001813207, -1.7748409334854625)","(0.7496441287192691, 1.0916982311436922)","(0.15238172281691986, 0.1163367008213565)","(0.3441645823764604, 0.307765895583914)","(2.5051579503372587, -1.2155476822962439)","(0.9722181832924399, -0.1620659088205274)","(0.35347213905311015, 1.4222991967214793)","(0.06415632499700241, -1.9149547145947854)","(0.4765146885908248, 1.1127476395116163)","(1.0390343937941977, -1.624404147266187)","(1.668421295535241, 1.9321424882839078)","(0.6885399227264078, 0.47907035532338016)","(1.315913914064554, 1.039881411816301)","(2.6449404275638653, 1.4255118220625236)","(2.4469950724733938, -1.6692725898417593)","(1.697185044735773, -0.9115307002897355)","(2.324593667050872, 0.8915107931362107)","(1.2038893403673012, -1.0995794809514772)","(1.7592277397217024, 1.7002716358676766)","(2.9743682306226447, 1.9389469015160246)","(1.3008457060584764, 0.18478951809262423)","(0.9550643212582833, -1.2414764128296176)","(2.9627822308627816, 0.2842921466500803)","(2.436283343132389, 0.569149154461952)","(2.5822071440302006, 0.22197369772937048)","(1.8093700141095828, -0.6425465653917142)","(1.2789751405788201, -1.6923469455453422)","(2.7122725502058986, -1.1023095584328608)","(0.7683932462436128, -0.2837669161368468)","(0.20515424109370028, -0.7398379268840172)","(0.015092021836941139, 1.754470688580688)","(0.3394853328409473, -0.19732204436599554)","(1.2827427571785124, -0.8246911304592532)","(1.0907460749416444, 1.255892255097728)","(2.0256407729420554, 1.0385532222523586)","(2.4795281818732504, -0.1313699432050579)","(1.0382105856558823, 0.11815028619212198)","(1.3024888505451, -1.981789966819505)","(2.4048783041811483, -0.5339702203667973)","(1.252087409065441, 1.8162905283188615)","(0.7380057067213058, 0.8045994654582826)","(2.814582481456225, -1.9450095524534041)","(0.48706853111316395, 1.9722345929698273)","(2.8711212254966507, -0.6854696100990068)","(1.4234147021717476, 0.6442544681531785)","(0.3997195098311356, -0.9256623614604789)","(0.6727457042105877, 1.6786304075490328)"
160,16.830479526649338,1,"(-1.1954993914452614, -5.015465655771677)","(-2.1866852695460475, -4.186389715287555)","(-1.9633847486950984, -2.9972521263698506)","(-2.142206478624793, -1.65413741581279)","(-1.9485310059051568, -0.7432198696750205)","(-1.975238792995421, 0.516140122906061)","(-1.8153558325427794, 2.086293903490026)","(-2.0978379556193265, 3.333588944895901)","(-1.2886189436771103, 4.1299807510623445)","(1.5871496399842215, 0.23036525385575324)","(0.5885853749888313, -1.4258005677391918)","(0.8501623531846032, -0.6017156770523124)","(0.44542468001813207, -1.7748409334854625)","(0.7496441287192691, 1.0916982311436922)","(0.15238172281691986, 0.1163367008213565)","(0.3441645823764604, 0.307765895583914)","(2.5051579503372587, -1.2155476822962439)","(0.9722181832924399, -0.1620659088205274)","(0.35347213905311015, 1.4222991967214793)","(0.06415632499700241, -1.9149547145947854)","(0.4765146885908248, 1.1127476395116163)","(1.0390343937941977, -1.624404147266187)","(1.668421295535241, 1.9321424882839078)","(0.6885399227264078, 0.47907035532338016)","(1.315913914064554, 1.039881411816301)","(2.6449404275638653, 1.4255118220625236)","(2.4469950724733938, -1.6692725898417593)","(1.697185044735773, -0.9115307002897355)","(2.324593667050872, 0.8915107931362107)","(1.2038893403673012, -1.0995794809514772)","(1.7592277397217024, 1.7002716358676766)","(2.9743682306226447, 1.9389469015160246)","(1.3008457060584764, 0.18478951809262423)","(0.9550643212582833, -1.2414764128296176)","(2.9627822308627816, 0.2842921466500803)","(2.436283343132389, 0.569149154461952)","(2.5822071440302006, 0.22197369772937048)","(1.8093700141095828, -0.6425465653917142)","(1.2789751405788201, -1.6923469455453422)","(2.7122725502058986, -1.1023095584328608)","(0.7683932462436128, -0.2837669161368468)","(0.20515424109370028, -0.7398379268840172)","(0.015092021836941139, 1.754470688580688)","(0.3394853328409473, -0.19732204436599554)","(1.2827427571785124, -0.8246911304592532)","(1.0907460749416444, 1.255892255097728)","(2.0256407729420554, 1.0385532222523586)","(2.4795281818732504, -0.1313699432050579)","(1.0382105856558823, 0.11815028619212198)","(1.3024888505451, -1.981789966819505)","(2.4048783041811483, -0.5339702203667973)","(1.252087409065441, 1.8162905283188615)","(0.7380057067213058, 0.8045994654582826)","(2.814582481456225, -1.9450095524534041)","(0.48706853111316395, 1.9722345929698273)","(2.8711212254966507, -0.6854696100990068)","(1.4234147021717476, 0.6442544681531785)","(0.3997195098311356, -0.9256623614604789)","(0.6727457042105877, 1.6786304075490328)"
180,17.140603970558466,1,"(-1.1869637990131388, -5.016771285675353)","(-2.180360085321655, -4.173179849430939)","(-1.8009170020431702, -2.810354250195699)","(-2.1945622998076586, -1.8844878615391267)","(-1.9487286880458878, -0.7421808368565621)","(-1.9271264102075818, 0.7442950229957499)","(-1.8590984592738278, 1.8459636866067224)","(-2.1002458981736845, 3.334349951753364)","(-1.2885947915731628, 4.1299896552502195)","(1.5871496399842215, 0.23036525385575324)","(0.5885853749888313, -1.4258005677391918)","(0.8501623531846032, -0.6017156770523124)","(0.44542468001813207, -1.7748409334854625)","(0.7496441287192691, 1.0916982311436922)","(0.15238172281691986, 0.1163367008213565)","(0.3441645823764604, 0.307765895583914)","(2.5051579503372587, -1.2155476822962439)","(0.9722181832924399, -0.1620659088205274)","(0.35347213905311015, 1.4222991967214793)","(0.06415632499700241, -1.9149547145947854)","(0.4765146885908248, 1.1127476395116163)","(1.0390343937941977, -1.624404147266187)","(1.668421295535241, 1.9321424882839078)","(0.6885399227264078, 0.47907035532338016)","(1.315913914064554, 1.039881411816301)","(2.6449404275638653, 1.4255118220625236)","(2.4469950724733938, -1.6692725898417593)","(1.697185044735773, -0.9115307002897355)","(2.324593667050872, 0.8915107931362107)","(1.2038893403673012, -1.0995794809514772)","(1.7592277397217024, 1.7002716358676766)","(2.9743682306226447, 1.9389469015160246)","(1.3008457060584764, 0.18478951809262423)","(0.9550643212582833, -1.2414764128296176)","(2.9627822308627816, 0.2842921466500803)","(2.436283343132389, 0.569149154461952)","(2.5822071440302006, 0.22197369772937048)","(1.8093700141095828, -0.6425465653917142)","(1.2789751405788201, -1.6923469455453422)","(2.7122725502058986, -1.1023095584328608)","(0.7683932462436128, -0.2837669161368468)","(0.20515424109370028, -0.7398379268840172)","(0.015092021836941139, 1.754470688580688)","(0.3394853328409473, -0.19732204436599554)","(1.2827427571785124, -0.8246911304592532)","(1.0907460749416444, 1.255892255097728)","(2.0256407729420554, 1.0385532222523586)","(2.4795281818732504, -0.1313699432050579)","(1.0382105856558823, 0.11815028619212198)","(1.3024888505451, -1.981789966819505)","(2.4048783041811483, -0.5339702203667973)","(1.252087409065441, 1.8162905283188615)","(0.7380057067213058, 0.8045994654582826)","(2.814582481456225, -1.9450095524534041)","(0.48706853111316395, 1.9722345929698273)","(2.8711212254966507, -0.6854696100990068)","(1.4234147021717476, 0.6442544681531785)","(0.3997195098311356, -0.9256623614604789)","(0.6727457042105877, 1.6786304075490328)"
