Offsets,Rate of Success,Trial success
0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
0.25,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
0.5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
0.75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
1.0,0.2,"[0.0, 0.0, 0.0, 0.0, 1.0]"
1.25,0.2,"[0.0, 0.0, 0.0, 0.0, 1.0]"
1.5,0.2,"[0.0, 0.0, 1.0, 0.0, 0.0]"
1.75,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2.25,0.4,"[0.0, 0.0, 1.0, 0.0, 1.0]"
2.5,0.6,"[1.0, 0.0, 1.0, 0.0, 1.0]"
2.75,0.4,"[0.0, 1.0, 0.0, 0.0, 1.0]"
3.0,0.6,"[0.0, 0.0, 1.0, 1.0, 1.0]"
3.25,0.4,"[0.0, 0.0, 1.0, 1.0, 0.0]"
3.5,0.4,"[1.0, 0.0, 1.0, 0.0, 0.0]"
3.75,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4.25,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4.5,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
4.75,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
5.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]"
