Timestep,agent_0_x,agent_0_y,agent_0_velocity,agent_1_x,agent_1_y,agent_1_velocity,agent_2_x,agent_2_y,agent_2_velocity,agent_3_x,agent_3_y,agent_3_velocity,agent_4_x,agent_4_y,agent_4_velocity,agent_5_x,agent_5_y,agent_5_velocity,agent_6_x,agent_6_y,agent_6_velocity,agent_7_x,agent_7_y,agent_7_velocity,agent_8_x,agent_8_y,agent_8_velocity
0,0.0,-2.25,0.0,0.0,-0.75,0.0,0.0,0.75,0.0,0.0,2.25,0.0,0.0,3.75,0.0,0.0,5.25,0.0,0.0,6.75,0.0,0.0,8.25,0.0,0.0,9.75,0.0
20,0.01015,-2.44716,0.613448940450828,0.24526,-0.74953,0.05476119871579961,0.00012,0.74968,0.0018535824711274265,0.0,2.25006,5.119979740524491e-05,-1e-05,3.75,0.0003522932395109625,0.24606,5.23715,0.04296671136030701,0.00021,6.74923,0.0015423127915754696,0.18869,8.25169,0.7885105089229322,-5e-05,9.75039,0.0010566919615651454
40,0.01118,-2.49757,0.0005300942333267125,0.24976,-0.75109,0.0013390639795083654,0.11376,0.55947,0.33079424884085656,0.00054,2.24867,0.01760793186550661,0.24982,3.75043,0.003368669974410567,0.24962,5.23698,0.0048990826214156,-0.23333,6.67826,0.06277674357159017,0.24935,8.25305,0.0006130779384571492,-0.00029,9.9981,0.0009131888729294754
60,0.01041,-2.49882,0.15631158401882952,0.25942,-0.76956,1.0004309994498917,0.12193,0.53942,0.06200498547294707,-0.08524,2.3103,1.1343314025886573,0.24994,3.75069,0.003253672491011595,0.32567,5.25105,1.445125672539108,-0.23741,6.67753,0.012637055165453303,0.24934,8.25299,0.0007421376131784424,-0.00028,9.99816,0.0005695280071354975
80,0.0075,-2.74296,0.009821252795667883,0.48252,-0.84242,0.004602908591197311,0.12208,0.54739,0.043171468164316246,-0.13885,2.4547,0.0026844305225899433,0.43176,3.91802,0.02884387526391405,0.49744,5.25915,0.0029429495709744,-0.40511,6.83841,0.19700653181456496,0.4934,8.2948,0.009022638118484581,-0.01078,10.2421,0.019546983785843512
100,0.0075,-2.74383,0.0007695728757245353,0.48388,-0.84559,0.49108088373292175,0.1293,0.78546,0.01223461825979327,-0.25794,2.2579,0.20851089115958216,0.43304,3.91819,0.0028424197803012144,0.46795,5.29853,1.3159504529381756,-0.41924,6.84604,0.0025783907053419687,0.49411,8.29494,0.0003149101526935563,-0.01077,10.24371,0.000219062144559994
120,0.03277,-2.97584,0.1452569167284517,0.68769,-0.97855,0.02610813658899356,0.12999,0.78279,0.0017546121528925795,-0.26647,2.24293,0.0033477260835168645,0.44837,3.87926,1.3041680936372835,0.41968,5.49683,0.0024328542737031226,-0.41828,6.85029,0.041731826286323305,0.63092,8.4929,0.10477723660067122,0.04631,10.38327,1.0519518259330836
140,0.03297,-2.9879,9.268442757581721e-05,0.68859,-0.98488,0.0769422889687602,0.19507,0.54952,0.07134585323229674,-0.32629,2.31349,1.5421246298615188,0.54988,3.69948,0.005870949371217489,0.39373,5.55274,1.183843838384569,-0.53288,7.06992,0.008992168067099404,0.63844,8.49896,0.0008296762408866488,0.04903,10.48215,0.0005536178611119886
160,0.24717,-3.09749,0.14249776057954025,0.7831,-1.21439,0.01974363939540875,0.19656,0.54286,0.0001513054283479547,-0.45309,2.40247,0.006183368762316057,0.54697,3.71013,0.0438464319234199,0.38041,5.73978,0.006789489237692203,-0.53296,7.07271,0.004887734196389559,0.78231,8.67292,0.32111770380198945,0.19652,10.54262,0.7207583349644089
180,0.25076,-3.10877,0.0005245260590023078,0.78354,-1.21204,0.0050989555424408506,0.1978,0.7313,0.718011306218205,-0.44711,2.40097,0.2861882201636703,0.70104,3.89861,0.0071297610813040625,0.37946,5.74357,0.0006107207945396783,-0.63032,7.30088,0.012235323170906937,0.80813,8.68015,0.0002794409525530781,0.21178,10.66822,0.003104471016528112
200,0.26475,-3.09921,0.43800723915559225,0.85409,-1.09134,1.0722474105574122,0.19849,0.78963,0.009147454612953658,-0.64458,2.2677,0.12455672914279116,0.70028,3.89891,0.002348670409131691,0.37387,5.9825,0.08393727704134472,-0.63213,7.30215,0.0018984821291394458,0.80828,8.68352,0.3909999523767956,0.2118,10.66847,0.00027795315685830147
220,0.30115,-3.02011,0.05854251720764532,0.97231,-1.05307,0.004318881809058777,0.34071,0.61571,0.28843592813658037,-0.58101,2.2715,0.7511499510864783,0.84997,3.95361,0.3449389931176593,0.3734,5.99113,0.001915887326112226,-0.62145,7.51983,0.3434149747938681,0.98099,8.85167,0.06192396158718989,0.3898,10.83949,0.013073632030126537
240,0.30606,-3.02832,0.400258657317891,1.00997,-1.18144,1.439471383287203,0.35777,0.59994,0.011502023966746587,-0.2982,2.50508,0.4445931234248986,0.93772,3.95659,0.03455019064857727,0.42211,6.19488,0.42798291972801,-0.49755,7.52078,0.012836002577278688,0.9864,8.85214,0.005683236475334913,0.38997,10.84057,0.00018411968374546148
260,0.48682,-3.16806,0.31000576910144917,1.09904,-1.26429,0.03151528490839693,0.35873,0.59914,0.0048846313587946645,-0.3227,2.51076,0.4695196274405835,0.96488,4.16872,0.9656475045586334,0.42295,6.20174,0.1325424779380573,-0.5925,7.68867,1.1634519607831912,1.02151,9.01937,0.20520009986018922,0.56253,10.93641,0.7982022013940552
