time step,failed agent x-position,formation velocity,other agent x-positions,,,
0,-2.0000000000000004,0.0,-2.0,-3.0606601717798214,-3.060660171779822,-2.000000000000001
20,-2.0037049627119434,0.5176681801316576,-2.004416693603148,-3.3074811942064204,-3.2291314905684723,-1.9685121245464963
40,-1.7839672568833629,0.43213821616938625,-1.824021311756511,-3.4256139671224224,-3.2812730163008346,-1.8249567602987808
60,-1.6105731315126306,0.4540878412848112,-1.565142841118766,-3.1777824721779213,-3.203966645437364,-1.5773123890355998
80,-1.5869215087633437,0.6928044198652031,-1.5577757172922202,-3.1967239974204387,-2.9332094572726497,-1.4040034911907677
100,-1.547189835960624,0.3872598464022808,-1.329538806482577,-2.829015421683222,-2.6822623254593063,-1.1573180422105493
120,-1.3452318641014356,0.7388846167626641,-1.0960864962827561,-2.8467362751021192,-2.625400396982412,-1.123811864221122
140,-1.1268685934643583,0.6209669115822778,-0.8680207973336029,-2.559711479156622,-2.36187512945765,-0.8826496860257609
160,-0.8820027585240313,0.2652229448635979,-0.6191385766622315,-2.4941144605056595,-2.180639867528386,-0.6405445691487959
180,-0.806603174749928,0.4287743846730277,-0.42473927655024224,-2.4534058101297713,-2.020357839470999,-0.39463223903721034
200,-0.7505171267725759,0.4544190646244763,-0.3861621467757639,-2.245295823634144,-1.6898932359787777,-0.17884459728547797
220,-0.5679227633132284,0.5713979202889714,-0.15178497524037637,-1.9048272857860418,-1.6505832121986324,-0.11418507156842339
240,-0.3344157425538503,0.4716313121625787,0.08980622301922825,-1.7224293714195942,-1.578416277635842,0.09994039507681363
260,-0.1517852551401584,0.3698323007850775,0.3338275694177626,-1.3942255560998318,-1.2659260069377685,0.3428182574958525
280,-0.12491739905076638,0.6188948598051442,0.3540810384361106,-1.4011652366919904,-1.2477470919342075,0.5409392509237758
300,0.05469689687188417,0.5742847506190898,0.5859009499369181,-1.123057141824956,-0.8887368946298708,0.7747485946598669
320,0.10911632816951133,0.3767729248338747,0.8045165297333536,-0.870675245128282,-0.6066528153348871,1.0066260839168462
340,0.30794591125714366,0.2385648865539057,1.0340442219002615,-0.6294722339731584,-0.5966960182518704,1.0462364482716606
360,0.5487836826099728,0.2991935365187953,1.2895542712669772,-0.5044180581811308,-0.5168532542039475,1.2909495306323628
380,0.6735171423766042,0.7857501840197916,1.4209138824907321,-0.49337567138184557,-0.38137617592314,1.4754895670419073
400,0.7715551984498981,0.6411089084374726,1.537250933435467,-0.19634231856404583,-0.09851829551329283,1.5846691883653143
420,0.9693386969872893,0.8876557932419503,1.728880052207229,0.00041469024511231467,0.09514536998423484,1.7084084594068858
440,1.2009400282152898,0.21864407098270408,1.9739583980756508,0.28751341628891103,0.17611083266387872,1.9339544445510284
460,1.437763604980598,0.2991265409168226,2.2086485442515906,0.5328335837216667,0.19129192801057915,2.165890572533047
480,1.5163939447181765,0.7559490632193786,2.2588255376213375,0.5375347499101761,0.41966035209636754,2.093881007350917
500,1.6958808452401963,0.3389332475997549,2.472383336772606,0.7827336822118882,0.2852384271444399,2.110605624957439
520,1.9358644139505916,0.21327346840907363,2.7163430651647547,1.030511390479131,0.6190164291886049,2.3015269438155235
540,1.933829248822161,0.19696814038862967,2.9520041265631534,1.2690770525869506,0.7811939342529124,2.2698363031404405
560,1.933249465708541,0.118785987123926,3.1995185831559505,1.4218229968130935,0.8096623081681411,2.5135752916443304
580,1.9323837279393161,0.6932159495375971,3.3178517002310963,1.4292844963705318,0.762474223606552,2.683379151931126
600,1.9302871279932292,0.5344502767651168,3.449465958915737,1.6781675840541088,0.8968865289041834,2.770602607100477
620,1.9311991460816906,0.5337323279538398,3.680889372791259,1.8383730359832007,1.0747691270168742,2.985235296233494
640,1.9312284151004118,0.7647357821430517,3.896277793310504,1.99624771000892,1.1896019373602185,3.1963817415057694
660,1.9311752920840943,1.1660117962254666,3.946687966420253,2.1139498605788547,1.3209398420045098,3.259413668224676
680,1.9313153367039182,1.2121080960513024,4.098533641773181,2.2639048065279943,1.4816733009904466,3.3871665544406913
700,1.9317146240023866,1.0230682723111668,4.233638875820993,2.4267996736950495,1.6329141946165633,3.5120588248341083
720,1.932328905108736,1.2990899950422412,4.35718955065011,2.5588988971416886,1.7710785981643333,3.644566040010342
740,1.9347989131926688,0.5265785926172506,4.578285400830265,2.7541811530857383,1.9456535407756084,3.8192175884811395
760,1.9371820803389248,0.6647178770557044,4.75894171042141,2.831723964787329,2.1457154364320603,4.019935334471831
780,1.9406625764815826,0.6150646406342932,4.937751810813949,3.0194132417561543,2.3290085779002414,4.2106197218807235
800,1.9439141730697296,0.746197707586155,5.013797846376911,3.097473151074572,2.4464591733367786,4.322828965796626
820,1.947185598571806,1.0129449792371905,5.129016356033094,3.1555364396474768,2.6020038217919996,4.477252054913515
840,1.9563992105847818,0.6688681104529431,5.28066568311864,3.351043667767095,2.7963336465313535,4.689332634480393
860,1.9666650823848961,0.6004470342929676,5.459210009295148,3.4220865819080797,3.0153158853058013,4.926458401398391
880,1.9828940044082355,0.405117252241033,5.4342260762871435,3.6066089468706335,3.2120760690340964,5.166604032159499
900,2.0075681056494523,0.2541689570945868,5.421721352069743,3.7715483529059095,3.4287330294272795,5.383316952563143
920,2.088770619775247,0.5534125948908534,5.648857052605757,3.784335128810476,3.4695237842476088,5.424978060359722
940,2.1112326009859967,0.13426801939858107,5.860410810189039,3.934777738053406,3.72862915659159,5.634744739224866
960,2.1255748405251595,0.4602419865654448,5.718772133529527,3.947610029693631,3.7329410790179702,5.409932588544174
980,2.2878206907074143,0.20234045144161597,5.690067945810657,4.177339471899632,3.9260438017021366,5.647167214162894
1000,2.292190326981403,1.1067911942205675,5.818499844152282,4.27673174307219,4.006517523776854,5.673178137364834
1020,2.3173533250366236,1.0362922289056837,5.9977737843362,4.423250996064077,4.176496724045421,5.859972114276531
1040,2.5633822469801584,0.39827801789824324,6.235722542102607,4.413444096568792,4.2877234921488725,6.021871296156477
1060,2.583040057117055,0.24425331067806236,6.097531502130646,4.59666531022337,4.306892938736706,6.265145836689501
1080,2.681602137644458,0.19892535580187937,6.105463105205221,4.651346779509598,4.543627786162382,6.0808222525078675
1100,2.8170792757259364,0.4760620873440553,6.3420844038246855,4.877822094276981,4.777075575864693,6.10107957069012
1120,2.9722076897356913,0.3671811772191654,6.583537294682765,4.9498378764097914,4.795244827512424,6.330341702824433
1140,3.1229559258840474,0.3252082556701782,6.832470290455886,5.195712014037364,5.018247558849887,6.556350142802093
1160,3.2609988707198503,0.33258592298225614,7.048272539612205,5.196313865614471,5.036504253298735,6.462617951646037
1180,3.2887723191781775,0.17697683992563598,6.9213042469090045,5.203528925688763,5.280541006851192,6.70304874515709
1200,3.415745516513287,0.16361555047107398,6.922670267161813,5.438637674356645,5.278277721414804,6.923778106253539
1220,3.440668747960092,0.6661290264876605,7.1417405947980726,5.5776068661966,5.33287300787343,6.946400990957826
1240,3.5729568659698576,0.19930292916587372,7.387990657084435,5.357514142132819,5.6095606084562,7.176233767077835
1260,3.5930329150322335,0.15663784939878148,7.170745054546529,5.361335222371716,5.626667936594877,7.036733557309238
1280,3.8189947615501665,0.3193332940340644,7.269879875525435,5.422405369786583,5.8655976147196585,7.2809840194015445
1300,3.833699260980588,0.6737558825702509,7.379132805919509,5.584953944385505,6.076271373936851,7.448990183447154
1320,4.094150026777447,0.22318866333395598,7.49066695593935,5.623661243143465,6.150876474375928,7.5403150934780845
1340,4.119147553719284,0.4363970886478435,7.733255241100178,5.827075822444151,6.309654512969504,7.771123102748425
1360,4.177016325770376,0.43787968485227696,7.970474140434943,5.860595985482066,6.332851599759622,8.012412293152547
1380,4.202345913614932,0.2317649885379435,7.742631506514677,5.871828246214497,6.300632067956479,8.257574368574144
