Timestep,agent_0_x,agent_0_y,agent_0_velocity,agent_1_x,agent_1_y,agent_1_velocity,agent_2_x,agent_2_y,agent_2_velocity,agent_3_x,agent_3_y,agent_3_velocity,agent_4_x,agent_4_y,agent_4_velocity,agent_5_x,agent_5_y,agent_5_velocity,agent_6_x,agent_6_y,agent_6_velocity,agent_7_x,agent_7_y,agent_7_velocity,agent_8_x,agent_8_y,agent_8_velocity
0,0.0,4.125,0.0,0.0,5.625,0.0,0.0,7.125,0.0,0.0,8.625,0.0,0.0,10.125,0.0,0.0,11.625,0.0,0.0,13.125,0.0,0.0,14.625,0.0,0.0,16.125,0.0
20,0.01076,3.89071,0.16498810213512724,0.2481,5.60964,0.015235346895684706,-0.0023,7.12127,0.4085049733259584,0.24806,8.60385,0.011883123057787775,0.00031,10.12351,0.0033314800970545263,-0.0,11.62506,0.00656239525084506,-0.0,13.12504,0.0010458313122307414,-3e-05,14.62503,0.00038914621831900376,-2e-05,16.12554,0.00023770049131103166
40,0.01108,3.8773,0.0006001239931442287,0.2493,5.60868,0.0033119038492274693,-0.21673,7.00239,0.0024038379884623855,0.24867,8.60213,0.0006617133831620848,0.0759,9.88835,0.02556943595278241,0.21481,11.50774,0.06168764923784845,0.00052,13.12126,0.011239044436198473,0.24589,14.58402,0.007691424061868665,-0.0316,16.28566,1.0142256728835803
60,0.00561,3.78184,1.2863909402508484,0.38406,5.47125,0.7159910447180138,-0.21566,7.00282,0.014316260415147152,0.45921,8.51481,0.2694822854704306,0.07625,9.88627,0.0005811312096498969,0.21973,11.50488,0.000648074021742556,0.03259,12.88744,0.12297278625385204,0.24578,14.58376,0.002360566224032173,-0.03633,16.36795,0.01670248780943638
80,0.00492,3.63122,0.01056649344997354,0.43529,5.44456,0.002859005903693777,-0.40746,7.15363,0.042739826692227034,0.48099,8.51077,0.001290283255337814,0.06062,9.92816,1.117961962740114,0.22214,11.50182,0.4294422174655836,0.0337,12.87767,0.0005047420590415104,0.48856,14.57785,0.06765073924414072,-0.03597,16.36897,0.00035160180821331284
100,0.00492,3.63036,0.0006303138055234104,0.43298,5.44721,0.3247725187889696,-0.41034,7.15563,0.006043631703163635,0.61668,8.53611,1.329022177676936,0.04477,10.13186,0.007846875669457052,0.46154,11.44947,0.017435579229198795,-0.17824,12.89679,0.43574044274845775,0.4935,14.57923,0.003385895043949004,-0.06418,16.60433,0.09727711833043977
120,-0.00097,3.42727,0.3584724493943297,0.66056,5.54085,0.002736736522059894,-0.61165,7.02351,0.012950953381939195,0.72565,8.53843,0.006353923199927139,-0.02534,10.01258,1.4506631129252596,0.46251,11.45031,0.006815978410231009,-0.21347,12.89914,0.0022420316337245483,0.59542,14.8017,0.040269139990963224,-0.06433,16.61355,0.0027492896585299127
140,-0.00133,3.65407,0.2162825075168539,0.65634,5.54007,0.044433651373200496,-0.52262,7.02295,0.1452826997742465,0.75921,8.40265,1.0650464613249384,-0.09539,9.92842,0.009967401276463362,0.65825,11.59906,0.023335352523006597,-0.24638,13.17452,0.16142738291677547,0.59768,14.80693,0.010128040381392558,-0.08525,16.83776,0.23595986481765116
160,0.03666,3.60127,0.760982968834639,0.75169,5.40831,0.7868557820157469,-0.49106,6.98282,0.22338142749440085,0.87228,8.34692,0.10007976919413375,-0.09178,9.92761,0.033061608287767164,0.65974,11.60005,0.004526845502299682,-0.24821,13.14862,0.0088340618498711,0.63084,14.93728,1.4051290513720538,-0.08533,16.85168,0.007080645248141602
180,0.04083,3.42765,0.13719384794149567,0.85538,5.39581,0.053847188848273685,-0.40134,6.97228,0.4329414529411412,0.87107,8.34537,0.1081415611274392,-0.26751,9.91921,0.88052245311334,0.72574,11.58057,0.7876778273122739,-0.26515,13.26,1.661478073112555,0.71108,15.02358,0.05453348278983519,-0.06642,16.87339,0.30719774534537697
200,0.20864,3.40969,1.3124707257424038,0.86409,5.18879,0.3085048217667472,-0.28689,6.96431,0.561684458071626,0.92087,8.32495,0.34835345031701576,-0.32497,9.91911,0.1980421353850733,0.88895,11.57831,0.1614885944479057,-0.31324,13.3844,0.06089161704072501,0.71443,15.02809,0.004831007664817568,-0.06097,17.069,0.3782735639065053
220,0.27949,3.34415,5.8910178475639395e-05,0.97292,5.17559,0.0020233372539564414,-0.12339,6.74282,0.09453270525222741,1.11417,8.32331,0.11036684531548538,-0.04299,9.95119,0.2582267064785801,0.80529,11.74723,0.8520845326253375,-0.16062,13.38879,0.195656251075861,0.83487,15.24398,0.008446029202826033,0.01587,17.09688,0.9583815561879951
240,0.29231,3.30886,0.5795423409565864,1.11951,5.10525,0.8716467408473331,-0.11188,6.74168,0.360656196865898,1.0884,8.28314,0.19426170273086232,-0.06782,9.95264,0.0016345143329108234,0.88947,11.78882,0.004861133653352645,-0.08206,13.62163,0.12684447827818995,0.83637,15.24654,0.004445593973198352,0.0847,17.27273,0.34069281393186174
260,0.2952,3.12879,0.35052254172463077,1.20394,5.10061,0.05407260714270595,0.17486,6.57155,0.8442194468364667,1.07249,8.28259,0.2670668546778496,0.19341,10.03253,1.4357109650450495,0.87948,11.80295,0.2360586957388854,-0.09132,13.62489,0.008501525565141731,0.91598,15.44785,0.5205274907029169,0.08571,17.29696,0.06731785281993863
280,0.29958,3.141,0.20601410468565118,1.2393,4.90936,0.6327866001823992,0.10328,6.55367,0.5326547635642148,1.40762,8.25114,0.14484314849233187,0.28366,10.04665,0.5820583840721967,1.12694,11.81817,0.09610942234788576,0.37237,13.65211,0.9493832404896869,0.95725,15.46471,0.010087646268595579,0.15223,17.46087,0.5244023388300517
300,0.56138,3.10638,0.17543979591885012,1.34341,4.89367,0.0315595486898625,0.40027,6.67205,1.1266672779242104,1.25613,8.25121,0.45198061692148905,0.21224,10.0431,0.8844381024622585,1.13432,11.81777,0.0020398118442196064,0.2635,13.65363,1.2328061493995528,1.01448,15.64743,0.8235598427713038,0.15263,17.51833,0.02740303436836404
320,0.54704,3.10453,0.0008281679750364022,1.34011,4.89415,0.04671983432562982,0.35477,6.6964,0.647307961851394,1.35386,8.36572,1.1278402274299626,0.4729,9.87862,0.3966224230207363,1.33966,11.87978,0.3900191477807738,0.49964,13.82866,0.6641542463737835,1.04521,15.6988,0.011937249651477832,0.27428,17.65788,0.6678974613611437
340,0.55454,3.03134,0.22091085374994793,1.56467,4.98302,0.12262665267139615,0.77599,6.7221,0.8887310763357616,1.45047,8.40252,0.005397668845682031,0.42077,9.88791,0.24797719537648347,1.33235,11.88032,0.22801385828472703,0.3804,13.84035,0.0349703009422703,1.14034,15.91181,0.18347853103026895,0.27578,17.72898,0.04509946224436477
360,0.55471,3.05362,0.2833648272754023,1.57432,4.98306,0.0034233083481386402,0.58817,6.72255,0.3633254594232146,1.44794,8.40448,0.0623595554151379,0.31275,10.11598,0.13487175084692335,1.25965,11.68241,0.5429076178621514,0.43718,13.83504,1.6752975876618166,1.14963,15.92385,0.007183967046276325,0.28808,17.76417,0.42194159673356146
380,0.71849,3.11057,1.1820076664194679,1.52925,4.77061,0.38335709733431117,0.73305,6.70894,1.8988443487139723,1.56388,8.60922,0.2446327593522333,0.30179,10.11671,0.0019016642566989238,1.38738,11.64227,0.010226908152748576,0.80043,13.82806,0.8334493921905259,1.14686,15.92617,0.038354060344548094,0.28997,17.97009,0.0059732936097486545
400,0.77133,2.98907,0.0001360319127278604,1.67156,4.75561,0.0009648422922828786,0.81861,6.70396,0.07689902379973677,1.58466,8.60985,0.0024003639626099978,0.22114,9.91246,0.26306268700646207,1.36182,11.84893,0.15609521113985184,0.63218,13.83015,0.0496441228476431,1.39055,15.97344,0.005732218891539492,0.31741,17.71928,1.0609108165942887
420,0.78995,3.00508,0.10554196109650965,1.75707,4.96556,0.37461535829090464,0.81977,6.70345,0.04563540065570528,1.76428,8.44652,0.07818465530687913,0.61517,9.91138,0.8097768658442572,1.50217,11.86213,0.013661210085781942,0.88061,13.87909,0.016638159991376748,1.39252,15.97373,0.0003045578556016075,0.53836,17.771,0.0008238671589375618
440,0.79159,3.11493,0.08239091328082257,1.78775,4.97255,0.0013045050568366273,0.76914,6.46183,0.007025136257352446,1.77013,8.44469,0.008817723436484211,0.70273,10.08636,1.1898153801873197,1.49991,11.86642,0.27313396500496495,0.87925,13.87782,0.001601440982678968,1.52974,15.77494,0.07184513640458928,0.53909,17.74288,0.24573275252492224
460,0.79589,3.05374,0.059979439635075474,1.80147,4.79231,0.5946862070121841,0.76833,6.45877,0.007728984736740978,1.64548,8.21719,0.04326247657485146,0.67424,10.14608,0.2255918157738319,1.748,11.88628,0.007363353102508079,0.98886,13.65496,0.013068875087804091,1.53608,15.77006,0.00399406524052588,0.78763,17.69023,0.05353747741002378
480,1.0486,3.04035,0.06463373394973018,1.93046,4.77047,0.008812093147007085,0.68371,6.28259,0.17834871404959013,1.77449,8.21262,0.27124153216242686,0.87698,10.08025,1.4291502328915404,1.74665,11.88633,0.03918327314369321,0.98882,13.65284,0.0005271015045230173,1.69299,15.59005,0.10297996523011287,0.78759,17.61692,0.5775284153416205
500,1.04326,3.04034,0.0002379035140791826,1.92655,4.7696,0.044665881467425825,0.79206,6.2801,0.4463604888804996,1.84719,8.10336,1.5014865299028872,0.89353,9.97511,0.04065230110377245,1.96064,11.77679,0.08774935463878793,0.9843,13.76727,1.562134969418606,1.70214,15.58537,0.005406843982918669,1.04182,17.4515,0.30869204532340466
520,1.02396,2.80765,0.13290698938526663,2.13507,4.74149,0.44839017634756434,0.94493,6.48646,0.2761946316388751,1.94007,7.98615,0.02588676762513583,0.93557,9.97266,0.10432332831454665,1.81207,11.77792,0.06276062088219504,0.97375,13.89878,0.0014672570693045044,1.69975,15.61105,0.9003025552074512,1.03525,17.55643,0.0007735873643993847
540,1.02263,2.79614,0.002710373918389994,1.79128,4.74192,0.33828912342215706,0.75271,6.50704,0.002549945158117756,1.9335,7.98606,0.047392533934469724,1.0757,9.76676,0.01638091296710638,1.91035,12.00224,0.009027948221822341,1.25028,13.84365,1.1547605803724839,1.8199,15.80643,0.004524423495750393,0.98237,17.7734,0.27550736718263424
