Timestep,agent_0_x,agent_0_y,agent_0_velocity,agent_1_x,agent_1_y,agent_1_velocity,agent_2_x,agent_2_y,agent_2_velocity,agent_3_x,agent_3_y,agent_3_velocity,agent_4_x,agent_4_y,agent_4_velocity,agent_5_x,agent_5_y,agent_5_velocity,agent_6_x,agent_6_y,agent_6_velocity,agent_7_x,agent_7_y,agent_7_velocity,agent_8_x,agent_8_y,agent_8_velocity
0,1.04189,-5.90885,0.0,0.78142,-4.43163,0.0,0.52094,-2.95442,0.0,0.26047,-1.47721,0.0,0.0,0.0,0.0,-0.26047,1.47721,0.0,-0.52094,2.95442,0.0,-0.78142,4.43163,0.0,-1.04189,5.90885,0.0
20,1.04432,-5.91145,0.4105613860889735,0.95827,-4.39947,0.940871242835309,0.52093,-2.95436,0.0021121887408124987,0.26048,-1.47718,0.00047023255215151825,0.00011,-0.00027,0.0007557165154782677,-0.06639,1.46666,0.6661531686033061,-0.52079,2.95384,0.005839099088498515,-0.78145,4.4318,0.005133569921058907,-0.99267,5.96052,1.5538021147376238
40,1.18008,-5.97622,1.240115538135274,1.01458,-4.39554,0.16903242675691946,0.52106,-2.95456,0.0019144561855912983,0.37061,-1.46725,1.673241243500439,0.07722,-0.00086,1.4699863768349501,-0.02223,1.46569,0.13572568217110978,-0.51811,2.95061,0.4251521198023582,-0.74129,4.45646,1.100931513856358,-0.86652,6.02698,0.4634886135213583
60,1.26165,-5.99356,0.011322199077147918,1.18851,-4.37161,1.0745017048327632,0.71951,-2.95552,0.6186225589599836,0.49961,-1.46473,0.12691319883259305,0.23654,-0.00115,0.16414193044197375,0.16881,1.45886,0.8244212594587563,-0.32141,2.88193,0.46192225252610825,-0.55526,4.4764,0.2360151304285806,-0.80327,6.04651,1.1293806753008695
80,1.38592,-5.97596,1.5230297321456594,1.25444,-4.36781,0.17047719047855317,0.76162,-2.95564,0.11381411953176873,0.60341,-1.46947,1.6803558931343485,0.31191,-0.00656,1.4076101681038438,0.21915,1.45821,0.1331661940925071,-0.29059,2.87616,0.08858376213143226,-0.54139,4.47443,0.4318803258063644,-0.63988,6.05308,0.4962915505403319
100,1.47122,-5.97287,0.45208210162817386,1.26953,-4.36362,0.524845236572331,0.80245,-2.95564,1.0576050900264777,0.70708,-1.47055,0.5386082507471422,0.43392,-0.00844,0.7537985219800605,0.24368,1.45431,0.7841645474918301,-0.23065,2.84168,1.31811672074097,-0.45901,4.43475,1.566238802265856,-0.61209,6.05387,0.08357816867391837
120,1.52616,-5.96023,1.2000855025553678,1.35639,-4.35385,1.6452755104634535,0.92071,-2.95553,1.237305921633453,0.74936,-1.46767,0.9005215112609243,0.47436,-0.00949,0.609607978170106,0.35202,1.45095,1.5236327630896813,-0.1199,2.82199,0.8682161202564533,-0.35756,4.42058,0.6592613563442195,-0.55896,6.03782,1.2553121846024673
140,1.64583,-5.95148,1.1076522369203556,1.46045,-4.35027,0.660633530066768,0.99928,-2.94638,1.2726185580986396,0.86363,-1.46387,1.4336570153807293,0.56995,-0.01111,1.7354358077344596,0.43739,1.44787,0.9458537570426052,-0.03907,2.79737,1.5207035874570318,-0.25837,4.40294,1.7857793231032064,-0.44044,6.03055,1.0328306547541644
160,1.71529,-5.94265,1.145557031672444,1.56098,-4.3421,1.7890935696368184,1.12355,-2.92789,1.1969099733112618,0.94188,-1.4603,0.8838116524601702,0.6681,-0.01172,0.5728485008493077,0.55556,1.44032,1.4937775584780184,0.07625,2.77727,0.8533181646004344,-0.15643,4.39555,0.622417302885942,-0.34883,6.00833,1.6601345250401878
180,1.83752,-5.93444,1.2364797854395695,1.66381,-4.33873,0.6312629041703423,1.18461,-2.91891,0.7869949238317928,1.05565,-1.44958,1.5270458273400227,0.76117,-0.01355,1.709317365625448,0.63462,1.43765,0.4398895386236571,0.13172,2.76208,1.0558917034965065,-0.09239,4.37916,1.3322689348817855,-0.23313,5.99023,0.8305181041549118
200,1.90229,-5.92989,0.7773415891869783,1.72639,-4.34393,1.2862377245614058,1.28929,-2.90002,1.6335736567188355,1.13709,-1.44573,0.4797582842737373,0.86624,-0.01428,0.6582883341032792,0.71644,1.42717,1.5736700673624426,0.24873,2.7452,1.3024773633578288,0.02829,4.36733,1.02778646897014,-0.18132,5.97678,1.0024007197147795
220,2.03518,-5.92327,1.3649931573604692,1.86317,-4.34813,0.8135591924678811,1.38678,-2.89318,0.31494449085002474,1.25052,-1.43715,1.6655562369061652,0.95622,-0.0322,1.550040735998951,0.83806,1.42224,0.5537874385218933,0.3332,2.73355,1.0544683467410012,0.11196,4.3428,1.4087654504845066,-0.04187,5.96448,1.1317369987637735
240,2.10485,-5.92153,0.4168436294224474,1.91732,-4.34558,1.015524590100037,1.45918,-2.90493,1.4752098198502595,1.34322,-1.43471,0.5255011151835036,1.06797,-0.04216,0.7834561391960225,0.90026,1.41131,1.287379738061459,0.45268,2.72343,1.3217390771135713,0.22986,4.31596,0.9839768296153539,0.01624,5.95825,0.812511515643767
260,2.30762,-5.91836,0.5662605733008284,2.11054,-4.33982,0.33303672312095295,1.61159,-2.91214,0.2069824877410687,1.52055,-1.46294,1.0544382824988427,1.16411,-0.02245,1.336766843743799,1.07623,1.40122,0.25697727616376326,0.53719,2.71918,0.005654644127038649,0.33723,4.27679,1.3123934611091619,0.21662,5.91688,0.4081657577843106
280,2.3379,-5.91808,0.20287245625695816,2.13111,-4.34168,0.4914816529085859,1.65086,-2.92309,1.031906312900989,1.57263,-1.46734,0.3385341252326973,1.2773,-0.01348,0.8830968851019169,1.10192,1.39468,0.7373511092177722,0.58245,2.75915,1.2602389984387523,0.45327,4.25691,0.9676209826836074,0.23821,5.91354,0.14683247811889505
300,2.53313,-5.91561,0.7622689228632142,2.34057,-4.35688,0.41234103845569714,1.84394,-2.93439,0.24857373498267438,1.75191,-1.46075,1.1022628792144964,1.3929,-0.03512,1.4304119338427344,1.30629,1.38319,0.33375152751862514,0.75345,2.80007,0.19793472927041048,0.51191,4.24958,0.01030448439726481,0.44204,5.86877,0.5008630526723098
320,2.57089,-5.91541,0.2496961784330725,2.36254,-4.35772,0.14828672190732703,1.8693,-2.94135,0.7430413143096775,1.8058,-1.4599,0.33626140908721525,1.50236,-0.04326,0.7798449493932552,1.32676,1.38085,0.4490611608103273,0.79206,2.82518,1.1611429159386415,0.55655,4.29863,1.3573286042067791,0.46862,5.86573,0.17868659838590056
340,2.59867,-5.91991,0.6692175876371985,2.48453,-4.36293,1.5841467909194298,2.02761,-2.95213,0.983842879891222,1.8304,-1.46172,0.4649591186020295,1.5497,-0.04691,0.15396720112084775,1.47006,1.37344,1.2842702976762128,0.94644,2.8608,0.644787288333921,0.69108,4.3481,0.5308398144643597,0.4985,5.88092,0.9011329063994636
360,2.76442,-5.92748,0.9413905663641925,2.58989,-4.36417,0.2732380196279322,2.1292,-2.96362,1.3730331918054122,1.98221,-1.48677,1.212010718298837,1.68349,-0.0527,1.4829209138852635,1.54392,1.37257,0.01168590808070282,1.05803,2.89622,1.6870247251379595,0.82351,4.41404,1.4248742751786299,0.66452,5.89848,0.7058623623443288
380,2.81806,-5.93054,0.5886650370767172,2.65939,-4.38188,1.3896659377888423,2.26489,-2.96971,0.6618327934987736,2.04974,-1.49132,0.29125020991556205,1.77036,-0.05364,0.351177936353004,1.6122,1.42473,1.4221239432460218,1.17207,2.91247,0.4744570268946539,0.90233,4.43982,0.35633347709140634,0.7097,5.9121,0.9414092514919339
400,3.00986,-5.93966,0.5934674860682737,2.81926,-4.39305,0.2879099046976788,2.31088,-2.97198,0.08078854177153671,2.23488,-1.48686,0.8845530276430863,1.93849,-0.03805,1.1806896174193948,1.74886,1.4558,0.2550174539769935,1.20875,2.9205,0.4757091227946791,0.92673,4.43316,0.8162799701612196,0.88178,5.98239,0.46047453044437486
