Timestep,agent_0_x,agent_0_y,agent_0_velocity,agent_1_x,agent_1_y,agent_1_velocity,agent_2_x,agent_2_y,agent_2_velocity,agent_3_x,agent_3_y,agent_3_velocity,agent_4_x,agent_4_y,agent_4_velocity,agent_5_x,agent_5_y,agent_5_velocity,agent_6_x,agent_6_y,agent_6_velocity,agent_7_x,agent_7_y,agent_7_velocity,agent_8_x,agent_8_y,agent_8_velocity
0,1.55291,-8.79556,0.0006180040570109025,1.16469,-7.34667,2.6102298576970486e-06,0.77646,-5.89778,1.859926572350568e-05,0.38823,-4.44889,4.951417479148456e-06,-0.0,-3.0,4.651980528076338e-06,-0.38823,-1.55111,6.870822831793251e-06,-0.77646,-0.10222,0.00010569368592133562,-1.16469,1.34667,5.015863662564816e-05,-1.55291,2.79556,0.0007148512514089645
20,1.55296,-8.79567,0.0017080815177375377,1.16467,-7.34659,0.0021034815694580015,0.82227,-5.87175,1.1860076109521953,0.3882,-4.4488,0.001992417206614643,0.00239,-2.99789,0.3921271876825986,-0.37749,-1.54681,0.5792677161688656,-0.77645,-0.10225,0.0012717565396984452,-1.13993,1.34148,0.8469625908064108,-1.55295,2.79564,0.00022328537300864195
40,1.6076,-8.83815,1.322141218350824,1.16472,-7.34663,0.00617603043137951,0.98879,-5.85176,0.39438824701767955,0.42139,-4.44646,0.9893257121162992,0.17306,-2.97661,1.0125674728142997,-0.19598,-1.53957,0.7483012603650582,-0.62781,-0.11644,1.307099810620156,-0.96073,1.33717,0.5480133628667343,-1.55027,2.79739,0.402027739901198
60,1.74452,-8.86824,0.5435555471624313,1.26409,-7.35266,1.6876410781728957,1.09256,-5.81991,1.6904075010658575,0.57717,-4.44471,0.7488358309869079,0.23203,-2.97378,0.19884046041299497,-0.14851,-1.53658,0.5162527446961857,-0.54863,-0.11855,0.25918050290163813,-0.92701,1.34957,0.8474607186569071,-1.41908,2.84615,1.4015596349572959
80,1.78286,-8.87004,0.5732052554320954,1.39459,-7.35402,0.2423205429044304,1.22078,-5.80414,0.24792168945847617,0.63179,-4.44316,0.43753028560989804,0.39869,-2.96533,1.1349704734587824,0.03125,-1.52523,0.8068359072853293,-0.46478,-0.09033,1.4816902131002498,-0.75692,1.39845,0.6608672614362696,-1.32687,2.86116,0.1774068788955543
100,1.87428,-8.86651,1.671521216782184,1.43648,-7.35444,1.059260899310559,1.24617,-5.79304,0.8328481741479209,0.71239,-4.43927,1.5519346282556488,0.45384,-2.96427,0.3364834867890264,0.07193,-1.524,0.2709922449927775,-0.35547,-0.08137,0.7555929054387661,-0.71913,1.40689,0.6630032241676667,-1.26475,2.88506,1.3930164390679403
120,2.0428,-8.85709,1.7407434303368914,1.60226,-7.35458,0.5646756510524897,1.41206,-5.76678,0.8455437490485039,0.8418,-4.43772,0.13559879290982174,0.57306,-2.9513,1.6614305409344228,0.21737,-1.50982,1.3479460503371132,-0.23895,-0.05439,1.6730684163058496,-0.55699,1.42864,1.0164999903863272,-1.11553,2.90076,0.4230613309597065
140,2.15072,-8.85248,0.6705752933500921,1.64654,-7.35187,0.9376896327688282,1.45622,-5.76052,0.6978905891747508,0.89872,-4.39451,1.4934030234526565,0.66498,-2.94793,0.5355386599070618,0.28624,-1.50733,0.42162718241074615,-0.13632,-0.0442,0.6393778090571246,-0.50682,1.43207,0.3261489909228876,-1.06103,2.91328,1.230233132087683
160,2.19263,-8.85052,0.137548278708871,1.80975,-7.34781,0.8031452455432158,1.61284,-5.73406,1.084389246880565,1.01441,-4.34547,0.41616960019380256,0.69859,-2.93542,0.8170343391275682,0.39872,-1.48497,1.72097032706125,-0.09329,-0.03714,0.5555096718275455,-0.37009,1.45596,1.40672479536522,-0.90413,2.92354,0.5503666754010604
180,2.32425,-8.85146,1.474939008947174,1.86225,-7.3446,0.5108849909401908,1.67871,-5.72801,0.18208441026398467,1.05203,-4.33805,0.8834013193145149,0.84734,-2.86362,0.8069362562725352,0.51574,-1.47582,0.3158087720354997,0.06586,-0.01117,1.1332850577802571,-0.2796,1.4626,0.24897696127395247,-0.85451,2.93258,0.8076497533392237
200,2.42462,-8.85159,0.21506412045773768,2.03886,-7.3319,0.8904948123905936,1.83914,-5.70297,1.1983652807660787,1.22718,-4.33493,0.5327996960989159,0.88994,-2.85537,0.4262177603798032,0.62233,-1.44889,1.6336708479668476,0.13613,-0.00559,0.14639509489755978,-0.14473,1.48335,1.4749154946955847,-0.6721,2.94671,0.6233749539468203
220,2.46377,-8.84337,1.0162288037148133,2.08212,-7.33029,0.2812206950053166,1.89796,-5.69913,0.34734282194354166,1.26925,-4.33183,0.9008099226699152,0.95995,-2.87315,1.432679759309611,0.7211,-1.44087,0.6276900404647112,0.19486,0.01146,1.3234277435067823,-0.06717,1.4875,0.4914597889183592,-0.63829,2.95041,0.623782961051638
240,2.63692,-8.83574,0.49320677262182877,2.24946,-7.30665,1.0891443452416776,1.97086,-5.72552,1.357929299867571,1.45043,-4.32735,0.5343587530465752,1.10031,-2.8808,0.09397982640060036,0.7865,-1.42437,0.977263139176662,0.35396,0.02225,0.36600761240956925,0.00801,1.50077,1.2123473579735229,-0.45758,2.97178,0.8137928776155609
260,2.67628,-8.82758,0.8795624345461257,2.30272,-7.30335,0.33547889762097066,2.08415,-5.73536,0.8661187475573222,1.48202,-4.32555,0.5507617601536392,1.1534,-2.85759,1.2562707262299075,0.90143,-1.40993,1.3514734895880727,0.40347,0.02624,1.1435581105671175,0.12604,1.50708,1.0452842698155587,-0.41867,2.97436,0.25322511758824967
280,2.83647,-8.81466,0.8358947804263572,2.40879,-7.28119,1.7049216498910538,2.13326,-5.72786,0.7323633090924773,1.63601,-4.31993,1.1862650348331505,1.29484,-2.84278,0.5040382413326023,0.98413,-1.40365,0.24690049242537312,0.56166,0.02892,0.5894491545371967,0.19238,1.51086,0.5530181274085293,-0.28365,2.99436,1.4522650502605519
300,2.88506,-8.80952,0.6682688449600489,2.51517,-7.27362,0.503973337131535,2.24744,-5.7032,1.4035797384605315,1.69858,-4.31862,0.3081527007874052,1.34937,-2.8455,1.1145371127932258,1.06803,-1.40121,1.551263563874812,0.60888,0.03683,0.8972101342785779,0.30372,1.51452,1.5935111816695147,-0.20185,2.99908,0.3840639970040825
320,2.97842,-8.79298,1.6987150936525037,2.55552,-7.26203,0.9424876456953943,2.32408,-5.6939,0.9160561602651041,1.76966,-4.31132,1.4488299831076257,1.46769,-2.8478,1.1551657355693743,1.176,-1.40042,0.7074444690914466,0.7216,0.04796,1.4352198292458602,0.38965,1.51574,0.5360651645180995,-0.14955,3.00818,1.2070541884974029
340,3.07428,-8.78699,0.6035201307317273,2.66921,-7.24484,1.4302740326653498,2.43818,-5.67074,1.5292205534492074,1.88402,-4.30818,0.8416549937986636,1.54048,-2.84142,1.1865047362921293,1.24792,-1.38856,1.398903100903495,0.80037,0.0535,0.8696456223486679,0.4778,1.54162,1.6431415454895344,-0.02762,3.01419,1.1456111502837352
360,3.16814,-8.76514,1.711089148129042,2.74748,-7.23616,0.9289590765885554,2.5201,-5.66215,0.4427285262056842,1.96115,-4.30015,1.4452856109376067,1.6642,-2.83024,1.2465777024620155,1.36769,-1.37942,0.9701539902522414,0.91398,0.05952,1.5277765382710236,0.58184,1.55576,0.6476093146462149,0.04508,3.0251,1.2280227242894948
380,3.28201,-8.75349,0.4751929733044278,2.8909,-7.20956,1.2311112657609788,2.63814,-5.6388,1.614362087512451,2.09868,-4.29442,0.6522372334078262,1.73502,-2.82462,0.6378475995970869,1.4334,-1.36925,0.9764326326446515,1.00466,0.06209,0.3712472732228614,0.64321,1.55367,1.1147894806345784,0.19196,3.04553,0.9488431210740144
