Timestep,agent_0_x,agent_0_y,agent_0_velocity,agent_1_x,agent_1_y,agent_1_velocity,agent_2_x,agent_2_y,agent_2_velocity,agent_3_x,agent_3_y,agent_3_velocity,agent_4_x,agent_4_y,agent_4_velocity,agent_5_x,agent_5_y,agent_5_velocity,agent_6_x,agent_6_y,agent_6_velocity,agent_7_x,agent_7_y,agent_7_velocity,agent_8_x,agent_8_y,agent_8_velocity
0,1.55293,-2.79563,0.0013783756674409593,1.16469,-1.34666,0.00016327846343028326,0.77646,0.10222,4.620419135986907e-05,0.38823,1.55111,6.204682843530405e-05,-0.0,3.0,2.823799652514996e-05,-0.38823,4.44889,4.389535930498556e-05,-0.77646,5.89778,7.942527752472459e-05,-1.16469,7.34667,5.840452463348484e-05,-1.55294,8.79562,0.0014434717776858513
20,1.6954,-2.88344,1.0080403848097053,1.16495,-1.34749,0.011955623141048092,0.77651,0.10205,0.0015741204047215378,0.47753,1.53721,1.5773550294335064,0.1221,2.98081,1.5588305606878217,-0.38813,4.44856,0.005972858974216238,-0.77646,5.89779,0.00022405070213357968,-1.16469,7.34668,0.001216381206365051,-1.54645,8.80297,0.6595269261972468
40,1.77094,-2.91045,0.04035593871330126,1.32644,-1.43136,0.8390402228170162,0.77694,0.10083,0.012559510630563191,0.63182,1.53214,0.06816509579545751,0.24404,2.97577,0.05614599716625903,-0.34528,4.40054,1.5823349509017515,-0.55527,5.85235,0.29249022380147466,-0.95009,7.30712,0.37956062017358266,-1.3475,8.91149,0.16881841757377303
60,1.93099,-2.96865,1.0288637076167568,1.38764,-1.44887,0.07586557742909916,0.95661,0.00689,0.5681639179551792,0.72244,1.51653,1.5735974626289866,0.36461,2.92167,1.5004579878519664,-0.1968,4.31507,0.2100175116378711,-0.53302,5.84973,0.025060650431942402,-0.92137,7.30483,0.03205463847815721,-1.33738,8.91405,0.014350667363092505
80,1.9954,-2.97929,0.18567516610486304,1.39511,-1.45361,0.4722622623981756,0.99307,-0.00443,0.11029042281669355,0.85582,1.51172,0.3480813958668615,0.46247,2.90559,0.27492880185233337,-0.18422,4.30817,0.04553347303574821,-0.45484,5.79604,1.5239192055330948,-0.90948,7.3163,0.7294626501830023,-1.2158,8.86337,1.5035141212411283
100,2.03024,-2.9841,0.8994191432441533,1.54356,-1.52979,1.027529288024579,1.09448,-0.06648,1.6228762132849137,0.87946,1.5106,0.06434158150106911,0.48101,2.90045,0.3383970619028101,-0.06337,4.21745,1.195977439181575,-0.32869,5.76646,0.3592796712453984,-0.74278,7.34638,0.9593249211893714,-1.11736,8.84952,0.24375784797113192
120,2.23513,-2.98734,0.19309503247567045,1.61668,-1.55092,0.05368387409183551,1.21767,-0.10082,0.0908504054274328,1.09543,1.48135,0.38872672115977147,0.70075,2.88831,0.31878389814761815,0.02036,4.17527,0.0691614651319165,-0.21458,5.74872,1.5901395550629143,-0.68322,7.34806,0.47110065951647023,-0.93553,8.85925,0.9960251800510872
140,2.25044,-2.99197,0.588167514042447,1.68257,-1.6004,1.4587970123411007,1.2419,-0.11947,1.0462733062786114,1.11776,1.47991,0.119454994813168,0.71906,2.88789,0.017530138183845915,0.06024,4.14265,1.3494126442668724,-0.10742,5.74542,0.5539349550400048,-0.59234,7.28124,1.6215546581380487,-0.88432,8.86013,0.2569680741116716
160,2.45726,-3.03497,0.37581179967154016,1.83515,-1.64193,0.16187285345781122,1.43299,-0.18118,0.27833341022826613,1.31069,1.44669,0.7522475704201592,0.91484,2.83452,0.5610032166607453,0.22239,4.05885,0.2100938589459441,-0.0436,5.70908,1.2294902098428926,-0.47839,7.24573,0.0019066970159974921,-0.75919,8.80916,1.5473682332642176
180,2.47724,-3.0373,0.13678369885917133,1.87064,-1.66875,1.2011551071037765,1.45012,-0.1867,0.4974868402099782,1.34738,1.44385,0.24218478071336547,0.94456,2.83052,0.201037215299285,0.24381,4.04492,0.8248273262609154,0.06413,5.66607,1.1490039727446706,-0.43125,7.2341,1.1887200333404488,-0.67669,8.79721,0.5030977269746576
200,2.56394,-3.07888,1.6089937162192876,2.00287,-1.7117,0.8750515846407472,1.56295,-0.23142,1.528823723394032,1.38988,1.42287,1.0629490255619294,1.00638,2.81164,1.3137705909924735,0.3664,3.98087,1.138916473071177,0.12759,5.64971,0.13159503417470084,-0.2912,7.22832,0.8249874963585628,-0.63388,8.78274,0.868251492469389
220,2.66626,-3.09565,0.6385680702032132,2.06248,-1.73365,1.2441051609758549,1.64353,-0.24519,0.5091666869963031,1.50607,1.40518,1.2567561982161553,1.125,2.80298,1.005180190978453,0.42614,3.95874,0.8515899950917297,0.18452,5.62484,1.3031900199508932,-0.21642,7.2143,1.4367443904901067,-0.5227,8.76738,1.4900062006738581
240,2.73315,-3.12502,1.4373698201896692,2.17859,-1.77172,1.1980254563841177,1.73074,-0.2752,1.6713874658993333,1.57261,1.39589,0.8878338292389403,1.18765,2.79067,1.1232921011190709,0.52955,3.9117,1.5084423322038778,0.29709,5.6113,0.889136605103231,-0.09636,7.20399,0.9583251709846689,-0.44354,8.76181,0.4453459190805794
260,2.8495,-3.15256,0.9409789112864647,2.24095,-1.78826,0.8697875352898216,1.83531,-0.29147,0.6684896767358,1.68188,1.36261,1.5501051845931304,1.30905,2.7738,1.2955373326068258,0.60574,3.88874,0.5134385516969028,0.37876,5.58877,1.528415878357399,-0.03618,7.19088,1.1080888500312989,-0.35948,8.74107,1.6341250269444567
