Timestep,agent_0_x,agent_0_y,agent_0_velocity,agent_1_x,agent_1_y,agent_1_velocity,agent_2_x,agent_2_y,agent_2_velocity,agent_3_x,agent_3_y,agent_3_velocity,agent_4_x,agent_4_y,agent_4_velocity,agent_5_x,agent_5_y,agent_5_velocity,agent_6_x,agent_6_y,agent_6_velocity,agent_7_x,agent_7_y,agent_7_velocity,agent_8_x,agent_8_y,agent_8_velocity
0,-1.55291,-4.29555,0.0,-1.16469,-2.84667,0.0,-0.77646,-1.39778,0.0,-0.38823,0.05111,0.0,0.0,1.5,0.0,0.38823,2.94889,0.0,0.77646,4.39778,0.0,1.16469,5.84667,0.0,1.55291,7.29555,0.0
20,-1.50834,-4.34279,1.612711933847622,-1.14008,-2.83841,0.8434879407748674,-0.77644,-1.39772,0.0027758464075103577,-0.38131,0.05818,0.6490767779518527,0.17741,1.48874,0.9568349734776992,0.38829,2.94905,0.001607635678107295,0.77647,4.3978,0.00014797415709542894,1.1647,5.84669,0.00018937425122559086,1.55301,7.29587,0.0016142527863723048
40,-1.38258,-4.4248,0.4325413527440859,-0.97332,-2.83131,0.6936204119831211,-0.72559,-1.36237,1.2647432925669964,-0.22129,0.08868,1.0247927542570379,0.2367,1.48778,0.15692186089193116,0.39067,2.94719,0.32450762425164315,0.77646,4.39773,0.001149636248262464,1.28858,5.8094,1.52635641884141,1.56363,7.30663,0.7991242916958742
60,-1.31334,-4.41053,1.2852544469782863,-0.92127,-2.83314,0.43431094121491126,-0.54861,-1.3349,0.16397912324877717,-0.14726,0.09562,0.06253962477463496,0.44055,1.47937,0.586740964238607,0.60548,2.93513,0.38914843571526675,0.98428,4.37521,0.4931636894943448,1.40254,5.7988,0.09058682973812408,1.77034,7.35401,0.2990604775214458
80,-1.13882,-4.39791,0.1970670940413186,-0.72552,-2.89729,0.4875455037482185,-0.51344,-1.34723,0.8992781241438463,0.04813,0.12441,0.628181542858074,0.48537,1.47874,0.049999678851289135,0.63514,2.93434,0.03306833177217251,1.02186,4.37366,0.04240662182606545,1.51738,5.83536,1.6115830102497803,1.79405,7.35802,0.2946780416804095
100,-1.08677,-4.41783,1.1497394738234088,-0.6941,-2.90249,0.002884150451892857,-0.32371,-1.36209,0.390168094540558,0.09443,0.12739,0.07405372663218764,0.6073,1.47477,1.5870350026274012,0.81142,2.91798,1.009212072381436,1.17582,4.38792,1.2681523128235428,1.63486,5.84618,0.17718952932565704,1.98328,7.36352,0.7241924773698482
120,-0.92664,-4.43314,0.5245850949882074,-0.57682,-2.87207,1.5650540909899613,-0.29689,-1.36156,0.34493569843247124,0.14086,0.10907,1.1307782894250031,0.71351,1.47384,0.2819649570908788,0.8711,2.91602,0.16210790944045558,1.25457,4.39006,0.2106515060305893,1.66013,5.84832,0.709543019001017,2.03008,7.364,0.13445812542245875
140,-0.89423,-4.43531,0.010845258431370186,-0.4723,-2.86452,0.28884510779083855,-0.14998,-1.35015,1.2925518843344443,0.29925,0.09784,0.5349213581029566,0.75253,1.472,0.848516810800491,0.97282,2.92405,1.6651178721588016,1.30001,4.3726,1.073647935113619,1.82708,5.8491,0.8830546309617532,2.16085,7.36284,1.489109871274783
160,-0.78445,-4.40848,1.665985861139326,-0.41277,-2.87301,1.1990603186351303,-0.07141,-1.34841,0.13649852608554053,0.36811,0.09628,1.1715017021437426,0.91308,1.47019,0.8697295575779326,1.09409,2.92648,0.3593680115998375,1.45901,4.35916,0.6721632585107726,1.88373,5.84287,0.7579636367565448,2.25578,7.36259,0.2906085397765812
180,-0.69128,-4.40269,0.5274663755479662,-0.29576,-2.87643,1.0323502646907747,-0.01468,-1.36694,1.2878934179010284,0.48752,0.09583,1.1099700127550693,0.95533,1.4699,0.27477246807697286,1.1259,2.92385,0.7920788386653652,1.49442,4.35459,0.5884194555516055,1.9804,5.8181,1.638883835524912,2.29974,7.35521,1.0639153100946528
