Timestep,agent_0_x,agent_0_y,agent_0_velocity,agent_1_x,agent_1_y,agent_1_velocity,agent_2_x,agent_2_y,agent_2_velocity,agent_3_x,agent_3_y,agent_3_velocity,agent_4_x,agent_4_y,agent_4_velocity,agent_5_x,agent_5_y,agent_5_velocity,agent_6_x,agent_6_y,agent_6_velocity,agent_7_x,agent_7_y,agent_7_velocity,agent_8_x,agent_8_y,agent_8_velocity
0,-0.52293,-5.97717,0.0,-0.3922,-4.48288,0.0,-0.26147,-2.98858,0.0,-0.13073,-1.49429,0.0,0.0,0.0,0.0,0.13073,1.49429,0.0,0.26147,2.98858,0.0,0.3922,4.48288,0.0,0.52293,5.97717,0.0
20,-0.52059,-5.98003,0.4193224069552482,-0.3922,-4.48288,8.534108675917156e-05,-0.26147,-2.98861,0.000812592790520626,-0.13073,-1.4943,0.0024050370937778423,0.07694,-0.00389,1.4709879553322787,0.27347,1.48401,1.3766331320569765,0.26145,2.9883,0.005316990961520588,0.50287,4.45537,1.6499708755810605,0.52293,5.9772,0.0013586711241178567
40,-0.39066,-6.06955,1.114953959512042,-0.39223,-4.4834,0.0052752803616822,-0.2207,-2.96772,1.1073585353241844,-0.02028,-1.47604,1.6612230871570672,0.21607,-0.00506,0.40745484802575094,0.36005,1.48216,0.24507474486681596,0.32724,2.96051,1.3837566794793943,0.61346,4.44762,0.31176112554543844,0.52534,5.97932,0.4034901016134496
60,-0.33203,-6.09326,0.008360557136716813,-0.24957,-4.50377,1.3673648642694702,-0.05281,-2.95167,0.45806641072270804,0.09761,-1.47121,0.24660415839580088,0.30097,-0.00767,1.384438582766192,0.49619,1.47111,1.4806168689745591,0.47922,2.94627,0.34085596825237024,0.72025,4.42526,1.642533594444767,0.68673,6.03926,0.974065767763685
80,-0.1594,-6.09496,0.9575998872499757,-0.15491,-4.50786,0.1386419199124754,0.01551,-2.96722,1.1512908314616306,0.26754,-1.45518,1.1199254560303669,0.46287,-0.00896,0.2575441522093653,0.60158,1.46838,0.15356857968679735,0.63055,2.93861,1.4245408753688913,0.85499,4.41651,0.20147821272994995,0.74526,6.04885,0.012498056416385402
100,-0.10198,-6.09521,0.1709670603175393,-0.06214,-4.52313,1.6033184324004295,0.17032,-2.97716,0.5481536015145517,0.33512,-1.4527,0.19723550527769337,0.47993,-0.0091,0.05234836852007007,0.66501,1.45993,1.289276304804725,0.72013,2.93712,0.24403960168706926,0.8669,4.41932,0.44676633178961594,0.8575,6.01089,1.5887847652795606
120,-0.06516,-6.10035,0.999752879697537,0.04281,-4.52729,0.6685354655691615,0.19959,-2.97881,0.19675720822934256,0.35732,-1.44768,0.6956330204012358,0.52939,-0.00813,1.184352885813135,0.78302,1.45666,0.9891130671295852,0.73579,2.93841,0.4101785322466062,0.93541,4.45326,1.4323977275343982,0.9434,6.00281,0.5314073411767068
140,0.1219,-6.10508,0.349108145718378,0.1488,-4.53829,1.4376305800415068,0.38535,-2.97267,0.8211281782870795,0.55091,-1.43956,0.4853964032814976,0.70493,-0.00769,0.3002979861550874,0.88139,1.44985,1.1416779955293344,0.92969,2.94469,0.6217318533017805,1.08072,4.46998,0.0012069683701856281,1.03955,6.02909,1.5004807063011545
160,0.15322,-6.10922,0.7948793002232155,0.26394,-4.54192,0.8651959911725248,0.42669,-2.97214,0.2745650931726743,0.57966,-1.44096,0.5588052172497726,0.75041,0.00831,1.13262604298791,1.00095,1.44658,1.1612888631984168,0.96262,2.94505,0.22077903583104758,1.12614,4.45004,1.1518487863255178,1.14357,6.03792,0.6779199930335515
180,0.29131,-6.1146,1.2284089284811177,0.31372,-4.54489,0.5699983997794283,0.49482,-2.97978,1.3453394017399647,0.7005,-1.45488,1.5184545577010073,0.89119,0.02481,0.8885929736471706,1.06483,1.44522,0.2724682896438786,1.0572,2.92792,1.6446035049584973,1.25973,4.4386,0.7426585592511334,1.19026,6.03425,0.7563209157744225
