Timestep,agent_0_x,agent_0_y,agent_0_velocity,agent_1_x,agent_1_y,agent_1_velocity,agent_2_x,agent_2_y,agent_2_velocity,agent_3_x,agent_3_y,agent_3_velocity,agent_4_x,agent_4_y,agent_4_velocity,agent_5_x,agent_5_y,agent_5_velocity,agent_6_x,agent_6_y,agent_6_velocity,agent_7_x,agent_7_y,agent_7_velocity,agent_8_x,agent_8_y,agent_8_velocity
0,-0.52293,-10.47717,0.0,-0.3922,-8.98288,0.0,-0.26147,-7.48858,0.0,-0.13073,-5.99429,0.0,0.0,-4.5,0.0,0.13073,-3.00571,0.0,0.26147,-1.51142,0.0,0.3922,-0.01712,0.0,0.52293,1.47717,0.0
20,-0.47316,-10.5246,1.3831949926294065,-0.39221,-8.98304,0.005182490868178841,-0.2614,-7.48803,0.0068642883584082845,0.02675,-5.95464,1.1638986984767503,0.00013,-4.49894,0.005730677679946021,0.33537,-2.98319,0.52874311654946,0.26157,-1.51083,0.002129621280057829,0.58471,-0.01713,0.7407085213467224,0.52297,1.47755,0.0003096576385025722
40,-0.31055,-10.57866,0.17461230084976068,-0.32061,-8.99058,1.4249610023298827,-0.26103,-7.48666,0.007107872805846052,0.10817,-5.94635,0.07501833784679483,0.17829,-4.39033,0.49337716624268046,0.37628,-2.98062,0.03794311805332484,0.30747,-1.50663,1.150115397281721,0.63795,-0.01688,0.050486648855205124,0.62453,1.55487,1.5161265640377948
60,-0.30125,-10.58086,0.008543636039364996,-0.16917,-8.99268,0.32180173375009824,-0.12131,-7.39816,1.0855891932805217,0.16942,-5.9097,1.3272142180452562,0.21058,-4.37678,0.0759413079955851,0.49705,-2.95613,1.583642395918401,0.47767,-1.50468,0.40852357276389756,0.72612,-0.00945,1.5541633426787262,0.7221,1.59562,0.21896938459572332
80,-0.06834,-10.54708,0.1723889637231197,-0.11638,-8.96044,1.3381341294436169,-0.04307,-7.36935,0.025647622192996506,0.34803,-5.88077,0.0548022948254997,0.42346,-4.35153,0.44406202281927176,0.62217,-2.94875,0.03307321548708084,0.51048,-1.50396,0.004458610211093634,0.88571,-0.00701,0.04391912736552073,0.8795,1.61522,1.3543833042119682
100,-0.05524,-10.54558,0.016332446561424248,0.05559,-8.88654,0.2719609775869673,0.08902,-7.33138,1.444141583186008,0.35226,-5.87982,0.007353441374725087,0.45711,-4.3497,0.040287800334586434,0.68884,-2.89907,1.4306058996305535,0.69109,-1.42426,0.6362649844215846,0.89122,-0.00236,0.4763660846010392,0.9744,1.61833,0.10323139345835854
120,0.0368,-10.48949,1.6446142996102315,0.07094,-8.88159,0.00349288283836352,0.1858,-7.32157,0.1997375066920337,0.49226,-5.81318,1.2475105535562327,0.52131,-4.31315,1.370873622277818,0.83064,-2.86678,0.33496152828049,0.73439,-1.41299,0.10138490523176441,1.04349,0.08888,0.8311387233798977,1.01919,1.64493,1.1443942866572943
140,0.15317,-10.46761,0.34075882695539794,0.18184,-8.87629,1.6611927709832643,0.25355,-7.28577,1.3705861059038784,0.56777,-5.79638,0.2282926373964582,0.66296,-4.29169,0.45611140938137845,0.88375,-2.83363,1.2368310320709994,0.82157,-1.36729,1.5827519071817324,1.08951,0.10431,0.00852212808054013,1.1747,1.67224,0.5735958554281513
160,0.17939,-10.45471,0.7163151009699071,0.28031,-8.87504,0.48260227455486365,0.37617,-7.26306,0.714695434594986,0.62107,-5.76058,1.3211522211550049,0.6919,-4.28514,0.577587896057128,1.01024,-2.79681,0.9447746851248904,0.93029,-1.34957,0.5571449025431038,1.15115,0.12443,1.3324449627041626,1.20747,1.6771,0.1765149431449376
180,0.34337,-10.43315,0.9336283019933228,0.3222,-8.84702,1.252237576585943,0.42468,-7.25214,0.5525653823437435,0.76798,-5.72182,0.48937875880190285,0.84505,-4.22039,1.0361801295153115,1.06754,-2.78346,0.16687539306936705,0.97974,-1.33185,0.9769391559010577,1.29749,0.13373,0.4336369391195805,1.3429,1.72016,1.393414270734257
200,0.39113,-10.42689,0.7520214459662631,0.42762,-8.79877,1.1795944565336152,0.50841,-7.22533,1.6111478082957957,0.8061,-5.70523,1.023876556770696,0.89404,-4.208,0.32260657210567767,1.12593,-2.74494,1.3776354180847377,1.08553,-1.29405,1.4619085067421622,1.35182,0.16052,1.3304559979013313,1.41418,1.73006,0.43936252544173043
220,0.53255,-10.38244,1.2122795097899652,0.50171,-8.77667,0.9485132203341776,0.62848,-7.21315,0.4376931816259786,0.94887,-5.65849,0.9600553103126359,1.01068,-4.17228,1.5948142605300684,1.2592,-2.71491,0.5633665110230344,1.17661,-1.27515,0.8133782979646668,1.4925,0.19715,0.6384913775454006,1.50817,1.7628,1.6112579562200804
240,0.59213,-10.37198,0.3766645229990752,0.61218,-8.75804,1.2830631079808612,0.7107,-7.18543,1.6074543177333838,0.99923,-5.64584,0.7707211015598319,1.09749,-4.16237,0.5011159908027616,1.32108,-2.68454,1.3870429026417854,1.28086,-1.23426,1.559942221879153,1.53961,0.21748,1.0841086459224867,1.61221,1.77737,0.6590584272247856
260,0.66858,-10.34076,1.5454020801823705,0.68077,-8.74882,0.8854489289845757,0.81882,-7.17083,0.7284167784932113,1.1,-5.60757,1.5991434304697887,1.15603,-4.13625,1.3270486143864149,1.43663,-2.65545,0.9700583554835762,1.36293,-1.21706,0.5155297090942565,1.65465,0.24547,1.338833484828515,1.66093,1.79286,1.121606124977421
280,0.7783,-10.32495,0.756417997832971,0.79179,-8.72304,1.5389820561254595,0.88879,-7.14626,1.4289504493244019,1.18487,-5.59143,0.5398162988292803,1.27274,-4.11089,1.013642928507663,1.49814,-2.63324,1.2429408643191848,1.44966,-1.1801,1.674570098592939,1.72557,0.2585,0.9126833794964931,1.77579,1.8264,1.3062949635159262
300,0.85022,-10.30093,1.432633272108543,0.87373,-8.71336,0.48263028932969726,1.00713,-7.12627,0.9561825630859371,1.27291,-5.55882,1.6649128303805178,1.33723,-4.08969,1.2431045559120528,1.61605,-2.59987,1.224097091832013,1.55193,-1.15979,0.6419726659156852,1.83573,0.2931,1.5163000455394218,1.8447,1.84104,0.8941361323708755
320,0.9684,-10.28354,0.9367097998310231,0.95975,-8.68624,1.6541253933197728,1.06728,-7.10791,1.1797540899920165,1.3744,-5.54109,0.6452357952679504,1.45735,-4.05996,1.2201947512510958,1.67946,-2.58519,0.8609395223615995,1.61876,-1.12925,1.4455492846198235,1.9154,0.30633,0.48591961841724046,1.95488,1.87406,1.5200045237979845
340,1.02797,-10.26587,1.1415711476138777,1.06703,-8.67245,0.7047586845918636,1.18684,-7.08061,1.2671191330240572,1.44178,-5.5167,1.3817903240714888,1.52016,-4.04658,0.849597950551433,1.78618,-2.54939,1.555532564394645,1.73475,-1.10036,0.9460195983531459,2.00103,0.34167,1.6613053401206448,2.03469,1.88697,0.4859996351344153
360,1.14759,-10.24298,1.2747140959122016,1.1348,-8.64846,1.3980206763839937,1.25284,-7.06827,0.8560224571299896,1.5587,-5.4969,0.9419337269766189,1.6269,-4.00835,1.5609568390362167,1.86842,-2.53535,0.49900229367447396,1.79373,-1.07828,1.2469360807941647,2.10492,0.36058,0.6611357277536881,2.11981,1.91992,1.6536877036934012
380,1.21425,-10.23182,0.8775207810186207,1.25401,-8.62899,0.9841902532173867,1.36104,-7.03475,1.5609074801816074,1.61978,-5.47987,1.152260245736892,1.70905,-3.99308,0.493427904246281,1.95417,-2.50349,1.6443400612602002,1.91083,-1.04073,1.2492902708406721,2.17209,0.38785,1.3967458318000963,2.22482,1.93852,0.6737957759542094
400,1.32291,-10.20215,1.5694560539246123,1.31509,-8.61072,1.177008330123953,1.44399,-7.02167,0.4855218572498886,1.73885,-5.45703,1.2482925865601298,1.79443,-3.96752,1.63163073792178,2.05955,-2.48702,0.6814892008431892,1.97504,-1.02434,0.8241612803811842,2.29072,0.4086,0.9760749094150037,2.29181,1.96541,1.4055575220662795
420,1.40657,-10.19108,0.4857435753255578,1.4346,-8.58359,1.267880858736166,1.52996,-6.98964,1.664024409677639,1.80426,-5.44849,0.7863068210756082,1.90126,-3.95602,0.6985381691269392,2.12681,-2.46237,1.3833871042814456,2.08189,-1.00717,1.6027707260853719,2.35109,0.42785,1.1566886768547204,2.40971,1.98862,0.9672820862662
