time step,failed agent x-position,formation velocity,other agent x-positions,,,
0,-3.060660171779822,0.0,-2.0,-3.0606601717798214,-2.0000000000000004,-2.000000000000001
20,-3.0608608374589665,0.591012034197615,-1.9747548799195358,-3.01790600044333,-1.9885477831032987,-1.997472376197266
40,-3.0117060295143245,1.6436013275775312,-1.8537132005957357,-2.88290863076049,-1.8842944297092699,-1.9227216896357666
60,-2.8542377224767623,1.4388565517865763,-1.7154834202560112,-2.7551817205048397,-1.7340800545033357,-1.767286842879894
80,-2.7217593811850525,1.5716089001960345,-1.5710348861430443,-2.6122489854456568,-1.6014180551755084,-1.6389580944670483
100,-2.582708518453346,1.578065786898434,-1.4318316668662707,-2.466727824354217,-1.4618636316820108,-1.5063137806304865
120,-2.4353592232428154,1.5485307308718028,-1.3036270588266206,-2.324544819658906,-1.337370193910445,-1.3756610749240805
140,-2.2955780146076297,1.604208043615542,-1.175606334657604,-2.1883686250858143,-1.204847420566301,-1.2417546361182348
160,-2.1585697749609345,1.592638919586783,-1.0447716583008066,-2.057576537882516,-1.065752211129766,-1.103801391828979
180,-2.0259630003871587,1.6177443597883,-0.9082418933056882,-1.9221160763342682,-0.9297367571959547,-0.9754915739399399
200,-1.8890955500676407,1.6019934233468167,-0.7729905989103589,-1.7803863475347381,-0.8001341220076594,-0.8493781578351631
220,-1.74606426957246,1.5955056222399908,-0.6446380917654031,-1.6393377336978008,-0.6735754474354574,-0.718610021559958
240,-1.604089397406849,1.5787230285916012,-0.5185373065782322,-1.5038160270652423,-0.5418445978499944,-0.5818754774031116
260,-1.468773558509923,1.5934371183006169,-0.38742355646010185,-1.3727708995369847,-0.4043823570442091,-0.4462430909552344
280,-1.3378714083902363,1.6120265309283952,-0.2508626052710381,-1.2368819186624018,-0.2681422208148194,-0.3174510906793997
300,-1.2022879972466538,1.5993863997472908,-0.1158858678588055,-1.0950685092545747,-0.13832293622209102,-0.19124562302915882
320,-1.0606737868504903,1.590852994443709,0.012912829296250816,-0.9545302936152797,-0.011590505927531636,-0.060219613167510344
340,-0.9201709278996,1.5746840325937468,0.13869970004592602,-0.8201040311530643,0.1204169252474685,0.07654670189407042
360,-0.785288295178761,1.5912273930562542,0.2698796743907228,-0.6896090175637242,0.25810539936164556,0.21195345283429168
380,-0.6547123069006755,1.6069290617927432,0.4066405721501365,-0.5549350074485409,0.39434669995058336,0.34091635017057564
400,-0.519658276061298,1.596160338326822,0.5418373788423394,-0.4139482066539788,0.5246215306406374,0.4667851774428282
420,-0.378173813862559,1.5919953037669148,0.6706617752981527,-0.27370238237838507,0.6515884693370073,0.597794841888792
440,-0.23724003073297517,1.5746559937144298,0.7964526200226971,-0.13884113768745676,0.7836675762390359,0.7344271093304604
460,-0.10201198231586783,1.593143800063342,0.9277495387641714,-0.008858264443260655,0.9217694959970113,0.8695796310769439
480,0.028924677106175967,1.6100071049172424,1.0645248369212799,0.1260972935936584,1.0587492868350643,0.9984997230407027
500,0.16487012342532337,1.5991037083696642,1.1996453658808353,0.26717386841002844,1.189411815424748,1.124234891888141
520,0.30685025489554496,1.5936266311182963,1.3285751363041927,0.4074278616530469,1.316954462591347,1.2552630124049773
540,0.38120352566908755,1.354155151155816,1.4543940487598865,0.5419102698398541,1.4495956023689192,1.3915095747295076
560,0.39666748517539485,1.207462910632723,1.5855907029606566,0.672287899641169,1.5848984823747392,1.523705096210981
580,0.3987104820958973,1.2175992902975135,1.722387122949963,0.807068113569978,1.7125826431272606,1.6419681994731428
600,0.40197351799382197,1.1574652469204958,1.8639356057312169,0.9537886277116336,1.8268577281490987,1.7623630676744249
620,0.4074994304046564,1.2991889211304548,1.9878380320221773,1.092370513835331,1.9467914574516274,1.8839004359765568
640,0.42869342806306676,1.3122607542420173,2.1150701540038996,1.2294510778259773,2.0652248913130467,2.0069405374204736
660,0.4875191123694149,1.374115045867306,2.249675870488744,1.3642340047753794,2.1850908087830736,2.117356013612252
680,0.5963180145530007,1.4099736141032264,2.394559814838293,1.5100125051634579,2.2961933495512876,2.233672498274913
700,0.7367913618718367,1.4931931837396022,2.5308232822512986,1.6574281756436862,2.406687147944077,2.349533077331956
720,0.9038317865570278,1.562703782325394,2.6731996202176385,1.8122883239452139,2.5309742637107058,2.4741445492199325
740,1.062806370102674,1.5399149001651984,2.7967029811235564,1.9515003541009492,2.6510007185289823,2.599565202178982
760,1.2047882605845812,1.4933969862836984,2.9295222947717194,2.0861526871821634,2.777274246444271,2.7251712015325076
780,1.3208111305865824,1.4103332443886252,3.0692958553892984,2.2282390720022875,2.9076976894678865,2.846119791478964
800,1.4071005956626887,1.3979722021669847,3.2026719990408585,2.371551302871627,3.018652525877019,2.966045113528563
820,1.4747435395714676,1.410667008391345,3.333308151788815,2.5156598239265766,3.138311671182524,3.088113039954278
840,1.5336402275749128,1.3617122615950275,3.457646142776502,2.654478524838796,3.2582480136446637,3.212230167129916
860,1.5956832392414242,1.3887783982129145,3.589228709607,2.7887195447134743,3.3786693343551053,3.332204035078747
880,1.6790585649725465,1.3377436455351959,3.7357059464858198,2.9360126312539445,3.5002168985171562,3.4453348845117038
900,1.7835418520113517,1.3815081055051732,3.876653425097267,3.0901103965131766,3.614255993159786,3.565879949699857
920,1.896215375058552,1.570889579914814,3.9990779869084427,3.2313374294053854,3.726927600910011,3.681865834131707
940,2.055084187766605,1.3590361942449405,4.1647537924986935,3.407265156124827,3.8552170896202322,3.82442284145092
960,2.244618587426044,1.02175166282282,4.289709081435169,3.5368747057858365,3.998837487107991,3.8920344038255363
980,2.3564081786586453,1.505546488831241,4.403550843449186,3.680593323054914,4.095758850218568,4.013100565143598
1000,2.4471259833542316,1.2925803402287717,4.562453992033436,3.8349671561327994,4.24196318353242,4.1335434723543045
1020,2.576668851523758,0.9808402333186237,4.755398370643239,4.043917109061287,4.375872669764023,4.286387192436939
1040,2.6816019951570373,1.1276390904724714,4.866211391673483,4.191811103509991,4.487573045361936,4.407929031978472
1060,2.7874492489061273,1.0076289051239256,5.00598604797391,4.315348093247568,4.611994033191779,4.500054509978275
1080,2.866382767800422,1.4730975679992555,5.129535552071217,4.457147400369919,4.73355596970646,4.624268415103263
1100,2.9526323771718648,1.3635320527423205,5.273555693735009,4.601119989300299,4.848547632153958,4.736857883943835
1120,3.0766678892591592,1.469650729667779,5.411989361191461,4.754290124367277,4.971072773190555,4.863601687048687
1140,3.2137157459170442,1.5687154737348377,5.528492821768162,4.8844637309627,5.087010010559739,4.98294425618152
1160,3.3659030092577664,1.6034330931991907,5.660224744649555,5.019067431372935,5.209834263915679,5.107386213579721
1180,3.5306889650730398,1.5396244627517852,5.802331749557673,5.160421431568322,5.3318594481500075,5.221911254046734
1200,3.679177723038931,1.5778654184835221,5.932727335919414,5.30223157141285,5.453195997743411,5.34298755093706
1220,3.812406566446814,1.544624589039143,6.0630230186558585,5.444747003789033,5.570163057922935,5.464104797683869
1240,3.9288621101356114,1.4897093689479455,6.187289875024161,5.581433772485886,5.693114220830312,5.587199310208433
1260,4.056915468785534,1.2775078054873668,6.335476929831042,5.727391304772162,5.84149125142782,5.707301304906127
1280,4.173189463229233,1.1213486822814962,6.496890288599527,5.891156774313162,5.9873905384596195,5.823218826431679
1300,4.2964321202764815,0.9344483829094283,6.6825204862320255,6.081115982859991,6.131626753772622,5.952810806552143
1320,4.411405537675036,0.9195754123230155,6.853621356159509,6.270703881079994,6.254087466924355,6.097551408949902
1340,4.479593025780296,1.263846805445037,6.935423523963795,6.3629774690640275,6.360848042907815,6.183342791170918
1360,4.561266818740765,1.4589255653354523,7.067699349229308,6.505810755387445,6.486485117087943,6.31369560768482
1380,4.668573122228869,1.3923614139371208,7.212724985228947,6.644715593557178,6.608692979024147,6.42360817698678
1400,4.810056559464852,1.444443682857538,7.355271393636956,6.796371056408633,6.725170862223447,6.549383515499254
1420,4.9574427829298875,1.635475869755048,7.476425437543323,6.933827277130973,6.842511636724053,6.669539298300285
1440,5.12115523677777,1.5689812382340507,7.611857295871543,7.0782234655460705,6.966541818740156,6.7993589996301
1460,5.274286291697998,1.556714804016797,7.738073140575413,7.203805116528402,7.089365528177531,6.91613959488762
1480,5.41794771476138,1.5380427487181758,7.872368859890894,7.339890252404869,7.21701335711732,7.036485105090251
1500,5.548572743374003,1.4883203446229056,8.008108612074953,7.4816854927784355,7.331827575131955,7.152105977711673
1520,5.711038640272306,1.1944796836898917,8.194997535420136,7.671146544702916,7.489483066469132,7.297492326866007
1540,5.8119934127527975,1.2387036515924925,8.29151349077725,7.786933183601576,7.595236992045876,7.412861823060315
1560,5.9016966663134065,1.1040304613128233,8.442476753212645,7.933363550026122,7.739756662448283,7.528980485076903
1580,5.964256452403274,1.3526603274850388,8.576725032063472,8.075764387607169,7.852997578315076,7.650040278092214
1600,6.066037969882973,1.093629708462123,8.753939401828752,8.247284669820075,7.976695242356014,7.7848348307099675
1620,6.203235768700911,1.263263982524335,8.8952626881602,8.406564035092943,8.085628381351341,7.926808013557777
1640,6.327953317981769,1.535715566285551,9.007843955924425,8.523344740459017,8.192367052446462,8.048704078389903
1660,6.456958452911176,1.5045163861486113,9.136339417553943,8.653750403875216,8.321759588356128,8.171778309779764
1680,6.600724742473992,1.4879324975078614,9.27796470611045,8.790821773416978,8.43884206412151,8.286286041145132
1700,6.738010980414782,1.551704123194889,9.409002684290792,8.92836967599174,8.565142357156386,8.405330535408357
1720,6.874879536652258,1.562016154264291,9.538698987906153,9.066914883073416,8.680099181824435,8.52581272217208
1740,7.007280477293269,1.5422203665569094,9.663403848075749,9.198855821711026,8.803585507818417,8.64957378471873
1760,7.132580441318756,1.4833409099529133,9.794770388696007,9.327684413295941,8.932319355789339,8.772043000767287
1780,7.287720537758733,1.1190322892969522,9.961288651710797,9.484420382669471,9.085461800907236,8.888153752038686
1800,7.430345888511055,1.020962415855592,10.134129481789758,9.661204259803856,9.24373353521213,9.019942611979662
1820,7.5386933976073935,1.1560915680845552,10.291325672791972,9.829003794983258,9.380870332637327,9.148602041864798
1840,7.607719475666419,1.259841770965104,10.38367217876905,9.928997763525441,9.485196174324898,9.241199462702998
1860,7.708633107549789,1.2244484060774141,10.539884554199624,10.083635666672139,9.633385799278198,9.362921848683698
1880,7.882063569279494,0.8520315545494764,10.731343082861006,10.259180815700358,9.765596367690954,9.468240656739567
1900,8.050470393361824,0.8842482229101796,10.9260800891177,10.455035493929747,9.91950916713419,9.62898700552947
1920,8.121884759739835,1.2851129869837392,10.999574962565253,10.548086387263023,10.016871453138997,9.728320330616498
1940,8.194147793001392,1.4714847529064916,11.138902556492006,10.695812409353973,10.135455710272122,9.85166499442105
1960,8.288809526983684,1.3635898224471972,11.26919417929155,10.816185102372065,10.267258936442369,9.972361405523664
1980,8.416767069551412,1.4326036128803739,11.41192710524644,10.954791050364085,10.380220979228394,10.09264421626585
2000,8.554929686089956,1.567793731617098,11.542755777392046,11.088955825546067,10.50491043221972,10.213590302145214
2020,8.708159117186291,1.5983319726815535,11.672833815293483,11.224181515224622,10.618641268331373,10.33430160989868
2040,8.8744949347399,1.5938808344189808,11.80472600315149,11.358863162357961,10.74464611192027,10.462167731706707
2060,9.029696234017724,1.5265773476783644,11.932593453873443,11.479890856679416,10.871755991462479,10.5831457866689
2080,9.179533372172259,1.4849382726003442,12.07283291494702,11.613971479595948,11.000449632766209,10.70261488367931
2100,9.326984217746073,1.2979728481146167,12.229453856759857,11.767486577861247,11.151956693461116,10.8298090563582
2120,9.457877637046114,1.2162924650339466,12.389077005024099,11.930596065599483,11.283314667881397,10.963291621429114
2140,9.54950233833046,1.2119358344633957,12.516734452222172,12.067253412933814,11.406282487505948,11.091194622869544
2160,9.637602935485834,0.9645048310947528,12.654259715575865,12.187978644950315,11.546021793411631,11.181225962153142
2180,9.728831986040063,1.1751777251185427,12.814726152221148,12.350701641971416,11.686637246471296,11.326289304856875
2200,9.816989916122477,1.2789615090866007,12.949353411691318,12.490737308923036,11.793683057496137,11.435415551732081
2220,9.925273288475978,1.5439009093580067,13.082717156122651,12.630620977199833,11.920458866301878,11.558742858595256
2240,10.053239776850877,1.5156534892013291,13.205422825301271,12.75638580387433,12.036744553269719,11.685833827058438
2260,10.201708890460985,1.6022953171986694,13.337499603287291,12.88428340110134,12.15439330017967,11.803267379028796
2280,10.360807146203207,1.5534203170995533,13.47413553840274,13.01459799909057,12.283339525901065,11.920094535835261
2300,10.522363269708656,1.5749917192367824,13.60831827506816,13.150749447497008,12.395987642002268,12.038896732785883
2320,10.695602367135209,1.5208600196634077,13.759694852597558,13.303978336231912,12.53878352251823,12.170473357187923
2340,10.856435286763613,1.3137463455191518,13.904139961935917,13.454326904260517,12.661063610087632,12.309643734303975
2360,10.982030168573448,1.0223954851072568,14.033550988187528,13.565706490201096,12.803816665786826,12.403023217191638
