Timestep,agent_0_x,agent_0_y,agent_0_velocity,agent_1_x,agent_1_y,agent_1_velocity,agent_2_x,agent_2_y,agent_2_velocity,agent_3_x,agent_3_y,agent_3_velocity,agent_4_x,agent_4_y,agent_4_velocity,agent_5_x,agent_5_y,agent_5_velocity,agent_6_x,agent_6_y,agent_6_velocity,agent_7_x,agent_7_y,agent_7_velocity,agent_8_x,agent_8_y,agent_8_velocity
0,-3.85674,1.40372,0.0005818154069115954,-2.89254,2.5528,0.00012299416053748586,-1.92836,3.70187,6.282205771090622e-06,-0.96418,4.85093,0.00013519567890749162,-0.0,6.0,9.538091944578371e-05,0.96418,7.14907,3.570980934193541e-05,1.92836,8.29813,0.00018607258817729844,2.89254,9.4472,0.00012000883445166583,3.85674,10.59629,0.0003739937923544531
20,-3.85385,1.40175,0.4130194414661916,-2.716,2.53516,0.8665460852105026,-1.92809,3.70218,0.0005514723055915436,-0.96418,4.85093,9.1884957224453e-05,0.00047,6.0005,0.009069318630564345,1.15413,7.09539,0.6323381126095557,1.92863,8.29841,0.004306903407400276,2.98829,9.39262,1.645877920675029,3.85695,10.59655,0.002879226261166002
40,-3.75422,1.32385,1.5122176671904535,-2.66497,2.53341,0.252745381844657,-1.92441,3.70202,0.3501589915217897,-0.89936,4.8268,1.3386993888662722,0.00119,6.00114,0.011751567120511692,1.1911,7.09067,0.18411471723704403,1.94313,8.29952,0.677479337374001,3.0881,9.3728,0.49166700243679806,3.88612,10.61716,0.9745635497522842
60,-3.68243,1.27276,0.014402553747618894,-2.57291,2.51041,1.4240718080533399,-1.7517,3.70152,1.0279332761713733,-0.74749,4.81503,0.36991582539325973,0.15176,6.03678,1.2706962706866203,1.31177,7.03929,1.5259790179791153,2.12289,8.30016,0.6693533747468218,3.18288,9.32936,1.5879676938268212,4.05825,10.63943,0.5281857396894376
80,-3.55996,1.25401,1.567951542574655,-2.44607,2.502,0.44034597175894197,-1.69288,3.70138,0.1816224037963828,-0.65652,4.81937,1.5408586705771297,0.2282,6.04355,0.23201375916188016,1.40912,7.0234,0.3048436649071935,2.16983,8.30023,0.4840538566885408,3.31456,9.29765,0.39965622667930495,4.09276,10.63333,0.5964330654183017
100,-3.46838,1.24957,0.5805885696496149,-2.4199,2.4981,0.5653593346635285,-1.63,3.71486,1.3912559945887895,-0.55004,4.82054,0.7101980184050208,0.26937,6.06159,1.081544568031441,1.43746,7.00991,0.9559194654876687,2.25514,8.2994,1.5934347760414211,3.33531,9.29211,0.14627743088380835,4.18227,10.62185,1.6365634984752666
120,-3.28356,1.22372,1.1799782068809188,-2.23957,2.46362,0.7137467880520009,-1.46783,3.72315,0.2915588094575844,-0.37743,4.82237,1.3293718086602608,0.44605,6.0816,0.4002143614693214,1.62528,6.95796,0.4141119922239093,2.3804,8.29857,0.0014825489738156882,3.51425,9.23583,0.92340908448138,4.37648,10.57782,1.5666374339391163
140,-3.2257,1.21959,0.19218890012538953,-2.20152,2.46026,0.25701657558489915,-1.42127,3.73529,1.1484063828567197,-0.31076,4.82232,0.41083550790537193,0.47986,6.09252,0.847361804409559,1.64955,6.95037,0.5754977947147735,2.42577,8.25154,1.5615181158634037,3.55565,9.22741,0.2480289641228176,4.45697,10.55717,0.5385184989602618
160,-3.20262,1.20921,0.8258844761637298,-2.138,2.42115,1.4142070263217068,-1.30159,3.74345,1.1356330868116618,-0.28555,4.82313,0.5054607309877688,0.58715,6.10766,1.491305640251858,1.73434,6.91045,1.6354163120051892,2.51803,8.19463,0.7799698883789205,3.59955,9.20358,1.230926943077453,4.48477,10.54972,0.19270726781709532
180,-2.99884,1.18335,0.32410689721771047,-1.98473,2.38209,0.23658470389826392,-1.15065,3.75723,1.612546346197915,-0.08209,4.82483,0.47844103439009544,0.6854,6.1115,0.4121452119102866,1.86866,6.88612,0.17832245495885726,2.64589,8.15092,1.589805708976926,3.77871,9.16654,0.28640814300390577,4.66686,10.49145,0.7096816117978247
