Timestep,agent_0_x,agent_0_y,agent_0_velocity,agent_1_x,agent_1_y,agent_1_velocity,agent_2_x,agent_2_y,agent_2_velocity,agent_3_x,agent_3_y,agent_3_velocity,agent_4_x,agent_4_y,agent_4_velocity,agent_5_x,agent_5_y,agent_5_velocity,agent_6_x,agent_6_y,agent_6_velocity,agent_7_x,agent_7_y,agent_7_velocity,agent_8_x,agent_8_y,agent_8_velocity
0,1.04189,-5.90885,0.0,0.78142,-4.43163,0.0,0.52094,-2.95442,0.0,0.26047,-1.47721,0.0,0.0,0.0,0.0,-0.26047,1.47721,0.0,-0.52094,2.95442,0.0,-0.78142,4.43163,0.0,-1.04189,5.90885,0.0
20,1.04191,-5.90889,0.00024657043593944713,0.82684,-4.41121,1.1582409117436512,0.546,-2.94169,0.8758134542209632,0.26047,-1.47718,0.0014477313678291986,0.00239,-0.00078,0.28895340705299316,-0.24978,1.47319,0.5766232868310949,-0.52093,2.95441,0.0005291284866788417,-0.78141,4.43163,0.0003902289360973018,-1.04192,5.90897,0.0018695701577685344
40,1.0705,-5.93741,1.1894726683917614,1.01717,-4.39515,0.13760108038977575,0.75436,-2.92625,0.1794978797317468,0.47714,-1.45604,0.3887230938401732,0.22492,-0.00404,0.3010007833048213,-0.03069,1.46596,0.23784851966437134,-0.52053,2.95317,0.004806217103878911,-0.5771,4.40063,0.5179272968316132,-0.92736,5.99034,1.3863223856117746
60,1.18037,-5.97822,1.2409265390694848,1.05154,-4.38187,0.9853154003659157,0.77543,-2.91825,0.7068656014756468,0.49791,-1.45514,0.13944500237851198,0.24101,-0.00412,0.10791560712074025,-0.01536,1.46713,0.40650353821755375,-0.4746,2.91232,1.2767963973598808,-0.54941,4.39899,0.18648316114492314,-0.86142,6.01936,0.4603323503981693
80,1.26883,-5.99858,0.012348684409505688,1.26023,-4.36581,0.09230681385203564,0.99898,-2.90087,0.12129902872654669,0.72852,-1.43957,0.25860053252217985,0.47405,0.00332,0.20237854390776872,0.21711,1.47452,0.15306312892848378,-0.29292,2.86711,0.07577775766513373,-0.36322,4.45922,0.728835962081511,-0.78673,6.0041,1.2177949544701523
100,1.43682,-5.97327,1.0491732260600275,1.31311,-4.39561,1.2109881132293707,1.0373,-2.89467,0.9559788517053148,0.74742,-1.4389,0.03179969098811105,0.48883,0.00348,0.024515606128212967,0.22731,1.47457,0.002811427921246342,-0.14783,2.81066,1.224428371274856,-0.3103,4.46623,0.08955177660096215,-0.61422,5.98573,0.299026502908746
120,1.5101,-5.96981,0.08012046595126002,1.48939,-4.41573,0.22251619011066037,1.23319,-2.88995,0.2764645027581517,0.90552,-1.44168,1.252179405645858,0.66848,0.00121,0.9548468164304056,0.41225,1.40389,0.629417620596322,-0.0612,2.79392,0.09678580457143883,-0.28701,4.44258,1.1584551586545624,-0.59249,5.98343,0.006280440522256241
140,1.58408,-5.98429,1.4327499693386814,1.50377,-4.41459,0.40183123896556566,1.25216,-2.88966,0.04740315877102423,0.98353,-1.44197,0.17917605601194087,0.72738,0.00111,0.1439854167519445,0.45466,1.39534,0.11098016990125373,-0.00923,2.76226,1.2147044342454174,-0.13032,4.37648,0.6353789517640193,-0.45867,6.00309,1.4759404215987986
160,1.71843,-5.98943,0.5064276397437623,1.62471,-4.39234,1.5316879696922445,1.34754,-2.89609,1.6250088510439848,1.01469,-1.44784,0.8301254813703335,0.77496,-0.01019,1.1135328109661267,0.52396,1.36942,1.3895571083746314,0.13232,2.73695,0.6305997908903747,-0.09497,4.36717,0.0018504155743029654,-0.36747,6.00696,0.28530506733890665
180,1.77752,-5.98182,1.0165260790803143,1.7254,-4.38715,0.14530245088310162,1.4739,-2.89783,0.33916954271641603,1.18311,-1.45391,0.7869945137836994,0.93681,-0.01817,0.5344327788781197,0.66908,1.35701,0.4131700884142192,0.18404,2.72302,0.828724077828321,0.02257,4.34044,1.5531024295285683,-0.31629,5.98029,1.1699174582011733
200,1.89518,-5.975,1.2950889330198498,1.7829,-4.40053,1.2857178066400612,1.52206,-2.89134,1.1273442568351677,1.22085,-1.45473,0.24519498238868004,0.96831,-0.02163,0.5824649675209693,0.7038,1.34726,0.8499572915340619,0.28445,2.69421,1.5610267139539646,0.10557,4.33481,0.5332014263285503,-0.19796,5.96565,1.1341996263869283
220,1.96371,-5.97418,0.8008571371144282,1.89827,-4.40625,0.9409117583056585,1.64189,-2.88673,1.1913354170558526,1.28626,-1.46094,1.3772499405408871,1.05749,-0.03403,1.6594788232419162,0.8136,1.3348,1.4732600856387024,0.36783,2.68361,0.5393493813306511,0.16635,4.31814,1.2863779191241795,-0.12586,5.9486,1.2538668747505402
240,2.09238,-5.97995,1.3996993841583352,1.97994,-4.39516,1.3760300202897238,1.72,-2.88804,1.0888242868476021,1.41333,-1.46358,0.7383751549054921,1.16571,-0.03892,0.5311841165464043,0.90064,1.32808,0.8336622892366871,0.47708,2.65919,1.6784992272553212,0.29781,4.30427,0.8564401187524496,0.01151,5.92379,1.038008472134718
260,2.16461,-5.9815,0.43135810832575866,2.09616,-4.38571,0.9160806049141403,1.84195,-2.89107,1.2948735887800855,1.48483,-1.47424,1.3903577668985605,1.25526,-0.05082,1.6678968423732639,1.01219,1.3203,1.5681367821053287,0.56899,2.64998,0.5508341706749301,0.35464,4.29123,1.082448921545888,0.0634,5.91376,0.7876634854341976
280,2.25919,-5.97155,1.6834695735962955,2.15497,-4.39005,0.9704680526899476,1.9132,-2.89448,0.7561472564240408,1.61336,-1.48219,0.8696975518842849,1.3684,-0.0562,0.5866049928752776,1.10065,1.31729,0.43574110128671245,0.64091,2.63574,1.3684958213317455,0.48419,4.27404,1.1721700295333197,0.17934,5.88333,1.517915878117645
300,2.3623,-5.968,0.6272592134437919,2.27088,-4.39888,1.3454037597521933,2.01726,-2.90642,1.630459632966556,1.66856,-1.49203,1.0339946965231357,1.43127,-0.05956,1.2935429037420005,1.18213,1.30715,1.5715755150488817,0.75835,2.6281,0.9321916445192283,0.54525,4.26637,0.8238122933244255,0.26052,5.87378,0.4614294737832447
320,2.52531,-5.9749,1.305744539431341,2.36091,-4.4037,0.5389008696925631,2.1305,-2.91203,0.24537953766511436,1.84465,-1.50743,0.5258051230458928,1.59494,-0.06185,0.4110624527165003,1.32372,1.30156,0.31721905750770135,0.8096,2.63969,0.8846138437695986,0.72134,4.22222,0.670309315451079,0.43653,5.84886,1.0264720581339557
340,2.61265,-5.97697,0.13456862820588136,2.55584,-4.40726,0.5718605915494123,2.31474,-2.93254,0.8199568186682847,1.92144,-1.49145,1.2027614938415816,1.74539,-0.06861,1.4317037518306779,1.49354,1.30481,1.1370389181483065,0.98047,2.71083,0.47514979270074503,0.76288,4.21637,0.011407842705288104,0.50082,5.84392,0.09812488266592383
360,2.63136,-5.97838,0.6585362006658642,2.58637,-4.40758,0.20434136192911836,2.35634,-2.93463,0.2768188654230795,2.03903,-1.48338,1.0570522424780444,1.82049,-0.06989,0.45747450766658726,1.54988,1.30534,0.35706852195157146,1.00782,2.72016,0.61796712451561,0.80662,4.25612,1.1975805611082204,0.53328,5.82328,1.0159900659078438
380,2.79758,-5.98017,0.9462734721443872,2.72531,-4.4166,1.4115312008967211,2.43695,-2.9184,1.4478877473269183,2.10162,-1.4797,0.05330656261682206,1.85853,-0.0702,0.5862936505733913,1.58437,1.32504,0.9119794724321071,1.16316,2.78158,1.008250849508956,0.95626,4.28787,0.511164988770498,0.69701,5.80027,0.6143558281524525
400,2.86371,-5.98186,0.39101266189911077,2.8268,-4.41873,0.11223196244125652,2.59548,-2.9106,0.17984929536629174,2.29467,-1.49571,0.6543366253652959,2.06299,-0.06985,0.41594205966908215,1.77771,1.36623,0.34137048564262035,1.23062,2.79749,0.07940978297937497,1.05584,4.26097,1.5170862308747266,0.74657,5.80597,0.7713459097136128
420,2.96743,-5.98647,1.6999463502569074,2.8762,-4.40932,1.1659954859486181,2.61312,-2.91829,0.6146893213596832,2.33327,-1.49699,0.191301268725341,2.08743,-0.06982,0.12043323781661755,1.8001,1.37217,0.5301185871430075,1.30576,2.83464,1.5050978398310746,1.16663,4.25181,0.5456773165055493,0.86746,5.83546,1.4214427577771775
440,3.09613,-5.9881,0.15747842715999028,3.05679,-4.40311,0.26002794128699974,2.81193,-2.93464,0.4600526498276879,2.51185,-1.48973,1.0120061255138884,2.27884,-0.04509,0.7137191503303844,1.99807,1.39942,0.539496027925394,1.45694,2.85829,0.19070196380235963,1.22559,4.29035,1.2280714857642623,0.96424,5.84234,0.35684650377823973
460,3.27289,-5.98009,0.9772368547820249,3.10578,-4.41431,0.997847180198502,2.84588,-2.9325,0.47847807513405144,2.57753,-1.48855,0.11096150555800662,2.32863,-0.04209,0.08704297991542012,2.03715,1.40206,0.024324018996573892,1.5129,2.82934,1.2448183834262623,1.38624,4.34107,0.35354077162429126,1.1474,5.82843,0.8152789529687368
480,3.34052,-5.97906,0.06598828727867216,3.3006,-4.42534,0.24511119433282183,3.05505,-2.90727,0.41876315395477764,2.75054,-1.47555,1.0729371840055169,2.51957,-0.04562,0.7896081540038022,2.23833,1.39222,0.5806480711448797,1.68864,2.80811,0.19665592538558163,1.425,4.3205,1.08846611221897,1.2013,5.82674,0.0012482235019161722
500,3.39152,-5.98852,1.1975778770739225,3.31478,-4.42351,0.40207657360149796,3.08014,-2.90581,0.11528902205411722,2.80944,-1.47393,0.25606834139455864,2.56362,-0.04594,0.2002283223490503,2.27324,1.39174,0.16219296389508223,1.72807,2.78574,1.0616030027663792,1.55489,4.27636,1.0233195623643632,1.27323,5.86295,1.4580854419865958
