Timestep,agent_0_x,agent_0_y,agent_0_velocity,agent_1_x,agent_1_y,agent_1_velocity,agent_2_x,agent_2_y,agent_2_velocity,agent_3_x,agent_3_y,agent_3_velocity,agent_4_x,agent_4_y,agent_4_velocity,agent_5_x,agent_5_y,agent_5_velocity,agent_6_x,agent_6_y,agent_6_velocity,agent_7_x,agent_7_y,agent_7_velocity,agent_8_x,agent_8_y,agent_8_velocity
0,1.04189,0.09115,0.0,0.78142,1.56837,0.0,0.52094,3.04558,0.0,0.26047,4.52279,0.0,0.0,6.0,0.0,-0.26047,7.47721,0.0,-0.52094,8.95442,0.0,-0.78142,10.43163,0.0,-1.04189,11.90885,0.0
20,1.04199,0.0908,0.002754507033865024,0.80985,1.56155,0.9091880863055712,0.5211,3.04512,0.0013925022378136408,0.44355,4.49027,0.8402765852153168,0.13501,5.95776,1.3808382142115359,-0.26034,7.47667,0.007565622239125309,-0.52089,8.95427,0.002703624248792766,-0.73258,10.39312,1.2546745095986007,-1.04193,11.909,0.004452686351338592
40,1.17524,0.002,1.1415378698470215,1.0233,1.55459,0.09503263732509858,0.72505,2.97618,0.41881625119474813,0.50593,4.48514,0.02105346992101872,0.24091,5.94658,0.03509313040186116,-0.24335,7.45576,1.0515000017228753,-0.3037,8.86937,0.20155377619822037,-0.55032,10.35408,0.07047899745759302,-1.04114,11.90639,0.011119712447222882
60,1.2387,-0.02332,0.2705359106004317,1.02923,1.55424,0.023834691359099318,0.75086,2.97146,0.10625064808331032,0.56273,4.45264,1.2974641213004015,0.27599,5.92263,1.0532645452401652,-0.12287,7.36004,0.8554266828699376,-0.29138,8.86635,0.05127321178300633,-0.54482,10.35173,0.3171815465022179,-0.95337,11.86143,1.6213744059308246
80,1.25315,-0.02974,0.3736154580663843,1.12215,1.53511,1.618258733870995,0.7954,2.94448,1.1364308436915058,0.70241,4.43287,0.5688074625449392,0.42611,5.9006,0.7847258051444218,-0.07668,7.33097,0.2074851196877775,-0.22651,8.81573,1.4604573808589183,-0.4255,10.34195,1.5793348913344372,-0.83424,11.84438,0.41223908959834493
100,1.38684,-0.06909,1.3799824015858522,1.24722,1.52919,0.3705917337879884,0.94965,2.92244,0.5903381903696635,0.79434,4.40165,1.4953035363787786,0.50549,5.87316,1.304579797964631,0.03801,7.23925,1.2477631129105418,-0.09763,8.77759,0.45833673713178125,-0.32768,10.3396,0.049765817429587494,-0.72076,11.82397,1.7161633243572056
120,1.46274,-0.07777,0.37668615910899805,1.31245,1.50924,1.3338563515136266,0.98365,2.91779,0.4212799134815274,0.91398,4.38511,0.6269849750467004,0.63652,5.84599,0.8975215901445512,0.09819,7.20074,0.3817507602854265,-0.05012,8.75062,1.2028491759951594,-0.26252,10.2882,1.4695556437102246,-0.61704,11.81805,0.47146770856957365
140,1.53873,-0.10108,1.5192758309733387,1.42977,1.49783,0.9657714604412192,1.06343,2.91459,1.5440810679376415,0.95015,4.3778,0.6598965493420283,0.67852,5.83836,0.2735899315520989,0.14449,7.16402,1.4235864923932304,0.0641,8.71516,1.2191978257208471,-0.16593,10.25819,0.6925592055158453,-0.57821,11.80419,1.0937517854252221
160,1.67053,-0.11522,0.4656769853613006,1.53402,1.47296,1.5436915184144662,1.18923,2.91335,0.3457332921440446,1.09325,4.35092,1.2516881420621797,0.7987,5.79427,1.5351831335858637,0.26807,7.08498,0.6252375769693477,0.15947,8.67896,1.5133036351665277,-0.04627,10.21533,1.6643019424947922,-0.4269,11.76282,0.9248557615308401
180,1.72665,-0.13496,1.2566115512231923,1.64737,1.46008,0.8116611150633563,1.26333,2.87608,1.559586357967259,1.1562,4.34531,0.39434946319554054,0.87968,5.78109,0.49345525763246906,0.30981,7.05704,1.1184488994345456,0.27081,8.6273,0.9633971236681288,0.04393,10.20031,0.5452739386108441,-0.37992,11.75157,0.7755057943328947
200,1.87423,-0.15568,0.611624524882966,1.68782,1.45228,0.46748354166492284,1.37451,2.84503,0.41991576521482266,1.28738,4.30458,1.4367368198075183,0.98478,5.74122,1.7031625212904096,0.44423,6.97738,0.7680877121575161,0.32452,8.60508,0.21796092298369826,0.12219,10.15873,1.4997881075554746,-0.2318,11.70303,1.152613579565253
220,1.92029,-0.16929,1.012378947945854,1.75798,1.39205,1.5496486273875925,1.42645,2.81517,1.2790263102855253,1.36176,4.29249,0.4562199290806427,1.08186,5.7245,0.594843997109865,0.48381,6.95647,0.7186620723719974,0.38692,8.55285,1.569716034415423,0.22937,10.12192,0.7984880874818306,-0.17664,11.6922,0.336020009055253
240,2.07297,-0.19477,0.8840060566149598,1.86639,1.35756,0.23625911702037344,1.57025,2.78125,0.6292284422904788,1.46311,4.25854,1.656631473032998,1.16426,5.68823,1.4555848861707787,0.61862,6.88183,1.0567599386880908,0.50564,8.50114,0.498240210984969,0.30093,10.0855,1.3336656635688349,-0.04886,11.64073,1.4415907509973742
260,2.1197,-0.20194,0.72228660908925,1.93228,1.33401,1.4184879084900062,1.61713,2.76325,1.1376152361408896,1.56362,4.24571,0.620449914019734,1.27769,5.66391,0.8770247117118477,0.66932,6.86067,0.36837417610614825,0.5616,8.46163,1.49919135250228,0.41403,10.0441,1.0835144160713643,0.02548,11.62543,0.453522619567385
280,2.21883,-0.24081,1.6252292807171485,2.0385,1.32146,0.7412645058095381,1.73094,2.72744,1.3086338865613139,1.61037,4.2297,1.0747200159027728,1.32212,5.65244,0.7422622365606083,0.74202,6.81431,1.593996504859434,0.67042,8.4146,0.9080204791931921,0.4673,10.02919,0.36722013631814293,0.08172,11.59132,1.4289049376788674
300,2.31537,-0.26023,0.4220089655786239,2.10711,1.29015,1.466129352100199,1.80766,2.7102,0.7954242929960836,1.75047,4.19863,1.049831416815899,1.45212,5.62242,1.3679362778343673,0.85421,6.77442,0.5491445008655069,0.73385,8.3829,1.1938004080028477,0.57396,9.96738,1.5606564132866778,0.21435,11.54864,0.7148148068017605
320,2.39453,-0.2914,1.5736469295024644,2.21363,1.24408,0.8850743438503784,1.91029,2.67338,1.6026652309266103,1.80448,4.18853,0.7938038865011208,1.52251,5.61493,0.43497896075880504,0.91385,6.7408,1.4376617324788592,0.84726,8.34416,1.2857420025444057,0.65168,9.93872,0.535626549017001,0.26278,11.52412,1.2626671477817963
340,2.51485,-0.31018,0.532168106125031,2.26966,1.22013,0.9208222363155395,2.00533,2.65656,0.40375684572017956,1.93574,4.13426,1.2461408562348029,1.63847,5.58385,1.6185679137812214,1.04246,6.69689,0.6801204912937732,0.9222,8.32591,0.7989703440525894,0.73771,9.8928,1.5671875977927885,0.40069,11.4712,0.9808850091473305
360,2.68753,-0.36424,1.0589954379391213,2.44899,1.19036,0.45103159421140926,2.18678,2.60332,0.761178373680433,2.01685,4.1119,0.15313783363112668,1.75242,5.5697,0.18992503586377008,1.08215,6.7017,0.8437318808225241,1.09436,8.23817,0.5377776995466158,0.87647,9.86056,0.2666336389146454,0.46318,11.45036,0.5886492730608412
380,2.75703,-0.37908,0.09766026692345452,2.53779,1.13117,1.4766465756462446,2.24062,2.59285,0.07824123012420692,2.20283,4.06415,0.7083671458475602,1.92523,5.52978,1.0303558396621966,1.26946,6.74969,0.43829230935727087,1.12524,8.22636,0.006700312636971224,1.02456,9.78253,1.1566033312396278,0.65225,11.37343,0.4833277966856563
400,2.7736,-0.39095,0.8640901166338265,2.63839,1.10169,0.7284893565038022,2.27125,2.56818,1.0622545433125545,2.23999,4.05939,0.2517308311791236,1.97516,5.52453,0.31740954801380533,1.29542,6.75605,0.5901110004282193,1.16996,8.25341,1.1543798648890713,1.08083,9.7643,0.38971191844710606,0.67722,11.36655,0.17423657168878368
420,2.93388,-0.46845,0.6632070835289349,2.68728,1.08723,0.12302699031449219,2.43857,2.53247,0.5385402758833601,2.36945,4.02197,1.5070822431491155,2.07583,5.49194,1.603007128034771,1.46525,6.79987,0.9018239600464234,1.33237,8.27227,0.4444346430073091,1.10126,9.7618,0.35573256932476777,0.82835,11.29691,1.1119225777268225
440,2.97935,-0.48528,0.5473828545946336,2.82159,1.02808,1.3160146476819354,2.48722,2.51507,0.9690763994955454,2.46887,4.01064,0.2509908647908583,2.20404,5.47773,0.3247925597599501,1.5204,6.8075,0.1471342834242375,1.37105,8.2517,0.9656114863762721,1.25076,9.77655,1.2419423037713921,0.8958,11.27975,0.18202991569367652
460,3.1665,-0.55166,0.5421003553727127,2.91337,1.00938,0.13757451580644403,2.67563,2.46611,0.4206350057615511,2.56297,3.96757,1.5416305083678,2.27585,5.44941,1.2621909323149643,1.70752,6.83709,0.7857779228887309,1.55225,8.21671,0.3736956248627877,1.32834,9.77863,0.0058202757865488675,1.00648,11.26509,1.7035627146705112
480,3.19482,-0.55785,0.19493981779085193,2.94804,0.98168,1.1683815387693128,2.70055,2.45956,0.5811439524722714,2.66679,3.95092,0.6732358451435526,2.39181,5.43492,0.9832978573884584,1.74668,6.83983,0.2604773784439703,1.5844,8.2044,0.9394908105450513,1.3741,9.73445,1.3266068588768454,1.10154,11.26235,0.5650648829483307
500,3.26645,-0.59011,1.455964676963026,3.07021,0.94555,1.0884738821964537,2.79949,2.41913,1.6496746553408825,2.70714,3.94174,0.6610696886507452,2.44344,5.42963,0.29276045868147066,1.80005,6.84614,1.2249611445894995,1.70307,8.175,1.3576953232516098,1.489,9.69685,0.803889179281103,1.14474,11.24915,1.040680532798915
520,3.3915,-0.60715,0.5677905440745079,3.14484,0.92073,1.1690467683754646,2.89992,2.40288,0.43136773995799993,2.83145,3.91045,1.4359688811575757,2.54228,5.41286,1.653085886269434,1.94218,6.84965,0.8348062016838635,1.78389,8.16252,0.7859629932628536,1.56054,9.6738,1.2311586191140966,1.28173,11.2128,1.1065599631820524
