Timestep,agent_0_x,agent_0_y,agent_0_velocity,agent_1_x,agent_1_y,agent_1_velocity,agent_2_x,agent_2_y,agent_2_velocity,agent_3_x,agent_3_y,agent_3_velocity,agent_4_x,agent_4_y,agent_4_velocity,agent_5_x,agent_5_y,agent_5_velocity,agent_6_x,agent_6_y,agent_6_velocity,agent_7_x,agent_7_y,agent_7_velocity,agent_8_x,agent_8_y,agent_8_velocity
0,0.0,-6.0,0.0,0.0,-4.5,0.0,0.0,-3.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,3.0,0.0,0.0,4.5,0.0,0.0,6.0,0.0
20,0.04492,-6.04644,1.4378404418663988,1e-05,-4.4997,0.0014038085555874852,0.18518,-2.97832,0.8400580987155052,-3e-05,-1.49988,0.0001909718381665982,0.16433,-0.00628,1.140554916861619,0.20076,1.48873,0.5872093240650799,5e-05,2.99965,0.002933878700664101,4e-05,4.50005,0.0005492431950963059,-2e-05,6.00043,0.004450785015739765
40,0.16597,-6.09975,0.6796995223408187,0.0458,-4.50153,1.1508727105357541,0.23138,-2.97621,0.20889213144853674,1e-05,-1.49986,0.0006736485513184912,0.2272,-0.0071,0.27259280722085544,0.23614,1.48803,0.16329943241489145,0.01084,2.98826,0.7740953843218163,0.00242,4.50243,0.3288209261419695,0.07059,6.06149,1.5529571575588286
60,0.20256,-6.1126,0.010113175210167228,0.21628,-4.50251,0.40641641652488475,0.33499,-2.96033,1.640657810013303,0.14869,-1.49844,1.3182131696907091,0.3056,-0.01245,1.36794324427232,0.37121,1.47832,1.4794034838869226,0.18675,2.9515,0.6906354201915281,0.17264,4.51393,1.0328461360064067,0.19858,6.10781,0.2891356248235542
80,0.34634,-6.09895,1.3458817123173359,0.25667,-4.50309,0.6923679028838213,0.4646,-2.95524,0.2737377276620534,0.23502,-1.49815,0.18000700045214385,0.46015,-0.01472,0.3510768090317069,0.47167,1.47615,0.20847309268025124,0.23765,2.944,0.4997954113654523,0.23796,4.51558,0.14029995963555564,0.23166,6.10445,0.8717526638662684
100,0.41499,-6.09714,0.41258330186489434,0.35895,-4.50371,1.610392445453253,0.48184,-2.95266,0.43759996628476727,0.27208,-1.49582,0.9924041081755252,0.47889,-0.015,0.12639603075914982,0.4947,1.47087,0.7105169846393181,0.31781,2.9188,1.5539515818532819,0.29472,4.50048,1.2753416247394629,0.34388,6.10122,1.411788073410422
120,0.56118,-6.07992,1.433770552367832,0.53962,-4.50325,1.739053359681736,0.65038,-2.94237,1.0118018569961817,0.44529,-1.49408,0.517919176807417,0.62815,-0.02064,1.3021162743174433,0.67079,1.4626,0.7175602302690205,0.44572,2.90886,0.009592480336718555,0.45307,4.49075,0.4050841297530253,0.53539,6.06746,1.3712824638931522
140,0.6358,-6.07646,0.43463505184599316,0.63829,-4.50298,0.5876476647136311,0.69995,-2.94103,0.318175633827188,0.48637,-1.48718,0.9080481802502355,0.69464,-0.02144,0.41146241974136627,0.71065,1.4599,0.611819954874814,0.49146,2.94725,1.241615893693454,0.50599,4.47747,1.1984951544745523,0.60401,6.05586,0.39682657414684375
160,0.67207,-6.06967,0.8513508994004744,0.6677,-4.50285,0.19507315793618898,0.77163,-2.93584,1.446021668292217,0.6001,-1.47744,1.4305315987859104,0.74741,-0.0244,1.175225087331995,0.80474,1.45345,1.707075721084605,0.59538,2.97183,0.8266731942003083,0.62598,4.46813,1.1185624920366966,0.62751,6.04873,0.540026092615873
180,0.86126,-6.05965,0.46317067312363364,0.84733,-4.49755,0.9635558744806227,0.92682,-2.93306,0.2768793815767554,0.7014,-1.47035,0.5348616784857528,0.92367,-0.0269,0.34412567287083845,0.93362,1.4503,0.21446581249348465,0.66559,2.94588,1.1108290286026758,0.70674,4.47078,0.6966342657853648,0.81549,6.02894,0.6557024990588711
