Timestep,agent_0_x,agent_0_y,agent_0_velocity,agent_1_x,agent_1_y,agent_1_velocity,agent_2_x,agent_2_y,agent_2_velocity,agent_3_x,agent_3_y,agent_3_velocity,agent_4_x,agent_4_y,agent_4_velocity,agent_5_x,agent_5_y,agent_5_velocity,agent_6_x,agent_6_y,agent_6_velocity,agent_7_x,agent_7_y,agent_7_velocity,agent_8_x,agent_8_y,agent_8_velocity
0,0.52293,-10.47717,0.0,0.3922,-8.98288,0.0,0.26147,-7.48858,0.0,0.13073,-5.99429,0.0,0.0,-4.5,0.0,-0.13073,-3.00571,0.0,-0.26147,-1.51142,0.0,-0.3922,-0.01712,0.0,-0.52293,1.47717,0.0
20,0.52295,-10.47718,0.0037711548754084403,0.48224,-8.93567,1.6250194706077188,0.26144,-7.48828,0.003305375429721175,0.1307,-5.99393,0.0024436792465976033,0.16881,-4.46879,1.0674754003668943,-0.08541,-2.98026,1.1753027304745356,-0.26148,-1.51126,0.0026174908961098123,-0.36727,-0.01646,0.8511800721124404,-0.52297,1.47746,0.0018354891910947382
40,0.69208,-10.49018,1.0707409633820122,0.62109,-8.91271,0.12662522672703988,0.26146,-7.48739,0.006117145197908832,0.32292,-5.91875,0.5260140985514906,0.24183,-4.46307,0.06622091585022113,0.09888,-2.95973,0.19143801825741424,-0.0735,-1.48316,0.7762803655360868,-0.1639,-0.01559,0.25904923573878347,-0.47263,1.52443,1.4975940635587115
60,0.75816,-10.49174,0.1713702400870661,0.69248,-8.87598,1.411520708099018,0.38015,-7.40113,1.3079157733075837,0.35786,-5.91078,0.09735762490460953,0.33868,-4.43454,1.6304088760739892,0.15034,-2.94605,1.119996315949278,-0.02442,-1.48009,0.13159502443900575,-0.14952,-0.01475,0.009975469525687897,-0.33681,1.58435,0.4238952388399664
80,0.78846,-10.46429,1.0698280004354566,0.84493,-8.85131,0.2639265234793222,0.46561,-7.36634,0.15189173228379044,0.50591,-5.84597,1.1984974399988275,0.4724,-4.42376,0.21063108145006568,0.32823,-2.93682,0.3372920005664637,0.09895,-1.46624,1.5863794135218612,0.00734,0.07012,0.8950747144975585,-0.31006,1.59534,0.006664181089921873
100,0.89594,-10.42725,1.3672511948529433,0.86136,-8.84631,0.5018555500052645,0.50092,-7.33832,1.309433873642098,0.56447,-5.8334,0.3774081410934548,0.49545,-4.4123,0.8362078582873961,0.3463,-2.93602,0.12120001983665002,0.18525,-1.46357,0.5302610812541068,0.052,0.08267,0.3094183172646337,-0.26254,1.62027,1.224633740087904
120,0.98272,-10.41042,0.22667824094367447,1.01822,-8.82517,1.1276590336257617,0.64763,-7.26289,0.5213882638219257,0.61325,-5.80489,1.1521936874639156,0.66316,-4.38119,0.8042793684739976,0.48356,-2.91901,1.4178742227497534,0.2203,-1.45959,0.43190538917717813,0.10203,0.10073,1.1093181870863433,-0.10418,1.63974,0.4693733274776207
140,1.17181,-10.36078,0.7152834266887542,1.09288,-8.82062,0.005978765067164349,0.70201,-7.26109,1.0091753150040783,0.79294,-5.75559,0.34006681984303294,0.73522,-4.36016,0.954321779806537,0.58374,-2.91464,0.1409783237535612,0.40598,-1.40128,0.6175581635202382,0.2801,0.11297,0.3105878882561138,0.0869,1.6684,0.929809597291705
160,1.2133,-10.35452,0.15574169325568882,1.17932,-8.76018,1.5861764832007432,0.85337,-7.26433,0.7900587176781895,0.81668,-5.74836,0.5011410610501835,0.88437,-4.32996,0.9427871645745423,0.61176,-2.88852,1.1663939005733706,0.44469,-1.39502,0.14675574771842,0.31155,0.12508,0.8572038742680732,0.13764,1.67267,0.17782137831451195
180,1.24875,-10.32559,1.1905584537654157,1.27248,-8.73824,0.6174931971553271,0.89521,-7.26379,0.6172053089685436,0.89515,-5.70878,1.568504011713703,0.93072,-4.32376,0.3070554167180955,0.71948,-2.84543,1.3088405551800233,0.50072,-1.37445,1.2671995460556962,0.41135,0.15217,1.5734665410663784,0.15886,1.68281,0.7652136900140731
200,1.36118,-10.28911,1.2029974087938655,1.33766,-8.70699,1.4759686302459976,0.99096,-7.26112,1.725736049142514,0.99794,-5.69155,0.661117770796904,1.00137,-4.29126,1.4866627771775724,0.80172,-2.81786,1.4680202684012762,0.61723,-1.36491,0.9836686002389257,0.49956,0.1647,1.0423773463077972,0.26085,1.70085,1.59921549734492
220,1.43623,-10.26222,1.4428689158474213,1.45204,-8.67155,0.9395678073940109,1.08752,-7.25992,0.5817967752896571,1.09685,-5.66112,1.762542877237181,1.11152,-4.27185,0.7838430633814654,0.92171,-2.77517,1.0814273201686588,0.70335,-1.3409,1.5830113757910966,0.61863,0.18572,1.449903867700203,0.35257,1.7097,1.0650297383033518
240,1.57098,-10.2151,0.8639688329840887,1.51382,-8.64706,1.1267209335179982,1.20872,-7.24256,1.5804478083674478,1.2045,-5.64383,0.45555802775098997,1.18264,-4.24282,1.5015980596360134,0.97934,-2.7553,0.7320190564091682,0.82995,-1.31829,0.6039813706307002,0.70063,0.19417,0.3590886439181461,0.49705,1.73308,1.212724824657008
