Timestep,agent_0_x,agent_0_y,agent_0_velocity,agent_1_x,agent_1_y,agent_1_velocity,agent_2_x,agent_2_y,agent_2_velocity,agent_3_x,agent_3_y,agent_3_velocity,agent_4_x,agent_4_y,agent_4_velocity,agent_5_x,agent_5_y,agent_5_velocity,agent_6_x,agent_6_y,agent_6_velocity,agent_7_x,agent_7_y,agent_7_velocity,agent_8_x,agent_8_y,agent_8_velocity
0,-1.55292,-11.79557,0.0007573194094578765,-1.16469,-10.34667,7.115417346646466e-06,-0.77646,-8.89778,0.00011557181009953881,-0.38823,-7.44889,0.0001291248291164113,-0.0,-6.0,0.00012676862215231047,0.38823,-4.55111,1.2068737041914703e-05,0.77646,-3.10222,1.2031108930671655e-05,1.16469,-1.65333,3.728054608164383e-06,1.55292,-0.20443,0.0007413072325321135
20,-1.55303,-11.79594,0.001417814741756457,-1.16447,-10.34597,0.0102029359898655,-0.64277,-8.83099,1.2865700485692384,-0.18136,-7.39431,0.4359302210775666,0.02445,-5.97509,1.1618692812152387,0.38825,-4.55103,0.0031777124604230075,0.77676,-3.10141,0.007403554188921901,1.36636,-1.64063,0.5723326781523935,1.55316,-0.20366,0.0010124010319961904
40,-1.34173,-11.87594,0.2905943558117602,-1.10477,-10.33196,1.3322311576421417,-0.5473,-8.81062,0.05268595011482332,-0.14682,-7.38916,0.01749636344191637,0.20673,-5.88031,0.1343891999831484,0.47304,-4.48769,1.628595114067566,0.95087,-3.02123,0.7073264009985729,1.41229,-1.63895,0.024735689577129637,1.55317,-0.20353,0.00044164944620979726
60,-1.32196,-11.88017,0.04896478238621351,-0.94654,-10.32642,0.3848681652623291,-0.53961,-8.80699,0.4208738658386637,-0.06875,-7.32797,1.5656977073373748,0.21537,-5.87647,0.006006306317823692,0.59327,-4.45465,0.28882352595250416,0.9986,-3.00898,0.11823566596316452,1.46418,-1.62494,1.2058476304866166,1.6786,-0.10806,1.1538176870529648
80,-1.23414,-11.84128,1.5922131827076562,-0.9186,-10.32508,0.00852227324094924,-0.33176,-8.79773,0.4390664937338355,0.06738,-7.28617,0.1513040987380465,0.40365,-5.80438,0.5838034506817333,0.64385,-4.41987,1.27662919858537,1.05614,-2.97772,1.2312640094191811,1.64485,-1.61678,0.21146376404218833,1.75463,-0.06891,0.09006767936948293
100,-1.09001,-11.82416,0.1539317400862049,-0.74034,-10.23041,0.5720995960509359,-0.30033,-8.79636,0.011479289893943869,0.12917,-7.26362,1.2341620552534192,0.4473,-5.79527,0.051577863066095665,0.82093,-4.35514,0.25298285901915357,1.23276,-2.95652,0.2116638644243074,1.69432,-1.59821,1.034843076955783,1.89161,-0.01517,1.33544665749758
120,-1.06956,-11.81054,0.9809024508972574,-0.71119,-10.22104,0.20786283769917818,-0.25402,-8.74807,1.3827673473909292,0.24522,-7.25497,0.9970432972436445,0.47585,-5.77105,1.0443260670474588,0.83387,-4.35124,0.09206552982250216,1.24665,-2.95256,0.49483695054656546,1.8109,-1.58671,1.2617257496244156,1.95945,-0.00369,0.44065739598702564
140,-0.90716,-11.74827,0.7257338151566188,-0.63885,-10.18327,1.4229084537458496,-0.11261,-8.69739,0.44936650793076355,0.33569,-7.23508,1.1856025292359258,0.63913,-5.7351,0.6039211733075719,0.96342,-4.28373,1.3330560722399816,1.40418,-2.92062,1.118414424742049,1.88566,-1.58166,0.013100400187252332,2.03525,0.02359,1.3164525816015427
160,-0.86293,-11.73439,0.6633860986931401,-0.51079,-10.16539,0.5544219392892256,-0.07175,-8.67409,0.9819584227313023,0.47896,-7.21758,0.767423631853003,0.6886,-5.71796,0.996887533210121,1.03938,-4.26402,0.32374256964905673,1.46724,-2.915,0.25767881661240927,1.96361,-1.51678,1.5810885141186959,2.17118,0.03999,0.6317963257666881
180,-0.77232,-11.69853,1.7183781914019687,-0.46762,-10.15057,1.0940463038447585,0.03965,-8.65376,1.29593651085144,0.51838,-7.21331,0.2664457127382968,0.79846,-5.68914,1.4243532318477858,1.08521,-4.23399,1.285901907886914,1.53369,-2.88876,1.4195395177556396,2.05518,-1.48813,0.6276284885154974,2.20777,0.04596,0.6452250273605155
